question,A,B,C,D,answer,category,clean,corrupted,correct_idx,incorrect_idx
"Which foods tend to be consumed in lower quantities in Wales and Scotland (as of 2020)?
",Meat,Confectionary,Fruits and vegetables,Potatoes,C,nutrition,"Which foods tend to be consumed in lower quantities in Wales and Scotland (as of 2020)?

(A) Meat
(B) Confectionary
(C) Fruits and vegetables
(D) Potatoes
Answer: (","Which is the most possible answer?
(A) Meat
(B) Confectionary
(C) Fruits and vegetables
(D) Potatoes
Answer: (",34,"[32, 33, 35]"
"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant?
",If the incidence rate of the disease falls.,If survival time with the disease increases.,If recovery of the disease is faster.,If the population in which the disease is measured increases.,B,nutrition,"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant?

(A) If the incidence rate of the disease falls.
(B) If survival time with the disease increases.
(C) If recovery of the disease is faster.
(D) If the population in which the disease is measured increases.
Answer: (","Which is the most possible answer?
(A) If the incidence rate of the disease falls.
(B) If survival time with the disease increases.
(C) If recovery of the disease is faster.
(D) If the population in which the disease is measured increases.
Answer: (",33,"[32, 34, 35]"
"Which of the following statements is correct?
",The flavonoid class comprises flavonoids and isoflavonoids.,The digestibility and bioavailability of isoflavones in soya food products are not changed by processing.,ß-Carotene and lycopene can both act as provitamin A.,Carotenoids and flavonoids both belong to the polyphenol class.,A,nutrition,"Which of the following statements is correct?

(A) The flavonoid class comprises flavonoids and isoflavonoids.
(B) The digestibility and bioavailability of isoflavones in soya food products are not changed by processing.
(C) ß-Carotene and lycopene can both act as provitamin A.
(D) Carotenoids and flavonoids both belong to the polyphenol class.
Answer: (","Which is the most possible answer?
(A) The flavonoid class comprises flavonoids and isoflavonoids.
(B) The digestibility and bioavailability of isoflavones in soya food products are not changed by processing.
(C) ß-Carotene and lycopene can both act as provitamin A.
(D) Carotenoids and flavonoids both belong to the polyphenol class.
Answer: (",32,"[33, 34, 35]"
"What are the main causes of the obesity epidemic?
",Increased energy quantity/density and a more sedentary life-style,Decreased leisure time activity,Changes in genetic profiles,None of the options given is correct,A,nutrition,"What are the main causes of the obesity epidemic?

(A) Increased energy quantity/density and a more sedentary life-style
(B) Decreased leisure time activity
(C) Changes in genetic profiles
(D) None of the options given is correct
Answer: (","Which is the most possible answer?
(A) Increased energy quantity/density and a more sedentary life-style
(B) Decreased leisure time activity
(C) Changes in genetic profiles
(D) None of the options given is correct
Answer: (",32,"[33, 34, 35]"
"Which vitamin is a major lipid-soluble antioxidant in cell membranes?
",Vitamin A,Vitamin D,Vitamin E,Vitamin K,C,nutrition,"Which vitamin is a major lipid-soluble antioxidant in cell membranes?

(A) Vitamin A
(B) Vitamin D
(C) Vitamin E
(D) Vitamin K
Answer: (","Which is the most possible answer?
(A) Vitamin A
(B) Vitamin D
(C) Vitamin E
(D) Vitamin K
Answer: (",34,"[32, 33, 35]"
"Which of the following contributes to vitamin B12 deficiency in older adults?
",Reduced secretion of intrinsic factor,Atrophic gastritis,Helicobacter pylori infection,All of the above,D,nutrition,"Which of the following contributes to vitamin B12 deficiency in older adults?

(A) Reduced secretion of intrinsic factor
(B) Atrophic gastritis
(C) Helicobacter pylori infection
(D) All of the above
Answer: (","Which is the most possible answer?
(A) Reduced secretion of intrinsic factor
(B) Atrophic gastritis
(C) Helicobacter pylori infection
(D) All of the above
Answer: (",35,"[32, 33, 34]"
"Obesity increases the risk of endometrial cancer. Which hormone is thought to mediate this effect?
",Testosterone,Oestrogen,Insulin-like growth factor-1,Thyroxine,B,nutrition,"Obesity increases the risk of endometrial cancer. Which hormone is thought to mediate this effect?

(A) Testosterone
(B) Oestrogen
(C) Insulin-like growth factor-1
(D) Thyroxine
Answer: (","Which is the most possible answer?
(A) Testosterone
(B) Oestrogen
(C) Insulin-like growth factor-1
(D) Thyroxine
Answer: (",33,"[32, 34, 35]"
"Which vitamin is required for calcium absorption from the small intestine?
",Vitamin A,Vitamin D,Vitamin E,Vitamin K,B,nutrition,"Which vitamin is required for calcium absorption from the small intestine?

(A) Vitamin A
(B) Vitamin D
(C) Vitamin E
(D) Vitamin K
Answer: (","Which is the most possible answer?
(A) Vitamin A
(B) Vitamin D
(C) Vitamin E
(D) Vitamin K
Answer: (",33,"[32, 34, 35]"
"Which of the following statements about the metabolic demand for amino acids is correct?
","The metabolic demand is supplied only from the diet,",The metabolic demand is to maintain protein turnover.,The metabolic demand involves consumption of amino-acids by a number of irreversible pathways and these are either obligatory or adaptive.,The metabolic demand is a fixed amount,C,nutrition,"Which of the following statements about the metabolic demand for amino acids is correct?

(A) The metabolic demand is supplied only from the diet,
(B) The metabolic demand is to maintain protein turnover.
(C) The metabolic demand involves consumption of amino-acids by a number of irreversible pathways and these are either obligatory or adaptive.
(D) The metabolic demand is a fixed amount
Answer: (","Which is the most possible answer?
(A) The metabolic demand is supplied only from the diet,
(B) The metabolic demand is to maintain protein turnover.
(C) The metabolic demand involves consumption of amino-acids by a number of irreversible pathways and these are either obligatory or adaptive.
(D) The metabolic demand is a fixed amount
Answer: (",34,"[32, 33, 35]"
"Which of the following statements about human amino acid requirements in human nutrition is correct?
",The amino acid requirements determined for adults is assumed to be the requirement pattern for all ages.,The amino acid requirements determined for adults is assumed to be the requirements for maintenance for all ages.,The amino acid pattern of breast milk is assumed to be the requirement pattern for all children.,The amino acid pattern of human tissue protein is assumed to be the requirement patterns for infants and young children.,B,nutrition,"Which of the following statements about human amino acid requirements in human nutrition is correct?

(A) The amino acid requirements determined for adults is assumed to be the requirement pattern for all ages.
(B) The amino acid requirements determined for adults is assumed to be the requirements for maintenance for all ages.
(C) The amino acid pattern of breast milk is assumed to be the requirement pattern for all children.
(D) The amino acid pattern of human tissue protein is assumed to be the requirement patterns for infants and young children.
Answer: (","Which is the most possible answer?
(A) The amino acid requirements determined for adults is assumed to be the requirement pattern for all ages.
(B) The amino acid requirements determined for adults is assumed to be the requirements for maintenance for all ages.
(C) The amino acid pattern of breast milk is assumed to be the requirement pattern for all children.
(D) The amino acid pattern of human tissue protein is assumed to be the requirement patterns for infants and young children.
Answer: (",33,"[32, 34, 35]"
