question,A,B,C,D,answer,category,clean,corrupted,correct_idx,incorrect_idx
A valid disjunctive syllogism has a major premise that:,includes two or more alternatives,classifies subjects,affirms the antecedent or denies the consequent,leads to a valid conclusion,A,logical_fallacies,"A valid disjunctive syllogism has a major premise that:
(A) includes two or more alternatives
(B) classifies subjects
(C) affirms the antecedent or denies the consequent
(D) leads to a valid conclusion
Answer: (","Which is the most possible answer?
(A) includes two or more alternatives
(B) classifies subjects
(C) affirms the antecedent or denies the consequent
(D) leads to a valid conclusion
Answer: (",32,"[33, 34, 35]"
Which of the following best describes the fallacy of style over substance?,Changing the meaning of a word or phrase from one part of the argument to another.,Confusing figurative language with literal language.,"Reasoning that ideas presented in an appealing manner are correct, regardless of the content of the message.","Using emotionally charged language to create an impression about the subject of a claim, without making an argument that the language fits the subject.",C,logical_fallacies,"Which of the following best describes the fallacy of style over substance?
(A) Changing the meaning of a word or phrase from one part of the argument to another.
(B) Confusing figurative language with literal language.
(C) Reasoning that ideas presented in an appealing manner are correct, regardless of the content of the message.
(D) Using emotionally charged language to create an impression about the subject of a claim, without making an argument that the language fits the subject.
Answer: (","Which is the most possible answer?
(A) Changing the meaning of a word or phrase from one part of the argument to another.
(B) Confusing figurative language with literal language.
(C) Reasoning that ideas presented in an appealing manner are correct, regardless of the content of the message.
(D) Using emotionally charged language to create an impression about the subject of a claim, without making an argument that the language fits the subject.
Answer: (",34,"[32, 33, 35]"
"Which of the following fallacies is a way of suppressing evidence that eliminates a source of evidence from consideration by claiming the source is flawed, when there is no true relationship between the alleged flaw and the reliability of the source?",significance,snob appeal,poisoning the well,appeal to anonymous authority,C,logical_fallacies,"Which of the following fallacies is a way of suppressing evidence that eliminates a source of evidence from consideration by claiming the source is flawed, when there is no true relationship between the alleged flaw and the reliability of the source?
(A) significance
(B) snob appeal
(C) poisoning the well
(D) appeal to anonymous authority
Answer: (","Which is the most possible answer?
(A) significance
(B) snob appeal
(C) poisoning the well
(D) appeal to anonymous authority
Answer: (",34,"[32, 33, 35]"
The false analogy fallacy is,a specific type of false cause fallacy that argues that since two event happened at the same time one event must have caused the other,arguing that an event that preceded another event necessarily is the cause of the second event,arguing that since something is new it is necessarily good,drawing a conclusion based on a comparison when the items being compared are not similar enough to support the conclusion.,D,logical_fallacies,"The false analogy fallacy is
(A) a specific type of false cause fallacy that argues that since two event happened at the same time one event must have caused the other
(B) arguing that an event that preceded another event necessarily is the cause of the second event
(C) arguing that since something is new it is necessarily good
(D) drawing a conclusion based on a comparison when the items being compared are not similar enough to support the conclusion.
Answer: (","Which is the most possible answer?
(A) a specific type of false cause fallacy that argues that since two event happened at the same time one event must have caused the other
(B) arguing that an event that preceded another event necessarily is the cause of the second event
(C) arguing that since something is new it is necessarily good
(D) drawing a conclusion based on a comparison when the items being compared are not similar enough to support the conclusion.
Answer: (",35,"[32, 33, 34]"
The _ad nauseam_ fallacy is,arguing that something should be done because that's the way it's been done in the past.,"arguing that an act should be carried out because it will not have any significant consequences, when there is no evidence of the effects",reasoning that a conclusion is true because it's been claimed so often,reasoning that a claim is true because so many people believe it is true,C,logical_fallacies,"The _ad nauseam_ fallacy is
(A) arguing that something should be done because that's the way it's been done in the past.
(B) arguing that an act should be carried out because it will not have any significant consequences, when there is no evidence of the effects
(C) reasoning that a conclusion is true because it's been claimed so often
(D) reasoning that a claim is true because so many people believe it is true
Answer: (","Which is the most possible answer?
(A) arguing that something should be done because that's the way it's been done in the past.
(B) arguing that an act should be carried out because it will not have any significant consequences, when there is no evidence of the effects
(C) reasoning that a conclusion is true because it's been claimed so often
(D) reasoning that a claim is true because so many people believe it is true
Answer: (",34,"[32, 33, 35]"
Arguing that what is true of an entire object is also true of each part of that object is the fallacy of,false criteria,hasty generalization,ad crumenam,division,D,logical_fallacies,"Arguing that what is true of an entire object is also true of each part of that object is the fallacy of
(A) false criteria
(B) hasty generalization
(C) ad crumenam
(D) division
Answer: (","Which is the most possible answer?
(A) false criteria
(B) hasty generalization
(C) ad crumenam
(D) division
Answer: (",35,"[32, 33, 34]"
Which of the following describes the horse laugh fallacy?,responding to an argument with an expression of derision instead of a counter argument,attempts to gain agreement based solely the feelings aroused by the message,characterizing an opponent's position in such way to make it or its consequences appear to be ridiculous,"arguing actions should be taken to avoid negative results, when those results are exaggerated, unlikely, or irrelevant",A,logical_fallacies,"Which of the following describes the horse laugh fallacy?
(A) responding to an argument with an expression of derision instead of a counter argument
(B) attempts to gain agreement based solely the feelings aroused by the message
(C) characterizing an opponent's position in such way to make it or its consequences appear to be ridiculous
(D) arguing actions should be taken to avoid negative results, when those results are exaggerated, unlikely, or irrelevant
Answer: (","Which is the most possible answer?
(A) responding to an argument with an expression of derision instead of a counter argument
(B) attempts to gain agreement based solely the feelings aroused by the message
(C) characterizing an opponent's position in such way to make it or its consequences appear to be ridiculous
(D) arguing actions should be taken to avoid negative results, when those results are exaggerated, unlikely, or irrelevant
Answer: (",32,"[33, 34, 35]"
Arguing that a lack of evidence proves something is the fallacy of...,Appeal to ignorance,Double negative,Equivocation,Burden of proof,A,logical_fallacies,"Arguing that a lack of evidence proves something is the fallacy of...
(A) Appeal to ignorance
(B) Double negative
(C) Equivocation
(D) Burden of proof
Answer: (","Which is the most possible answer?
(A) Appeal to ignorance
(B) Double negative
(C) Equivocation
(D) Burden of proof
Answer: (",32,"[33, 34, 35]"
The argument against the person consists of,ignoring another person's arguments and attacking her character instead,"asserting an opposing arguer has taken an easily defeated position, which she has not really taken",causing confusion during an argument by a lack of ability to engage in refutation,using threats of harm instead of reasoning to gain agreement,A,logical_fallacies,"The argument against the person consists of
(A) ignoring another person's arguments and attacking her character instead
(B) asserting an opposing arguer has taken an easily defeated position, which she has not really taken
(C) causing confusion during an argument by a lack of ability to engage in refutation
(D) using threats of harm instead of reasoning to gain agreement
Answer: (","Which is the most possible answer?
(A) ignoring another person's arguments and attacking her character instead
(B) asserting an opposing arguer has taken an easily defeated position, which she has not really taken
(C) causing confusion during an argument by a lack of ability to engage in refutation
(D) using threats of harm instead of reasoning to gain agreement
Answer: (",32,"[33, 34, 35]"
Which of the following fallacies happens when someone concludes that someone must be honest because the people he hangs around with are honest?,Laudatory personality,Guilt by association,Reprehensible personality,Circular reasoning,B,logical_fallacies,"Which of the following fallacies happens when someone concludes that someone must be honest because the people he hangs around with are honest?
(A) Laudatory personality
(B) Guilt by association
(C) Reprehensible personality
(D) Circular reasoning
Answer: (","Which is the most possible answer?
(A) Laudatory personality
(B) Guilt by association
(C) Reprehensible personality
(D) Circular reasoning
Answer: (",33,"[32, 34, 35]"
Asking a question that includes an unproven assumption may lead to which of the following fallacies?,Appeal to ignorance,Extension,a priori,Complex question,D,logical_fallacies,"Asking a question that includes an unproven assumption may lead to which of the following fallacies?
(A) Appeal to ignorance
(B) Extension
(C) a priori
(D) Complex question
Answer: (","Which is the most possible answer?
(A) Appeal to ignorance
(B) Extension
(C) a priori
(D) Complex question
Answer: (",35,"[32, 33, 34]"
