question,A,B,C,D,answer,category,clean,corrupted,correct_idx,incorrect_idx,paraphrase1,paraphrase2,paraphrase3,paraphrase4,paraphrase5,paraphrase6,paraphrase7,paraphrase8,paraphrase9
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,management,"What is the term for a sub-optimal but acceptable outcome of negotiations between parties?
(A) Bargaining
(B) Satisficing
(C) Accepting
(D) Compromising
Answer: (","Which is the most possible answer?
(A) Bargaining
(B) Satisficing
(C) Accepting
(D) Compromising
Answer: (",33,"[32, 34, 35]","What is the term used to describe an outcome of negotiations that is not ideal but still acceptable to all parties?
(A) Bargaining
(B) Satisficing
(C) Accepting
(D) Compromising
Answer: (","How do you refer to a negotiation result that is less than perfect but still satisfactory for the involved parties?
(A) Bargaining
(B) Satisficing
(C) Accepting
(D) Compromising
Answer: (","What do you call a negotiation outcome that is not the best possible but is still considered acceptable by the parties involved?
(A) Bargaining
(B) Satisficing
(C) Accepting
(D) Compromising
Answer: (","What term describes a negotiation result that is adequate but not the best possible for the parties involved?
(A) Bargaining
(B) Satisficing
(C) Accepting
(D) Compromising
Answer: (","What is the name for a negotiation outcome that is not optimal but is still deemed acceptable by the parties?
(A) Bargaining
(B) Satisficing
(C) Accepting
(D) Compromising
Answer: (","How is a negotiation result described when it is not the best but is still acceptable to the parties involved?
(A) Bargaining
(B) Satisficing
(C) Accepting
(D) Compromising
Answer: (","What term is used for a negotiation outcome that is satisfactory but not the most favorable for the parties?
(A) Bargaining
(B) Satisficing
(C) Accepting
(D) Compromising
Answer: (","What do you call an outcome of negotiations that is acceptable but not the most ideal for the parties involved?
(A) Bargaining
(B) Satisficing
(C) Accepting
(D) Compromising
Answer: (","What is the term for a negotiation result that is not perfect but is still acceptable to all parties involved?
(A) Bargaining
(B) Satisficing
(C) Accepting
(D) Compromising
Answer: ("
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,management,"What is the term for the 'rule of thumb' type of bias in decision making?
(A) Framing bias
(B) Hindsight bias
(C) Over-confidence bias
(D) Heuristics
Answer: (","Which is the most possible answer?
(A) Framing bias
(B) Hindsight bias
(C) Over-confidence bias
(D) Heuristics
Answer: (",35,"[32, 33, 34]","What is the name for the bias in decision making known as a 'rule of thumb'?
(A) Framing bias
(B) Hindsight bias
(C) Over-confidence bias
(D) Heuristics
Answer: (","What term describes the 'rule of thumb' bias in decision making?
(A) Framing bias
(B) Hindsight bias
(C) Over-confidence bias
(D) Heuristics
Answer: (","How is the 'rule of thumb' bias in decision making referred to?
(A) Framing bias
(B) Hindsight bias
(C) Over-confidence bias
(D) Heuristics
Answer: (","What do we call the 'rule of thumb' type of bias in decision making?
(A) Framing bias
(B) Hindsight bias
(C) Over-confidence bias
(D) Heuristics
Answer: (","What is the designation for the 'rule of thumb' bias in decision making?
(A) Framing bias
(B) Hindsight bias
(C) Over-confidence bias
(D) Heuristics
Answer: (","What label is given to the 'rule of thumb' bias in decision making?
(A) Framing bias
(B) Hindsight bias
(C) Over-confidence bias
(D) Heuristics
Answer: (","What is the terminology for the 'rule of thumb' bias in decision making?
(A) Framing bias
(B) Hindsight bias
(C) Over-confidence bias
(D) Heuristics
Answer: (","What is the expression used for the 'rule of thumb' bias in decision making?
(A) Framing bias
(B) Hindsight bias
(C) Over-confidence bias
(D) Heuristics
Answer: (","What is the phrase for the 'rule of thumb' bias in decision making?
(A) Framing bias
(B) Hindsight bias
(C) Over-confidence bias
(D) Heuristics
Answer: ("
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,management,"What is a normative perspective?
(A) The way things are.
(B) The way things are going to be.
(C) The way things should be.
(D) The way things were.
Answer: (","Which is the most possible answer?
(A) The way things are.
(B) The way things are going to be.
(C) The way things should be.
(D) The way things were.
Answer: (",34,"[32, 33, 35]","How is a normative perspective defined?
(A) The way things are.
(B) The way things are going to be.
(C) The way things should be.
(D) The way things were.
Answer: (","What does a normative perspective refer to?
(A) The way things are.
(B) The way things are going to be.
(C) The way things should be.
(D) The way things were.
Answer: (","What is meant by a normative perspective?
(A) The way things are.
(B) The way things are going to be.
(C) The way things should be.
(D) The way things were.
Answer: (","How would you describe a normative perspective?
(A) The way things are.
(B) The way things are going to be.
(C) The way things should be.
(D) The way things were.
Answer: (","What does it mean to have a normative perspective?
(A) The way things are.
(B) The way things are going to be.
(C) The way things should be.
(D) The way things were.
Answer: (","What is the definition of a normative perspective?
(A) The way things are.
(B) The way things are going to be.
(C) The way things should be.
(D) The way things were.
Answer: (","How can a normative perspective be characterized?
(A) The way things are.
(B) The way things are going to be.
(C) The way things should be.
(D) The way things were.
Answer: (","What does a normative perspective imply?
(A) The way things are.
(B) The way things are going to be.
(C) The way things should be.
(D) The way things were.
Answer: (","How is the concept of a normative perspective understood?
(A) The way things are.
(B) The way things are going to be.
(C) The way things should be.
(D) The way things were.
Answer: ("
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,management,"In the 'five forces model', what is the type of competitive activity that exists between organisations?
(A) The potential for entry into the industry
(B) The threat of substitute products
(C) The power of customers
(D) The level of rivalry
Answer: (","Which is the most possible answer?
(A) The potential for entry into the industry
(B) The threat of substitute products
(C) The power of customers
(D) The level of rivalry
Answer: (",35,"[32, 33, 34]","In the 'five forces model', what kind of competitive activity occurs among organizations?
(A) The potential for entry into the industry
(B) The threat of substitute products
(C) The power of customers
(D) The level of rivalry
Answer: (","According to the 'five forces model', what type of competition exists between organizations?
(A) The potential for entry into the industry
(B) The threat of substitute products
(C) The power of customers
(D) The level of rivalry
Answer: (","In the context of the 'five forces model', what form of competitive activity is present among organizations?
(A) The potential for entry into the industry
(B) The threat of substitute products
(C) The power of customers
(D) The level of rivalry
Answer: (","What type of competitive interaction is identified between organizations in the 'five forces model'?
(A) The potential for entry into the industry
(B) The threat of substitute products
(C) The power of customers
(D) The level of rivalry
Answer: (","Within the 'five forces model', what is the nature of competition that exists among organizations?
(A) The potential for entry into the industry
(B) The threat of substitute products
(C) The power of customers
(D) The level of rivalry
Answer: (","What kind of rivalry is described between organizations in the 'five forces model'?
(A) The potential for entry into the industry
(B) The threat of substitute products
(C) The power of customers
(D) The level of rivalry
Answer: (","In the 'five forces model', what sort of competitive activity is found between organizations?
(A) The potential for entry into the industry
(B) The threat of substitute products
(C) The power of customers
(D) The level of rivalry
Answer: (","What is the type of competition that occurs between organizations in the 'five forces model'?
(A) The potential for entry into the industry
(B) The threat of substitute products
(C) The power of customers
(D) The level of rivalry
Answer: (","In the 'five forces model', what form of rivalry exists among organizations?
(A) The potential for entry into the industry
(B) The threat of substitute products
(C) The power of customers
(D) The level of rivalry
Answer: ("
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,management,"Which one of the following political leaders could not be termed a 'transformational' leader?
(A) Margaret Thatcher
(B) Mikhail Gorbachov
(C) Nelson Mandela
(D) Bill Clinton
Answer: (","Which is the most possible answer?
(A) Margaret Thatcher
(B) Mikhail Gorbachov
(C) Nelson Mandela
(D) Bill Clinton
Answer: (",35,"[32, 33, 34]","Which of the following political figures would not be classified as a 'transformational' leader?
(A) Margaret Thatcher
(B) Mikhail Gorbachov
(C) Nelson Mandela
(D) Bill Clinton
Answer: (","Among these political leaders, who would not be considered a 'transformational' leader?
(A) Margaret Thatcher
(B) Mikhail Gorbachov
(C) Nelson Mandela
(D) Bill Clinton
Answer: (","Who among the listed political leaders is not regarded as a 'transformational' leader?
(A) Margaret Thatcher
(B) Mikhail Gorbachov
(C) Nelson Mandela
(D) Bill Clinton
Answer: (","Which political leader from the options is not labeled as a 'transformational' leader?
(A) Margaret Thatcher
(B) Mikhail Gorbachov
(C) Nelson Mandela
(D) Bill Clinton
Answer: (","From the following political leaders, who is not identified as a 'transformational' leader?
(A) Margaret Thatcher
(B) Mikhail Gorbachov
(C) Nelson Mandela
(D) Bill Clinton
Answer: (","Which of these political figures is not described as a 'transformational' leader?
(A) Margaret Thatcher
(B) Mikhail Gorbachov
(C) Nelson Mandela
(D) Bill Clinton
Answer: (","Who in this list of political leaders is not termed a 'transformational' leader?
(A) Margaret Thatcher
(B) Mikhail Gorbachov
(C) Nelson Mandela
(D) Bill Clinton
Answer: (","Which individual among these political leaders is not seen as a 'transformational' leader?
(A) Margaret Thatcher
(B) Mikhail Gorbachov
(C) Nelson Mandela
(D) Bill Clinton
Answer: (","Out of the following political leaders, who is not known as a 'transformational' leader?
(A) Margaret Thatcher
(B) Mikhail Gorbachov
(C) Nelson Mandela
(D) Bill Clinton
Answer: ("
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,management,"What is a Gantt chart a type of?
(A) Work flow design
(B) Work schedule design
(C) Work rate design
(D) Work output design
Answer: (","Which is the most possible answer?
(A) Work flow design
(B) Work schedule design
(C) Work rate design
(D) Work output design
Answer: (",33,"[32, 34, 35]","What category does a Gantt chart fall under?
(A) Work flow design
(B) Work schedule design
(C) Work rate design
(D) Work output design
Answer: (","A Gantt chart is an example of what kind of design?
(A) Work flow design
(B) Work schedule design
(C) Work rate design
(D) Work output design
Answer: (","A Gantt chart is a type of what?
(A) Work flow design
(B) Work schedule design
(C) Work rate design
(D) Work output design
Answer: (","In which design category does a Gantt chart belong?
(A) Work flow design
(B) Work schedule design
(C) Work rate design
(D) Work output design
Answer: (","What kind of design is a Gantt chart associated with?
(A) Work flow design
(B) Work schedule design
(C) Work rate design
(D) Work output design
Answer: (","A Gantt chart is classified as what type of design?
(A) Work flow design
(B) Work schedule design
(C) Work rate design
(D) Work output design
Answer: (","What type of design does a Gantt chart represent?
(A) Work flow design
(B) Work schedule design
(C) Work rate design
(D) Work output design
Answer: (","A Gantt chart is considered a type of what?
(A) Work flow design
(B) Work schedule design
(C) Work rate design
(D) Work output design
Answer: (","What design type does a Gantt chart exemplify?
(A) Work flow design
(B) Work schedule design
(C) Work rate design
(D) Work output design
Answer: ("
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,management,"Which one of the following is a feature of McGregor's Theory X?
(A) Workers enjoy responsibility.
(B) Workers view physical and mental effort as a natural part of work.
(C) Workers like to show initiative.
(D) Workers like to be directed.
Answer: (","Which is the most possible answer?
(A) Workers enjoy responsibility.
(B) Workers view physical and mental effort as a natural part of work.
(C) Workers like to show initiative.
(D) Workers like to be directed.
Answer: (",35,"[32, 33, 34]","Which of the following is characteristic of McGregor's Theory X?
(A) Workers enjoy responsibility.
(B) Workers view physical and mental effort as a natural part of work.
(C) Workers like to show initiative.
(D) Workers like to be directed.
Answer: (","What is a trait associated with McGregor's Theory X?
(A) Workers enjoy responsibility.
(B) Workers view physical and mental effort as a natural part of work.
(C) Workers like to show initiative.
(D) Workers like to be directed.
Answer: (","Which option describes a feature of McGregor's Theory X?
(A) Workers enjoy responsibility.
(B) Workers view physical and mental effort as a natural part of work.
(C) Workers like to show initiative.
(D) Workers like to be directed.
Answer: (","Which statement aligns with McGregor's Theory X?
(A) Workers enjoy responsibility.
(B) Workers view physical and mental effort as a natural part of work.
(C) Workers like to show initiative.
(D) Workers like to be directed.
Answer: (","Which of these is an aspect of McGregor's Theory X?
(A) Workers enjoy responsibility.
(B) Workers view physical and mental effort as a natural part of work.
(C) Workers like to show initiative.
(D) Workers like to be directed.
Answer: (","Which feature is linked to McGregor's Theory X?
(A) Workers enjoy responsibility.
(B) Workers view physical and mental effort as a natural part of work.
(C) Workers like to show initiative.
(D) Workers like to be directed.
Answer: (","Which of the following reflects McGregor's Theory X?
(A) Workers enjoy responsibility.
(B) Workers view physical and mental effort as a natural part of work.
(C) Workers like to show initiative.
(D) Workers like to be directed.
Answer: (","Which characteristic is part of McGregor's Theory X?
(A) Workers enjoy responsibility.
(B) Workers view physical and mental effort as a natural part of work.
(C) Workers like to show initiative.
(D) Workers like to be directed.
Answer: (","Which one of these is indicative of McGregor's Theory X?
(A) Workers enjoy responsibility.
(B) Workers view physical and mental effort as a natural part of work.
(C) Workers like to show initiative.
(D) Workers like to be directed.
Answer: ("
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,management,"What is the term for power derived from status or position in an organisation?
(A) Referent
(B) Expert
(C) Reward
(D) Legitimate
Answer: (","Which is the most possible answer?
(A) Referent
(B) Expert
(C) Reward
(D) Legitimate
Answer: (",35,"[32, 33, 34]","What is the name for power that comes from one's status or role within an organization?
(A) Referent
(B) Expert
(C) Reward
(D) Legitimate
Answer: (","What do we call the type of power that is based on one's position in an organization?
(A) Referent
(B) Expert
(C) Reward
(D) Legitimate
Answer: (","What term describes power that originates from a person's status or position in an organization?
(A) Referent
(B) Expert
(C) Reward
(D) Legitimate
Answer: (","How is power that is derived from an individual's role or status in an organization referred to?
(A) Referent
(B) Expert
(C) Reward
(D) Legitimate
Answer: (","What is the term used for power that stems from a person's position or status in an organization?
(A) Referent
(B) Expert
(C) Reward
(D) Legitimate
Answer: (","What do we refer to as the power that is based on one's organizational status or position?
(A) Referent
(B) Expert
(C) Reward
(D) Legitimate
Answer: (","What is the designation for power that comes from holding a certain position or status in an organization?
(A) Referent
(B) Expert
(C) Reward
(D) Legitimate
Answer: (","What is the term for the type of power that is linked to one's role or status in an organization?
(A) Referent
(B) Expert
(C) Reward
(D) Legitimate
Answer: (","How do we describe power that is derived from a person's organizational position or status?
(A) Referent
(B) Expert
(C) Reward
(D) Legitimate
Answer: ("
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,management,"Which writer is most associated with bureaucratic structures?
(A) Henry Fayol
(B) Max Weber
(C) Adam Smith
(D) Mary Parker Follett
Answer: (","Which is the most possible answer?
(A) Henry Fayol
(B) Max Weber
(C) Adam Smith
(D) Mary Parker Follett
Answer: (",33,"[32, 34, 35]","Who is the writer most linked to bureaucratic structures?
(A) Henry Fayol
(B) Max Weber
(C) Adam Smith
(D) Mary Parker Follett
Answer: (","Which author is best known for their association with bureaucratic structures?
(A) Henry Fayol
(B) Max Weber
(C) Adam Smith
(D) Mary Parker Follett
Answer: (","Which thinker is most commonly connected with the concept of bureaucratic structures?
(A) Henry Fayol
(B) Max Weber
(C) Adam Smith
(D) Mary Parker Follett
Answer: (","Who is the most recognized writer for their work on bureaucratic structures?
(A) Henry Fayol
(B) Max Weber
(C) Adam Smith
(D) Mary Parker Follett
Answer: (","Which scholar is most frequently associated with the idea of bureaucratic structures?
(A) Henry Fayol
(B) Max Weber
(C) Adam Smith
(D) Mary Parker Follett
Answer: (","Who is the author most identified with the theory of bureaucratic structures?
(A) Henry Fayol
(B) Max Weber
(C) Adam Smith
(D) Mary Parker Follett
Answer: (","Which writer is primarily known for their connection to bureaucratic structures?
(A) Henry Fayol
(B) Max Weber
(C) Adam Smith
(D) Mary Parker Follett
Answer: (","Who is most famously linked to the development of bureaucratic structures?
(A) Henry Fayol
(B) Max Weber
(C) Adam Smith
(D) Mary Parker Follett
Answer: (","Which intellectual is most associated with the principles of bureaucratic structures?
(A) Henry Fayol
(B) Max Weber
(C) Adam Smith
(D) Mary Parker Follett
Answer: ("
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,management,"Who of the following is the industrial philanthropist?
(A) Frederick Taylor
(B) Seebohm Rowntree
(C) Henry Ford
(D) Max Weber
Answer: (","Which is the most possible answer?
(A) Frederick Taylor
(B) Seebohm Rowntree
(C) Henry Ford
(D) Max Weber
Answer: (",33,"[32, 34, 35]","Which individual listed below is known as the industrial philanthropist?
(A) Frederick Taylor
(B) Seebohm Rowntree
(C) Henry Ford
(D) Max Weber
Answer: (","Among the following, who is recognized as the industrial philanthropist?
(A) Frederick Taylor
(B) Seebohm Rowntree
(C) Henry Ford
(D) Max Weber
Answer: (","Who among these options is identified as the industrial philanthropist?
(A) Frederick Taylor
(B) Seebohm Rowntree
(C) Henry Ford
(D) Max Weber
Answer: (","Who is considered the industrial philanthropist from the choices given?
(A) Frederick Taylor
(B) Seebohm Rowntree
(C) Henry Ford
(D) Max Weber
Answer: (","From the following names, who is the industrial philanthropist?
(A) Frederick Taylor
(B) Seebohm Rowntree
(C) Henry Ford
(D) Max Weber
Answer: (","Who is labeled as the industrial philanthropist among the listed individuals?
(A) Frederick Taylor
(B) Seebohm Rowntree
(C) Henry Ford
(D) Max Weber
Answer: (","Which of the following people is the industrial philanthropist?
(A) Frederick Taylor
(B) Seebohm Rowntree
(C) Henry Ford
(D) Max Weber
Answer: (","Who, out of the options provided, is the industrial philanthropist?
(A) Frederick Taylor
(B) Seebohm Rowntree
(C) Henry Ford
(D) Max Weber
Answer: (","From the options below, who is known as the industrial philanthropist?
(A) Frederick Taylor
(B) Seebohm Rowntree
(C) Henry Ford
(D) Max Weber
Answer: ("
