question,A,B,C,D,answer,category,clean,corrupted,correct_idx,incorrect_idx,paraphrase1,paraphrase2,paraphrase3,paraphrase4,paraphrase5,paraphrase6,paraphrase7,paraphrase8,paraphrase9
How many human polyomaviruses are known at present?,100,1,10,unknown,A,virology,"How many human polyomaviruses are known at present?
(A) 100
(B) 1
(C) 10
(D) unknown
Answer: (","Which is the most possible answer?
(A) 100
(B) 1
(C) 10
(D) unknown
Answer: (",32,"[33, 34, 35]","What is the current number of identified human polyomaviruses?
(A) 100
(B) 1
(C) 10
(D) unknown
Answer: (","As of now, how many human polyomaviruses have been discovered?
(A) 100
(B) 1
(C) 10
(D) unknown
Answer: (","How many human polyomaviruses are recognized today?
(A) 100
(B) 1
(C) 10
(D) unknown
Answer: (","At present, what is the count of known human polyomaviruses?
(A) 100
(B) 1
(C) 10
(D) unknown
Answer: (","How many human polyomaviruses are currently known?
(A) 100
(B) 1
(C) 10
(D) unknown
Answer: (","What is the present tally of human polyomaviruses?
(A) 100
(B) 1
(C) 10
(D) unknown
Answer: (","How many human polyomaviruses have been identified so far?
(A) 100
(B) 1
(C) 10
(D) unknown
Answer: (","What is the number of human polyomaviruses known at this time?
(A) 100
(B) 1
(C) 10
(D) unknown
Answer: (","How many human polyomaviruses are acknowledged at present?
(A) 100
(B) 1
(C) 10
(D) unknown
Answer: ("
AIDS activism in the U.S. resulted in:,Food and Drug Administration reforms,Easier access to investigational drugs,Changes in the way medicine was practiced in the U.S.,All of the above,D,virology,"AIDS activism in the U.S. resulted in:
(A) Food and Drug Administration reforms
(B) Easier access to investigational drugs
(C) Changes in the way medicine was practiced in the U.S.
(D) All of the above
Answer: (","Which is the most possible answer?
(A) Food and Drug Administration reforms
(B) Easier access to investigational drugs
(C) Changes in the way medicine was practiced in the U.S.
(D) All of the above
Answer: (",35,"[32, 33, 34]","What were the outcomes of AIDS activism in the United States?
(A) Food and Drug Administration reforms
(B) Easier access to investigational drugs
(C) Changes in the way medicine was practiced in the U.S.
(D) All of the above
Answer: (","What changes did AIDS activism bring about in the U.S.?
(A) Food and Drug Administration reforms
(B) Easier access to investigational drugs
(C) Changes in the way medicine was practiced in the U.S.
(D) All of the above
Answer: (","How did AIDS activism impact the United States?
(A) Food and Drug Administration reforms
(B) Easier access to investigational drugs
(C) Changes in the way medicine was practiced in the U.S.
(D) All of the above
Answer: (","What effects did AIDS activism have in the U.S.?
(A) Food and Drug Administration reforms
(B) Easier access to investigational drugs
(C) Changes in the way medicine was practiced in the U.S.
(D) All of the above
Answer: (","What were the results of AIDS activism in the U.S.?
(A) Food and Drug Administration reforms
(B) Easier access to investigational drugs
(C) Changes in the way medicine was practiced in the U.S.
(D) All of the above
Answer: (","How did AIDS activism influence the U.S.?
(A) Food and Drug Administration reforms
(B) Easier access to investigational drugs
(C) Changes in the way medicine was practiced in the U.S.
(D) All of the above
Answer: (","What were the consequences of AIDS activism in the United States?
(A) Food and Drug Administration reforms
(B) Easier access to investigational drugs
(C) Changes in the way medicine was practiced in the U.S.
(D) All of the above
Answer: (","What did AIDS activism achieve in the U.S.?
(A) Food and Drug Administration reforms
(B) Easier access to investigational drugs
(C) Changes in the way medicine was practiced in the U.S.
(D) All of the above
Answer: (","What transformations occurred in the U.S. due to AIDS activism?
(A) Food and Drug Administration reforms
(B) Easier access to investigational drugs
(C) Changes in the way medicine was practiced in the U.S.
(D) All of the above
Answer: ("
"Globally, the most deaths are caused by:",Respiratory infections,Diarrheal diseases,Malaria,Tuberculosis,B,virology,"Globally, the most deaths are caused by:
(A) Respiratory infections
(B) Diarrheal diseases
(C) Malaria
(D) Tuberculosis
Answer: (","Which is the most possible answer?
(A) Respiratory infections
(B) Diarrheal diseases
(C) Malaria
(D) Tuberculosis
Answer: (",33,"[32, 34, 35]","Worldwide, which cause leads to the highest number of deaths?
(A) Respiratory infections
(B) Diarrheal diseases
(C) Malaria
(D) Tuberculosis
Answer: (","Across the globe, what is the leading cause of mortality?
(A) Respiratory infections
(B) Diarrheal diseases
(C) Malaria
(D) Tuberculosis
Answer: (","What is the primary cause of death globally?
(A) Respiratory infections
(B) Diarrheal diseases
(C) Malaria
(D) Tuberculosis
Answer: (","Which condition results in the most fatalities worldwide?
(A) Respiratory infections
(B) Diarrheal diseases
(C) Malaria
(D) Tuberculosis
Answer: (","Globally, which ailment is responsible for the most deaths?
(A) Respiratory infections
(B) Diarrheal diseases
(C) Malaria
(D) Tuberculosis
Answer: (","What is the top cause of death around the world?
(A) Respiratory infections
(B) Diarrheal diseases
(C) Malaria
(D) Tuberculosis
Answer: (","Which disease causes the highest number of deaths globally?
(A) Respiratory infections
(B) Diarrheal diseases
(C) Malaria
(D) Tuberculosis
Answer: (","Around the world, what is the leading cause of death?
(A) Respiratory infections
(B) Diarrheal diseases
(C) Malaria
(D) Tuberculosis
Answer: (","What is the most common cause of death on a global scale?
(A) Respiratory infections
(B) Diarrheal diseases
(C) Malaria
(D) Tuberculosis
Answer: ("
What happens during the 'incubation period'?,The virus is cleared from the body by the immune system,Virus replication happens at an intracellular level,This period commonly lasts for a few days,This period commonly lasts for a few hours,B,virology,"What happens during the 'incubation period'?
(A) The virus is cleared from the body by the immune system
(B) Virus replication happens at an intracellular level
(C) This period commonly lasts for a few days
(D) This period commonly lasts for a few hours
Answer: (","Which is the most possible answer?
(A) The virus is cleared from the body by the immune system
(B) Virus replication happens at an intracellular level
(C) This period commonly lasts for a few days
(D) This period commonly lasts for a few hours
Answer: (",33,"[32, 34, 35]","What occurs during the 'incubation period'?
(A) The virus is cleared from the body by the immune system
(B) Virus replication happens at an intracellular level
(C) This period commonly lasts for a few days
(D) This period commonly lasts for a few hours
Answer: (","What takes place in the 'incubation period'?
(A) The virus is cleared from the body by the immune system
(B) Virus replication happens at an intracellular level
(C) This period commonly lasts for a few days
(D) This period commonly lasts for a few hours
Answer: (","During the 'incubation period', what happens?
(A) The virus is cleared from the body by the immune system
(B) Virus replication happens at an intracellular level
(C) This period commonly lasts for a few days
(D) This period commonly lasts for a few hours
Answer: (","What is happening during the 'incubation period'?
(A) The virus is cleared from the body by the immune system
(B) Virus replication happens at an intracellular level
(C) This period commonly lasts for a few days
(D) This period commonly lasts for a few hours
Answer: (","What transpires during the 'incubation period'?
(A) The virus is cleared from the body by the immune system
(B) Virus replication happens at an intracellular level
(C) This period commonly lasts for a few days
(D) This period commonly lasts for a few hours
Answer: (","What is the process during the 'incubation period'?
(A) The virus is cleared from the body by the immune system
(B) Virus replication happens at an intracellular level
(C) This period commonly lasts for a few days
(D) This period commonly lasts for a few hours
Answer: (","What unfolds during the 'incubation period'?
(A) The virus is cleared from the body by the immune system
(B) Virus replication happens at an intracellular level
(C) This period commonly lasts for a few days
(D) This period commonly lasts for a few hours
Answer: (","What events occur during the 'incubation period'?
(A) The virus is cleared from the body by the immune system
(B) Virus replication happens at an intracellular level
(C) This period commonly lasts for a few days
(D) This period commonly lasts for a few hours
Answer: (","What activities take place during the 'incubation period'?
(A) The virus is cleared from the body by the immune system
(B) Virus replication happens at an intracellular level
(C) This period commonly lasts for a few days
(D) This period commonly lasts for a few hours
Answer: ("
Newborn infants in countries with limited access to safe water and low levels of education should be:,Exclusively formula fed for six months,Exclusively breast fed for six months,Should receive both breast milk and other foods as tolerated in the first 6,months,B,virology,"Newborn infants in countries with limited access to safe water and low levels of education should be:
(A) Exclusively formula fed for six months
(B) Exclusively breast fed for six months
(C) Should receive both breast milk and other foods as tolerated in the first 6
(D) months
Answer: (","Which is the most possible answer?
(A) Exclusively formula fed for six months
(B) Exclusively breast fed for six months
(C) Should receive both breast milk and other foods as tolerated in the first 6
(D) months
Answer: (",33,"[32, 34, 35]","What is recommended for newborns in regions with scarce safe water and low education levels?
(A) Exclusively formula fed for six months
(B) Exclusively breast fed for six months
(C) Should receive both breast milk and other foods as tolerated in the first 6
(D) months
Answer: (","In areas with limited safe water and low education, how should newborns be fed?
(A) Exclusively formula fed for six months
(B) Exclusively breast fed for six months
(C) Should receive both breast milk and other foods as tolerated in the first 6
(D) months
Answer: (","How should infants be nourished in countries with restricted access to clean water and low educational attainment?
(A) Exclusively formula fed for six months
(B) Exclusively breast fed for six months
(C) Should receive both breast milk and other foods as tolerated in the first 6
(D) months
Answer: (","What feeding practice is advised for newborns in countries with inadequate safe water and education?
(A) Exclusively formula fed for six months
(B) Exclusively breast fed for six months
(C) Should receive both breast milk and other foods as tolerated in the first 6
(D) months
Answer: (","In nations with poor access to safe water and education, what is the suggested feeding method for newborns?
(A) Exclusively formula fed for six months
(B) Exclusively breast fed for six months
(C) Should receive both breast milk and other foods as tolerated in the first 6
(D) months
Answer: (","How should newborns be fed in countries where safe water is scarce and education is limited?
(A) Exclusively formula fed for six months
(B) Exclusively breast fed for six months
(C) Should receive both breast milk and other foods as tolerated in the first 6
(D) months
Answer: (","What is the feeding recommendation for infants in areas with low education and limited safe water access?
(A) Exclusively formula fed for six months
(B) Exclusively breast fed for six months
(C) Should receive both breast milk and other foods as tolerated in the first 6
(D) months
Answer: (","In countries with limited education and safe water, what is the advised feeding approach for newborns?
(A) Exclusively formula fed for six months
(B) Exclusively breast fed for six months
(C) Should receive both breast milk and other foods as tolerated in the first 6
(D) months
Answer: (","What feeding strategy is recommended for infants in regions with low education and restricted safe water access?
(A) Exclusively formula fed for six months
(B) Exclusively breast fed for six months
(C) Should receive both breast milk and other foods as tolerated in the first 6
(D) months
Answer: ("
Achieving effective change in a community is usually dependent on which of the following segments of society?,Innovators,Early adapters,Middle adapters,Late adapters,A,virology,"Achieving effective change in a community is usually dependent on which of the following segments of society?
(A) Innovators
(B) Early adapters
(C) Middle adapters
(D) Late adapters
Answer: (","Which is the most possible answer?
(A) Innovators
(B) Early adapters
(C) Middle adapters
(D) Late adapters
Answer: (",32,"[33, 34, 35]","Which segment of society is typically crucial for implementing effective change in a community?
(A) Innovators
(B) Early adapters
(C) Middle adapters
(D) Late adapters
Answer: (","Effective community change generally relies on which group within society?
(A) Innovators
(B) Early adapters
(C) Middle adapters
(D) Late adapters
Answer: (","Which societal segment is most often key to achieving successful change in a community?
(A) Innovators
(B) Early adapters
(C) Middle adapters
(D) Late adapters
Answer: (","In a community, which part of society is usually essential for effective change?
(A) Innovators
(B) Early adapters
(C) Middle adapters
(D) Late adapters
Answer: (","Which group within society is usually pivotal for enacting change in a community?
(A) Innovators
(B) Early adapters
(C) Middle adapters
(D) Late adapters
Answer: (","Achieving successful change in a community often depends on which societal segment?
(A) Innovators
(B) Early adapters
(C) Middle adapters
(D) Late adapters
Answer: (","Which segment of society is generally important for driving effective change in a community?
(A) Innovators
(B) Early adapters
(C) Middle adapters
(D) Late adapters
Answer: (","Effective change in a community is often reliant on which group within society?
(A) Innovators
(B) Early adapters
(C) Middle adapters
(D) Late adapters
Answer: (","Which part of society is typically important for achieving effective change in a community?
(A) Innovators
(B) Early adapters
(C) Middle adapters
(D) Late adapters
Answer: ("
“Contingency management” is”:,A strategy of last resort for reducing high-risk behaviors,Paying drug users for negative urine specimens,Paying sex workers to use condoms,Paying drug users to use condoms,B,virology,"“Contingency management” is”:
(A) A strategy of last resort for reducing high-risk behaviors
(B) Paying drug users for negative urine specimens
(C) Paying sex workers to use condoms
(D) Paying drug users to use condoms
Answer: (","Which is the most possible answer?
(A) A strategy of last resort for reducing high-risk behaviors
(B) Paying drug users for negative urine specimens
(C) Paying sex workers to use condoms
(D) Paying drug users to use condoms
Answer: (",33,"[32, 34, 35]","What does ""contingency management"" refer to?
(A) A strategy of last resort for reducing high-risk behaviors
(B) Paying drug users for negative urine specimens
(C) Paying sex workers to use condoms
(D) Paying drug users to use condoms
Answer: (","How is ""contingency management"" defined?
(A) A strategy of last resort for reducing high-risk behaviors
(B) Paying drug users for negative urine specimens
(C) Paying sex workers to use condoms
(D) Paying drug users to use condoms
Answer: (","What is meant by the term ""contingency management""?
(A) A strategy of last resort for reducing high-risk behaviors
(B) Paying drug users for negative urine specimens
(C) Paying sex workers to use condoms
(D) Paying drug users to use condoms
Answer: (","What does the term ""contingency management"" signify?
(A) A strategy of last resort for reducing high-risk behaviors
(B) Paying drug users for negative urine specimens
(C) Paying sex workers to use condoms
(D) Paying drug users to use condoms
Answer: (","How would you describe ""contingency management""?
(A) A strategy of last resort for reducing high-risk behaviors
(B) Paying drug users for negative urine specimens
(C) Paying sex workers to use condoms
(D) Paying drug users to use condoms
Answer: (","What is the definition of ""contingency management""?
(A) A strategy of last resort for reducing high-risk behaviors
(B) Paying drug users for negative urine specimens
(C) Paying sex workers to use condoms
(D) Paying drug users to use condoms
Answer: (","What does the concept of ""contingency management"" involve?
(A) A strategy of last resort for reducing high-risk behaviors
(B) Paying drug users for negative urine specimens
(C) Paying sex workers to use condoms
(D) Paying drug users to use condoms
Answer: (","How is the concept of ""contingency management"" best explained?
(A) A strategy of last resort for reducing high-risk behaviors
(B) Paying drug users for negative urine specimens
(C) Paying sex workers to use condoms
(D) Paying drug users to use condoms
Answer: (","What does ""contingency management"" imply?
(A) A strategy of last resort for reducing high-risk behaviors
(B) Paying drug users for negative urine specimens
(C) Paying sex workers to use condoms
(D) Paying drug users to use condoms
Answer: ("
Typical clinical symptoms following infection with astroviruses include which of the following?,Acute pneumonia,Gastroenteritis in children,Hepatitis,rashes,B,virology,"Typical clinical symptoms following infection with astroviruses include which of the following?
(A) Acute pneumonia
(B) Gastroenteritis in children
(C) Hepatitis
(D) rashes
Answer: (","Which is the most possible answer?
(A) Acute pneumonia
(B) Gastroenteritis in children
(C) Hepatitis
(D) rashes
Answer: (",33,"[32, 34, 35]","What are the common clinical symptoms after an astrovirus infection?
(A) Acute pneumonia
(B) Gastroenteritis in children
(C) Hepatitis
(D) rashes
Answer: (","Which symptoms are generally observed following an infection with astroviruses?
(A) Acute pneumonia
(B) Gastroenteritis in children
(C) Hepatitis
(D) rashes
Answer: (","After being infected with astroviruses, which clinical symptoms are typically seen?
(A) Acute pneumonia
(B) Gastroenteritis in children
(C) Hepatitis
(D) rashes
Answer: (","What symptoms are usually present in cases of astrovirus infection?
(A) Acute pneumonia
(B) Gastroenteritis in children
(C) Hepatitis
(D) rashes
Answer: (","Following an astrovirus infection, which symptoms are most commonly experienced?
(A) Acute pneumonia
(B) Gastroenteritis in children
(C) Hepatitis
(D) rashes
Answer: (","What are the usual clinical signs after contracting an astrovirus infection?
(A) Acute pneumonia
(B) Gastroenteritis in children
(C) Hepatitis
(D) rashes
Answer: (","Which of the following symptoms typically occur after an astrovirus infection?
(A) Acute pneumonia
(B) Gastroenteritis in children
(C) Hepatitis
(D) rashes
Answer: (","What clinical symptoms are generally associated with astrovirus infections?
(A) Acute pneumonia
(B) Gastroenteritis in children
(C) Hepatitis
(D) rashes
Answer: (","Which symptoms are most often reported following an infection with astroviruses?
(A) Acute pneumonia
(B) Gastroenteritis in children
(C) Hepatitis
(D) rashes
Answer: ("
Which of the following is the most special characteristic of the adaptive immune system?,Antibodies,T cells,Memory T cells,Clonal expansion of pre-existing antibodies and/or T cells,D,virology,"Which of the following is the most special characteristic of the adaptive immune system?
(A) Antibodies
(B) T cells
(C) Memory T cells
(D) Clonal expansion of pre-existing antibodies and/or T cells
Answer: (","Which is the most possible answer?
(A) Antibodies
(B) T cells
(C) Memory T cells
(D) Clonal expansion of pre-existing antibodies and/or T cells
Answer: (",35,"[32, 33, 34]","What is the most unique feature of the adaptive immune system among the options given?
(A) Antibodies
(B) T cells
(C) Memory T cells
(D) Clonal expansion of pre-existing antibodies and/or T cells
Answer: (","Among the following, what is the standout trait of the adaptive immune system?
(A) Antibodies
(B) T cells
(C) Memory T cells
(D) Clonal expansion of pre-existing antibodies and/or T cells
Answer: (","Which option highlights the most distinctive aspect of the adaptive immune system?
(A) Antibodies
(B) T cells
(C) Memory T cells
(D) Clonal expansion of pre-existing antibodies and/or T cells
Answer: (","What is considered the most notable characteristic of the adaptive immune system from the choices below?
(A) Antibodies
(B) T cells
(C) Memory T cells
(D) Clonal expansion of pre-existing antibodies and/or T cells
Answer: (","From the list, which is the most defining feature of the adaptive immune system?
(A) Antibodies
(B) T cells
(C) Memory T cells
(D) Clonal expansion of pre-existing antibodies and/or T cells
Answer: (","Which of these is the primary distinguishing characteristic of the adaptive immune system?
(A) Antibodies
(B) T cells
(C) Memory T cells
(D) Clonal expansion of pre-existing antibodies and/or T cells
Answer: (","What is the most significant trait of the adaptive immune system among these options?
(A) Antibodies
(B) T cells
(C) Memory T cells
(D) Clonal expansion of pre-existing antibodies and/or T cells
Answer: (","Among the choices, which is the key feature of the adaptive immune system?
(A) Antibodies
(B) T cells
(C) Memory T cells
(D) Clonal expansion of pre-existing antibodies and/or T cells
Answer: (","Which of the following options represents the most special attribute of the adaptive immune system?
(A) Antibodies
(B) T cells
(C) Memory T cells
(D) Clonal expansion of pre-existing antibodies and/or T cells
Answer: ("
Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?,Interferon and ribavirin,Lamivudine and ribavirin,Combinations of adefovir and entecavir and/or tenofovir (DAA),Interferons alone,B,virology,"Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?
(A) Interferon and ribavirin
(B) Lamivudine and ribavirin
(C) Combinations of adefovir and entecavir and/or tenofovir (DAA)
(D) Interferons alone
Answer: (","Which is the most possible answer?
(A) Interferon and ribavirin
(B) Lamivudine and ribavirin
(C) Combinations of adefovir and entecavir and/or tenofovir (DAA)
(D) Interferons alone
Answer: (",33,"[32, 34, 35]","Which drug regimens are commonly included in chemotherapy for patient care today?
(A) Interferon and ribavirin
(B) Lamivudine and ribavirin
(C) Combinations of adefovir and entecavir and/or tenofovir (DAA)
(D) Interferons alone
Answer: (","In current clinical care, chemotherapy options typically consist of which drug regimens?
(A) Interferon and ribavirin
(B) Lamivudine and ribavirin
(C) Combinations of adefovir and entecavir and/or tenofovir (DAA)
(D) Interferons alone
Answer: (","What are the usual drug regimens included in chemotherapy for patients nowadays?
(A) Interferon and ribavirin
(B) Lamivudine and ribavirin
(C) Combinations of adefovir and entecavir and/or tenofovir (DAA)
(D) Interferons alone
Answer: (","Today, chemotherapy for clinical care generally includes which drug regimens?
(A) Interferon and ribavirin
(B) Lamivudine and ribavirin
(C) Combinations of adefovir and entecavir and/or tenofovir (DAA)
(D) Interferons alone
Answer: (","In the context of clinical care, which drug regimens are now part of chemotherapy?
(A) Interferon and ribavirin
(B) Lamivudine and ribavirin
(C) Combinations of adefovir and entecavir and/or tenofovir (DAA)
(D) Interferons alone
Answer: (","Which of the following drug regimens are now standard in chemotherapy for patient treatment?
(A) Interferon and ribavirin
(B) Lamivudine and ribavirin
(C) Combinations of adefovir and entecavir and/or tenofovir (DAA)
(D) Interferons alone
Answer: (","What drug regimens are typically part of chemotherapy in modern clinical care?
(A) Interferon and ribavirin
(B) Lamivudine and ribavirin
(C) Combinations of adefovir and entecavir and/or tenofovir (DAA)
(D) Interferons alone
Answer: (","In today's clinical care, chemotherapy options generally include which of the following drug regimens?
(A) Interferon and ribavirin
(B) Lamivudine and ribavirin
(C) Combinations of adefovir and entecavir and/or tenofovir (DAA)
(D) Interferons alone
Answer: (","Which drug regimens are now considered standard in chemotherapy for patients?
(A) Interferon and ribavirin
(B) Lamivudine and ribavirin
(C) Combinations of adefovir and entecavir and/or tenofovir (DAA)
(D) Interferons alone
Answer: ("
