question,A,B,C,D,answer,category,valid,clean,corrupted,correct_idx,incorrect_idx
Leo Tolstoy says that art is _____.,expression,form,representation,abstract,A,philosophy,True,"Leo Tolstoy says that art is _____.
(A) expression
(B) form
(C) representation
(D) abstract
Answer: (","Which is the most possible answer?
(A) expression
(B) form
(C) representation
(D) abstract
Answer: (",32,"[33, 34, 35]"
"""Smith, Glass, and Miller’s (1980) meta-analysis of the psychotherapy outcome research found that people receiving therapy are """"better off"""" than about _____% of people who need treatment but do not receive it.""",45,55,80,95,C,professional_psychology,True,"""Smith, Glass, and Miller’s (1980) meta-analysis of the psychotherapy outcome research found that people receiving therapy are """"better off"""" than about _____% of people who need treatment but do not receive it.""
(A) 45
(B) 55
(C) 80
(D) 95
Answer: (","Which is the most possible answer?
(A) 45
(B) 55
(C) 80
(D) 95
Answer: (",34,"[32, 33, 35]"
The assignment of a term paper with a known due date employs a ___________ schedule of reinforcement.,VI,FI,FR,VR,B,professional_psychology,True,"The assignment of a term paper with a known due date employs a ___________ schedule of reinforcement.
(A) VI
(B) FI
(C) FR
(D) VR
Answer: (","Which is the most possible answer?
(A) VI
(B) FI
(C) FR
(D) VR
Answer: (",33,"[32, 34, 35]"
The information that family members continuously exchange and that helps minimize deviation and maintain the family's stability is referred to as ________ feedback.,external,internal,negative,positive,C,professional_psychology,True,"The information that family members continuously exchange and that helps minimize deviation and maintain the family's stability is referred to as ________ feedback.
(A) external
(B) internal
(C) negative
(D) positive
Answer: (","Which is the most possible answer?
(A) external
(B) internal
(C) negative
(D) positive
Answer: (",34,"[32, 33, 35]"
Research on bystander intervention indicates that a person in an emergency will be most likely to receive help when the number of bystanders is,one,two,three,four,A,professional_psychology,True,"Research on bystander intervention indicates that a person in an emergency will be most likely to receive help when the number of bystanders is
(A) one
(B) two
(C) three
(D) four
Answer: (","Which is the most possible answer?
(A) one
(B) two
(C) three
(D) four
Answer: (",32,"[33, 34, 35]"
The scoring criterion categories for the Exner Scoring System used to score the Rorschach Inkblot Test include all of the following except:,Color,Popular,Content,Location,A,professional_psychology,True,"The scoring criterion categories for the Exner Scoring System used to score the Rorschach Inkblot Test include all of the following except:
(A) Color
(B) Popular
(C) Content
(D) Location
Answer: (","Which is the most possible answer?
(A) Color
(B) Popular
(C) Content
(D) Location
Answer: (",32,"[33, 34, 35]"
"A college freshman obtains a score of 150 on his English final exam, a score of 100 on his math exam, a score of 55 on his chemistry exam, and a score of 30 on his history exam. The means and standard deviations for these tests are, respectively, 125 and 20 for the English exam, 90 and 10 for the math exam, 45 and 5 for the chemistry exam, and 30 and 5 for the history exam. Based on this information, you can conclude that the young man's test performance was best on which exam?",English,math,chemistry,history,C,professional_psychology,True,"A college freshman obtains a score of 150 on his English final exam, a score of 100 on his math exam, a score of 55 on his chemistry exam, and a score of 30 on his history exam. The means and standard deviations for these tests are, respectively, 125 and 20 for the English exam, 90 and 10 for the math exam, 45 and 5 for the chemistry exam, and 30 and 5 for the history exam. Based on this information, you can conclude that the young man's test performance was best on which exam?
(A) English
(B) math
(C) chemistry
(D) history
Answer: (","Which is the most possible answer?
(A) English
(B) math
(C) chemistry
(D) history
Answer: (",34,"[32, 33, 35]"
Most babies say their first words at about _____ months of age.,7,9,12,15,C,professional_psychology,True,"Most babies say their first words at about _____ months of age.
(A) 7
(B) 9
(C) 12
(D) 15
Answer: (","Which is the most possible answer?
(A) 7
(B) 9
(C) 12
(D) 15
Answer: (",34,"[32, 33, 35]"
A small bit of meat powder in the dog’s mouth was Pavlov’s ___________.,US,CS,UR,CR,A,professional_psychology,True,"A small bit of meat powder in the dog’s mouth was Pavlov’s ___________.
(A) US
(B) CS
(C) UR
(D) CR
Answer: (","Which is the most possible answer?
(A) US
(B) CS
(C) UR
(D) CR
Answer: (",32,"[33, 34, 35]"
Approximately how many half-lives will it take to reduce 10.0 kg of a radioactive substance to 1.0 microgram of that substance?,8,13,29,34,D,high_school_chemistry,True,"Approximately how many half-lives will it take to reduce 10.0 kg of a radioactive substance to 1.0 microgram of that substance?
(A) 8
(B) 13
(C) 29
(D) 34
Answer: (","Which is the most possible answer?
(A) 8
(B) 13
(C) 29
(D) 34
Answer: (",35,"[32, 33, 34]"
"In determining the order for reactant A in a certain reaction, the concentrations of all other reactants are held constant while the concentration of A is tripled from one experiment to another. The reaction rate is found to triple. The appropriate exponent for A in the rate law is",1,2,3,4,A,high_school_chemistry,True,"In determining the order for reactant A in a certain reaction, the concentrations of all other reactants are held constant while the concentration of A is tripled from one experiment to another. The reaction rate is found to triple. The appropriate exponent for A in the rate law is
(A) 1
(B) 2
(C) 3
(D) 4
Answer: (","Which is the most possible answer?
(A) 1
(B) 2
(C) 3
(D) 4
Answer: (",32,"[33, 34, 35]"
A 50.0 mL sample of 0.0025 M HBr is mixed with 50.0 mL of 0.0023 M KOH. What is the pH of the resulting mixture?,1,4,5,11,B,high_school_chemistry,True,"A 50.0 mL sample of 0.0025 M HBr is mixed with 50.0 mL of 0.0023 M KOH. What is the pH of the resulting mixture?
(A) 1
(B) 4
(C) 5
(D) 11
Answer: (","Which is the most possible answer?
(A) 1
(B) 4
(C) 5
(D) 11
Answer: (",33,"[32, 34, 35]"
Which of the following is a radioactive element?,Na,Cr,Am,Al,C,high_school_chemistry,True,"Which of the following is a radioactive element?
(A) Na
(B) Cr
(C) Am
(D) Al
Answer: (","Which is the most possible answer?
(A) Na
(B) Cr
(C) Am
(D) Al
Answer: (",34,"[32, 33, 35]"
Which of the following is expected to have the highest electronegativity?,S,Fe,W,Ag,A,high_school_chemistry,True,"Which of the following is expected to have the highest electronegativity?
(A) S
(B) Fe
(C) W
(D) Ag
Answer: (","Which is the most possible answer?
(A) S
(B) Fe
(C) W
(D) Ag
Answer: (",32,"[33, 34, 35]"
An atom has filled n = 1 and n = 2 levels. How many electrons does the atom have?,2,4,6,10,D,college_physics,True,"An atom has filled n = 1 and n = 2 levels. How many electrons does the atom have?
(A) 2
(B) 4
(C) 6
(D) 10
Answer: (","Which is the most possible answer?
(A) 2
(B) 4
(C) 6
(D) 10
Answer: (",35,"[32, 33, 34]"
"The energy from electromagnetic waves in equilibrium in a cavity is used to melt ice. If the Kelvin temperature of the cavity is increased by a factor of two, the mass of ice that can be melted in a fixed amount of time is increased by a factor of",2,4,8,16,D,college_physics,True,"The energy from electromagnetic waves in equilibrium in a cavity is used to melt ice. If the Kelvin temperature of the cavity is increased by a factor of two, the mass of ice that can be melted in a fixed amount of time is increased by a factor of
(A) 2
(B) 4
(C) 8
(D) 16
Answer: (","Which is the most possible answer?
(A) 2
(B) 4
(C) 8
(D) 16
Answer: (",35,"[32, 33, 34]"
A single-electron atom has the electron in the l = 2 state. The number of allowed values of the quantum number m_l is,1,2,3,5,D,college_physics,True,"A single-electron atom has the electron in the l = 2 state. The number of allowed values of the quantum number m_l is
(A) 1
(B) 2
(C) 3
(D) 5
Answer: (","Which is the most possible answer?
(A) 1
(B) 2
(C) 3
(D) 5
Answer: (",35,"[32, 33, 34]"
A single-electron atom has the electron in the l = 2 state. The number of allowed values of the quantum number m_l is,5,4,3,2,A,college_physics,True,"A single-electron atom has the electron in the l = 2 state. The number of allowed values of the quantum number m_l is
(A) 5
(B) 4
(C) 3
(D) 2
Answer: (","Which is the most possible answer?
(A) 5
(B) 4
(C) 3
(D) 2
Answer: (",32,"[33, 34, 35]"
Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.,1,7,13,19,D,global_facts,True,"Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.
(A) 1
(B) 7
(C) 13
(D) 19
Answer: (","Which is the most possible answer?
(A) 1
(B) 7
(C) 13
(D) 19
Answer: (",35,"[32, 33, 34]"
"As of 2019, which of the following had the lowest life expectancy?",Brazil,China,Mexico,Iran,C,global_facts,True,"As of 2019, which of the following had the lowest life expectancy?
(A) Brazil
(B) China
(C) Mexico
(D) Iran
Answer: (","Which is the most possible answer?
(A) Brazil
(B) China
(C) Mexico
(D) Iran
Answer: (",34,"[32, 33, 35]"
Which of the following countries emitted the most CO2 per capita in 2017?,Japan,Canada,Russia,Iran,B,global_facts,True,"Which of the following countries emitted the most CO2 per capita in 2017?
(A) Japan
(B) Canada
(C) Russia
(D) Iran
Answer: (","Which is the most possible answer?
(A) Japan
(B) Canada
(C) Russia
(D) Iran
Answer: (",33,"[32, 34, 35]"
Which of the following countries emitted the most CO2 in 2017?,Canada,Russia,Iran,Japan,D,global_facts,True,"Which of the following countries emitted the most CO2 in 2017?
(A) Canada
(B) Russia
(C) Iran
(D) Japan
Answer: (","Which is the most possible answer?
(A) Canada
(B) Russia
(C) Iran
(D) Japan
Answer: (",35,"[32, 33, 34]"
