question,A,B,C,D,answer,category,clean,corrupted,correct_idx,incorrect_idx
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,management,"What is the term for a sub-optimal but acceptable outcome of negotiations between parties?
(A) Bargaining
(B) Satisficing
(C) Accepting
(D) Compromising
Answer: (","Which is the most possible answer?
(A) Bargaining
(B) Satisficing
(C) Accepting
(D) Compromising
Answer: (",33,"[32, 34, 35]"
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,management,"What is the term for the 'rule of thumb' type of bias in decision making?
(A) Framing bias
(B) Hindsight bias
(C) Over-confidence bias
(D) Heuristics
Answer: (","Which is the most possible answer?
(A) Framing bias
(B) Hindsight bias
(C) Over-confidence bias
(D) Heuristics
Answer: (",35,"[32, 33, 34]"
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,management,"What is a normative perspective?
(A) The way things are.
(B) The way things are going to be.
(C) The way things should be.
(D) The way things were.
Answer: (","Which is the most possible answer?
(A) The way things are.
(B) The way things are going to be.
(C) The way things should be.
(D) The way things were.
Answer: (",34,"[32, 33, 35]"
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,management,"In the 'five forces model', what is the type of competitive activity that exists between organisations?
(A) The potential for entry into the industry
(B) The threat of substitute products
(C) The power of customers
(D) The level of rivalry
Answer: (","Which is the most possible answer?
(A) The potential for entry into the industry
(B) The threat of substitute products
(C) The power of customers
(D) The level of rivalry
Answer: (",35,"[32, 33, 34]"
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,management,"Which one of the following political leaders could not be termed a 'transformational' leader?
(A) Margaret Thatcher
(B) Mikhail Gorbachov
(C) Nelson Mandela
(D) Bill Clinton
Answer: (","Which is the most possible answer?
(A) Margaret Thatcher
(B) Mikhail Gorbachov
(C) Nelson Mandela
(D) Bill Clinton
Answer: (",35,"[32, 33, 34]"
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,management,"What is a Gantt chart a type of?
(A) Work flow design
(B) Work schedule design
(C) Work rate design
(D) Work output design
Answer: (","Which is the most possible answer?
(A) Work flow design
(B) Work schedule design
(C) Work rate design
(D) Work output design
Answer: (",33,"[32, 34, 35]"
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,management,"Which one of the following is a feature of McGregor's Theory X?
(A) Workers enjoy responsibility.
(B) Workers view physical and mental effort as a natural part of work.
(C) Workers like to show initiative.
(D) Workers like to be directed.
Answer: (","Which is the most possible answer?
(A) Workers enjoy responsibility.
(B) Workers view physical and mental effort as a natural part of work.
(C) Workers like to show initiative.
(D) Workers like to be directed.
Answer: (",35,"[32, 33, 34]"
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,management,"What is the term for power derived from status or position in an organisation?
(A) Referent
(B) Expert
(C) Reward
(D) Legitimate
Answer: (","Which is the most possible answer?
(A) Referent
(B) Expert
(C) Reward
(D) Legitimate
Answer: (",35,"[32, 33, 34]"
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,management,"Which writer is most associated with bureaucratic structures?
(A) Henry Fayol
(B) Max Weber
(C) Adam Smith
(D) Mary Parker Follett
Answer: (","Which is the most possible answer?
(A) Henry Fayol
(B) Max Weber
(C) Adam Smith
(D) Mary Parker Follett
Answer: (",33,"[32, 34, 35]"
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,management,"Who of the following is the industrial philanthropist?
(A) Frederick Taylor
(B) Seebohm Rowntree
(C) Henry Ford
(D) Max Weber
Answer: (","Which is the most possible answer?
(A) Frederick Taylor
(B) Seebohm Rowntree
(C) Henry Ford
(D) Max Weber
Answer: (",33,"[32, 34, 35]"
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,management,"Individualism as a guiding moral philosophy was advocated by which economist?
(A) John Kenneth Galbraith
(B) John Maynard Keynes
(C) Milton Friedman
(D) Alfred Marshall
Answer: (","Which is the most possible answer?
(A) John Kenneth Galbraith
(B) John Maynard Keynes
(C) Milton Friedman
(D) Alfred Marshall
Answer: (",34,"[32, 33, 35]"
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,management,"The Hawthorn Studies are most associated with which writer?
(A) Mary Parker Follett
(B) Elton Mayo
(C) Lillian Gilbreth
(D) Frederick Taylor
Answer: (","Which is the most possible answer?
(A) Mary Parker Follett
(B) Elton Mayo
(C) Lillian Gilbreth
(D) Frederick Taylor
Answer: (",33,"[32, 34, 35]"
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,management,"How can you describe the thinking and outlook of transformational leaders?
(A) Strategic
(B) Operational
(C) Functional
(D) Developmental
Answer: (","Which is the most possible answer?
(A) Strategic
(B) Operational
(C) Functional
(D) Developmental
Answer: (",32,"[33, 34, 35]"
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,management,"What are the key characteristics of transactional leaders?
(A) Guiding, mentoring and motivating
(B) Guiding, commanding and motivating
(C) Guiding, demonstrating and motivating
(D) Guiding, mentoring and demonstrating
Answer: (","Which is the most possible answer?
(A) Guiding, mentoring and motivating
(B) Guiding, commanding and motivating
(C) Guiding, demonstrating and motivating
(D) Guiding, mentoring and demonstrating
Answer: (",32,"[33, 34, 35]"
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,management,"What is not an assumption underpinning the rational decision making model?
(A) Incomplete information
(B) An agreed goal
(C) A structured problem
(D) High level of certainty regarding the environment
Answer: (","Which is the most possible answer?
(A) Incomplete information
(B) An agreed goal
(C) A structured problem
(D) High level of certainty regarding the environment
Answer: (",32,"[33, 34, 35]"
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,management,"Which one of the following is not one of Drucker's five guiding principles of management?
(A) Making people's strengths effective and their weaknesses irrelevant.
(B) Enhancing the ability of people to contribute.
(C) To operate the organisation's status system.
(D) Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.
Answer: (","Which is the most possible answer?
(A) Making people's strengths effective and their weaknesses irrelevant.
(B) Enhancing the ability of people to contribute.
(C) To operate the organisation's status system.
(D) Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.
Answer: (",34,"[32, 33, 35]"
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,management,"What is a paradigm?
(A) A theoretical assumption
(B) An illustration
(C) A theoretical model
(D) An example serving as a model
Answer: (","Which is the most possible answer?
(A) A theoretical assumption
(B) An illustration
(C) A theoretical model
(D) An example serving as a model
Answer: (",35,"[32, 33, 34]"
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,management,"What one of the following is not a key management skill in planning?
(A) Conceptual skills
(B) Analytical skills
(C) IT and computing skills
(D) Communication skills
Answer: (","Which is the most possible answer?
(A) Conceptual skills
(B) Analytical skills
(C) IT and computing skills
(D) Communication skills
Answer: (",34,"[32, 33, 35]"
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,management,"According to Belbin (1981) an extroverted and enthusiastic person fits with what role?
(A) Co-ordinator
(B) Shaper
(C) Resource investigator
(D) Implementer
Answer: (","Which is the most possible answer?
(A) Co-ordinator
(B) Shaper
(C) Resource investigator
(D) Implementer
Answer: (",34,"[32, 33, 35]"
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,management,"Which is not a recognised form of business continuity planning?
(A) Contingency planning
(B) Scenario planning
(C) Financial planning
(D) Building planning
Answer: (","Which is the most possible answer?
(A) Contingency planning
(B) Scenario planning
(C) Financial planning
(D) Building planning
Answer: (",35,"[32, 33, 34]"
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,management,"What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?
(A) Opportunistic organisation
(B) Enterprising organisation
(C) International organisation
(D) Agile organisation
Answer: (","Which is the most possible answer?
(A) Opportunistic organisation
(B) Enterprising organisation
(C) International organisation
(D) Agile organisation
Answer: (",35,"[32, 33, 34]"
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,management,"Which of these is not part of the recognised challenges for modern managers?
(A) Micro-managing the workforce
(B) Managing communications
(C) Managing change
(D) Managing the learning organisation
Answer: (","Which is the most possible answer?
(A) Micro-managing the workforce
(B) Managing communications
(C) Managing change
(D) Managing the learning organisation
Answer: (",32,"[33, 34, 35]"
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,management,"To what does emotional intelligence refer?
(A) How people view and understand the world.
(B) How people view and understand themselves.
(C) How people view and understand others.
(D) How people view and understand themselves and others.
Answer: (","Which is the most possible answer?
(A) How people view and understand the world.
(B) How people view and understand themselves.
(C) How people view and understand others.
(D) How people view and understand themselves and others.
Answer: (",35,"[32, 33, 34]"
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,management,"Of what is individual freedom to schedule work an example?
(A) Job design
(B) Job enrichment
(C) Job rate
(D) Job planning
Answer: (","Which is the most possible answer?
(A) Job design
(B) Job enrichment
(C) Job rate
(D) Job planning
Answer: (",33,"[32, 34, 35]"
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,management,"What are workers primarily motivated by according to the instrumental approach?
(A) Peer recognition
(B) Promotion
(C) Greater freedom
(D) Economic reward
Answer: (","Which is the most possible answer?
(A) Peer recognition
(B) Promotion
(C) Greater freedom
(D) Economic reward
Answer: (",35,"[32, 33, 34]"
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,management,"Which is not a characteristic of corporate social responsibility?
(A) Product safety
(B) Consumer rights
(C) Environmental policies
(D) Price-fixing
Answer: (","Which is the most possible answer?
(A) Product safety
(B) Consumer rights
(C) Environmental policies
(D) Price-fixing
Answer: (",35,"[32, 33, 34]"
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,management,"Who was a major protagonist of utilitarianism?
(A) John Stuart Mill
(B) Thomas Hobbes
(C) Karl Marx
(D) Adam Smith
Answer: (","Which is the most possible answer?
(A) John Stuart Mill
(B) Thomas Hobbes
(C) Karl Marx
(D) Adam Smith
Answer: (",32,"[33, 34, 35]"
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,management,"As what is ensuring that one individual does not carry the burden of a whole work task referred to?
(A) Work specialisation
(B) Work design
(C) Work schedule
(D) Work shift
Answer: (","Which is the most possible answer?
(A) Work specialisation
(B) Work design
(C) Work schedule
(D) Work shift
Answer: (",32,"[33, 34, 35]"
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,management,"How do you describe a work group that comprises workers with demarcated tasks and distant line managers?
(A) Dependent
(B) Independent
(C) Interdependent
(D) Collaborative
Answer: (","Which is the most possible answer?
(A) Dependent
(B) Independent
(C) Interdependent
(D) Collaborative
Answer: (",33,"[32, 34, 35]"
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,management,"Specialisation is a feature of which organisational structure?
(A) Matrix
(B) Divisional
(C) Multi-divisional
(D) Functional
Answer: (","Which is the most possible answer?
(A) Matrix
(B) Divisional
(C) Multi-divisional
(D) Functional
Answer: (",35,"[32, 33, 34]"
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,management,"Which one is not an element in the primary activities of a value chain?
(A) Procurement
(B) Inbound logistics
(C) Outbound logistics
(D) Service
Answer: (","Which is the most possible answer?
(A) Procurement
(B) Inbound logistics
(C) Outbound logistics
(D) Service
Answer: (",32,"[33, 34, 35]"
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,management,"What is the term for the act of getting individuals to behave in ways that are acceptable to a group?
(A) Indoctrination
(B) Brainwashing
(C) Propaganda
(D) Socialisation
Answer: (","Which is the most possible answer?
(A) Indoctrination
(B) Brainwashing
(C) Propaganda
(D) Socialisation
Answer: (",35,"[32, 33, 34]"
