question,A,B,C,D,answer,category,clean,corrupted,correct_idx,incorrect_idx,paraphrase1,paraphrase2,paraphrase3,paraphrase4,paraphrase5,paraphrase6,paraphrase7,paraphrase8,paraphrase9
This is a hierarchy of effects or sequential model used to explain how advertising works:,ADD.,AIDA.,PESTLE.,SWOT.,B,marketing,"This is a hierarchy of effects or sequential model used to explain how advertising works:
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","Which is the most possible answer?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (",33,"[32, 34, 35]","Which sequential model is used to describe the process of how advertising functions?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","What is the name of the hierarchy of effects model that explains advertising effectiveness?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","Identify the sequential model that outlines the process of advertising impact.
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","What model is used to sequentially explain the effects of advertising?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","Which hierarchy of effects model is utilized to understand how advertising operates?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","What is the sequential framework called that describes how advertising works?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","Name the model that uses a hierarchy of effects to explain advertising processes.
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","What is the term for the sequential model that details the workings of advertising?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","Which model is known for using a hierarchy of effects to explain advertising?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: ("
 _____________is an important element in the communication process. It recognizes that successful communications are more likely to be achieved if the source and the receiver understand each other.,The realm of understanding.,Personal selling.,Noise.,Feedback.,A,marketing," _____________is an important element in the communication process. It recognizes that successful communications are more likely to be achieved if the source and the receiver understand each other.
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","Which is the most possible answer?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (",32,"[33, 34, 35]","What is a crucial component in the communication process that ensures the source and receiver comprehend each other?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","Which element in the communication process is vital for the source and receiver to understand one another?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","In the communication process, what is essential for the source and receiver to achieve mutual understanding?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","What plays a key role in the communication process by facilitating mutual understanding between the source and the receiver?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","What is an essential factor in the communication process that helps the source and receiver to understand each other?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","Which aspect of the communication process is important for ensuring the source and receiver have mutual comprehension?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","What is considered an important part of the communication process that aids in mutual understanding between the source and receiver?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","In the communication process, what is necessary for the source and receiver to effectively understand each other?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","What element is crucial in the communication process for the source and receiver to achieve successful understanding?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: ("
"In the history of marketing, when did the production period end?",In the late 1800s.,In the early 1900s.,In the 1920s.,After the end of the Second World War.,C,marketing,"In the history of marketing, when did the production period end?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","Which is the most possible answer?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (",34,"[32, 33, 35]","When did the production era conclude in the history of marketing?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","At what point did the production period in marketing history come to an end?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","In marketing history, when was the end of the production period?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","When was the production period concluded in the timeline of marketing history?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","In the context of marketing history, when did the production era finish?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","When did the production phase end according to marketing history?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","At what time did the production period cease in the history of marketing?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","In the historical timeline of marketing, when did the production period terminate?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","When did the production period wrap up in the annals of marketing history?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: ("
The extent to which a service envelops a product varies according to a number of factors. Which of the following is NOT one of the factors?,The level of tangibility associated with the type of product.,Performance-value.,Variations in supply and demand.,The way in which the service is delivered.,B,marketing,"The extent to which a service envelops a product varies according to a number of factors. Which of the following is NOT one of the factors?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","Which is the most possible answer?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (",33,"[32, 34, 35]","The degree to which a service surrounds a product depends on several factors. Which of the following is NOT a factor?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","Which factor is NOT involved in determining how much a service encompasses a product?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","What is NOT a factor affecting the extent to which a service wraps around a product?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","Which of the following does NOT influence how a service envelops a product?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","Among the following, which is NOT a factor in how a service integrates with a product?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","Which of these is NOT a factor in the extent to which a service is associated with a product?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","Which factor does NOT contribute to the degree a service covers a product?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","What is NOT one of the factors that determine how a service surrounds a product?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","Which of the following is NOT considered when assessing how a service envelops a product?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: ("
"The owners of independent gasoline stations in a community meet secretly and agree to keep their prices high to protect their profitability. If their plan is discovered and they are charged with a crime, they could be",found guilty under the Sherman Antitrust Act and face prison time,found guilty under the Magnuson-Moss Warranty Act and face large fines,found guilty under the Adamson Act and face prison time and fines,found not guilty because retailers are allowed to set their own price levels,A,marketing,"The owners of independent gasoline stations in a community meet secretly and agree to keep their prices high to protect their profitability. If their plan is discovered and they are charged with a crime, they could be
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","Which is the most possible answer?
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (",32,"[33, 34, 35]","If independent gas station owners in a community secretly agree to maintain high prices to safeguard their profits, what could happen if they are caught and charged with a crime?
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","What might be the legal consequences if independent gas station owners in a community are discovered colluding to keep prices high?
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","Should independent gas station owners in a community be found conspiring to keep prices elevated, what legal repercussions could they face?
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","What could be the outcome if independent gas station owners in a community are charged with a crime for secretly agreeing to keep prices high?
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","If independent gas station owners in a community are caught secretly agreeing to high prices, what legal charges might they face?
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","What legal action could be taken if independent gas station owners in a community are discovered colluding to maintain high prices?
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","If independent gas station owners in a community are found to have secretly agreed on high prices, what could be the legal implications?
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","What could happen legally if independent gas station owners in a community are charged with conspiring to keep prices high?
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","If independent gas station owners in a community are discovered secretly agreeing to high prices, what might be the legal outcome?
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: ("
 The term 'marketing mix' describes:,A composite analysis of all environmental factors inside and outside the firm.,A series of business decisions that aid in selling a product.,The relationship between a firm's marketing strengths and its business weaknesses.,A blending of four strategic elements to satisfy specific target markets.,D,marketing," The term 'marketing mix' describes:
(A) A composite analysis of all environmental factors inside and outside the firm.
(B) A series of business decisions that aid in selling a product.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A blending of four strategic elements to satisfy specific target markets.
Answer: (","Which is the most possible answer?
(A) A composite analysis of all environmental factors inside and outside the firm.
(B) A series of business decisions that aid in selling a product.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A blending of four strategic elements to satisfy specific target markets.
Answer: (",35,"[32, 33, 34]","What does the term 'marketing mix' refer to?
(A) A composite analysis of all environmental factors inside and outside the firm.
(B) A series of business decisions that aid in selling a product.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A blending of four strategic elements to satisfy specific target markets.
Answer: (","How is the term 'marketing mix' defined?
(A) A composite analysis of all environmental factors inside and outside the firm.
(B) A series of business decisions that aid in selling a product.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A blending of four strategic elements to satisfy specific target markets.
Answer: (","What is meant by the term 'marketing mix'?
(A) A composite analysis of all environmental factors inside and outside the firm.
(B) A series of business decisions that aid in selling a product.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A blending of four strategic elements to satisfy specific target markets.
Answer: (","What does the phrase 'marketing mix' signify?
(A) A composite analysis of all environmental factors inside and outside the firm.
(B) A series of business decisions that aid in selling a product.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A blending of four strategic elements to satisfy specific target markets.
Answer: (","How would you describe the term 'marketing mix'?
(A) A composite analysis of all environmental factors inside and outside the firm.
(B) A series of business decisions that aid in selling a product.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A blending of four strategic elements to satisfy specific target markets.
Answer: (","What concept does the term 'marketing mix' illustrate?
(A) A composite analysis of all environmental factors inside and outside the firm.
(B) A series of business decisions that aid in selling a product.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A blending of four strategic elements to satisfy specific target markets.
Answer: (","What is the definition of 'marketing mix'?
(A) A composite analysis of all environmental factors inside and outside the firm.
(B) A series of business decisions that aid in selling a product.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A blending of four strategic elements to satisfy specific target markets.
Answer: (","What does the expression 'marketing mix' encompass?
(A) A composite analysis of all environmental factors inside and outside the firm.
(B) A series of business decisions that aid in selling a product.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A blending of four strategic elements to satisfy specific target markets.
Answer: (","How is 'marketing mix' characterized?
(A) A composite analysis of all environmental factors inside and outside the firm.
(B) A series of business decisions that aid in selling a product.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A blending of four strategic elements to satisfy specific target markets.
Answer: ("
__________ have the potential to control the type and flow of information to the organization and the members of the DMU.,Gatekeepers.,Buyers.,Users.,Initiators.,A,marketing,"__________ have the potential to control the type and flow of information to the organization and the members of the DMU.
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Which is the most possible answer?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (",32,"[33, 34, 35]","Who has the ability to manage the type and flow of information to the organization and the DMU members?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Which individuals can influence the type and flow of information reaching the organization and DMU members?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Who can regulate the type and flow of information to the organization and its DMU members?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Which role is responsible for controlling the type and flow of information to the organization and DMU members?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Who holds the power to direct the type and flow of information to the organization and DMU members?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Who is capable of overseeing the type and flow of information to the organization and DMU members?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Which group has the potential to dictate the type and flow of information to the organization and DMU members?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Who can determine the type and flow of information to the organization and the members of the DMU?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Which individuals have the authority to control the type and flow of information to the organization and DMU members?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: ("
 An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:,Motive development.,An attitude.,A self-concept.,Product evaluation.,A,marketing," An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","Which is the most possible answer?
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (",32,"[33, 34, 35]","What is it called when there is a discrepancy between a consumer's current and preferred state, prompting the need for resolution?
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","How do we refer to the situation where a consumer perceives a gap between their actual and desired state, indicating a problem that needs addressing?
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","What term describes the condition where a consumer identifies a difference between their existing and ideal state, necessitating a solution?
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","When a consumer notices a gap between their real and desired state, what is this recognition of a problem called?
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","What is the term for the awareness of a gap between a consumer's actual and desired state that requires resolution?
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","How is the recognition of a disparity between a consumer's current and desired state, indicating a need for action, defined?
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","What do we call the situation where a consumer acknowledges a difference between their present and desired state, signaling a need for change?
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","What is the name for the realization of a gap between a consumer's actual and preferred state that needs to be addressed?
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","How is the identification of a gap between a consumer's current and ideal state, which calls for resolution, termed?
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: ("
 Which of the following is not an element of the marketing mix?,Promotion.,Product.,Target market.,Pricing.,C,marketing," Which of the following is not an element of the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which is the most possible answer?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (",34,"[32, 33, 35]","Which option listed is not part of the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which of these is excluded from the marketing mix elements?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Among the following, which is not considered an element of the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which of the following does not belong to the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which item is not included in the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which of the following is not a component of the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which choice is not an element within the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which of these is not a part of the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which one of the following is not an element of the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: ("
 Providing free samples of perfumes (scent) in magazines is an example of which of the following?,Classical conditioning.,Operant conditioning.,Social learning.,Behavioural learning.,A,marketing," Providing free samples of perfumes (scent) in magazines is an example of which of the following?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","Which is the most possible answer?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (",32,"[33, 34, 35]","Offering complimentary perfume samples in magazines exemplifies which of the following?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","Distributing free perfume samples in magazines is an instance of what?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","What does giving away free perfume samples in magazines represent?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","Providing complimentary scent samples in magazines is an example of which concept?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","What is illustrated by the distribution of free perfume samples in magazines?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","The act of including free perfume samples in magazines is an example of which?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","Which of the following is demonstrated by offering free perfume samples in magazines?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","Including free perfume samples in magazines serves as an example of what?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","What concept is shown by providing free perfume samples in magazines?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: ("
