question,A,B,C,D,answer,category,clean,corrupted,correct_idx,incorrect_idx
This is a hierarchy of effects or sequential model used to explain how advertising works:,ADD.,AIDA.,PESTLE.,SWOT.,B,marketing,"This is a hierarchy of effects or sequential model used to explain how advertising works:
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","Which is the most possible answer?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (",33,"[32, 34, 35]"
 _____________is an important element in the communication process. It recognizes that successful communications are more likely to be achieved if the source and the receiver understand each other.,The realm of understanding.,Personal selling.,Noise.,Feedback.,A,marketing," _____________is an important element in the communication process. It recognizes that successful communications are more likely to be achieved if the source and the receiver understand each other.
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","Which is the most possible answer?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (",32,"[33, 34, 35]"
"In the history of marketing, when did the production period end?",In the late 1800s.,In the early 1900s.,In the 1920s.,After the end of the Second World War.,C,marketing,"In the history of marketing, when did the production period end?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","Which is the most possible answer?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (",34,"[32, 33, 35]"
The extent to which a service envelops a product varies according to a number of factors. Which of the following is NOT one of the factors?,The level of tangibility associated with the type of product.,Performance-value.,Variations in supply and demand.,The way in which the service is delivered.,B,marketing,"The extent to which a service envelops a product varies according to a number of factors. Which of the following is NOT one of the factors?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","Which is the most possible answer?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (",33,"[32, 34, 35]"
"The owners of independent gasoline stations in a community meet secretly and agree to keep their prices high to protect their profitability. If their plan is discovered and they are charged with a crime, they could be",found guilty under the Sherman Antitrust Act and face prison time,found guilty under the Magnuson-Moss Warranty Act and face large fines,found guilty under the Adamson Act and face prison time and fines,found not guilty because retailers are allowed to set their own price levels,A,marketing,"The owners of independent gasoline stations in a community meet secretly and agree to keep their prices high to protect their profitability. If their plan is discovered and they are charged with a crime, they could be
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","Which is the most possible answer?
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (",32,"[33, 34, 35]"
 The term 'marketing mix' describes:,A composite analysis of all environmental factors inside and outside the firm.,A series of business decisions that aid in selling a product.,The relationship between a firm's marketing strengths and its business weaknesses.,A blending of four strategic elements to satisfy specific target markets.,D,marketing," The term 'marketing mix' describes:
(A) A composite analysis of all environmental factors inside and outside the firm.
(B) A series of business decisions that aid in selling a product.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A blending of four strategic elements to satisfy specific target markets.
Answer: (","Which is the most possible answer?
(A) A composite analysis of all environmental factors inside and outside the firm.
(B) A series of business decisions that aid in selling a product.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A blending of four strategic elements to satisfy specific target markets.
Answer: (",35,"[32, 33, 34]"
__________ have the potential to control the type and flow of information to the organization and the members of the DMU.,Gatekeepers.,Buyers.,Users.,Initiators.,A,marketing,"__________ have the potential to control the type and flow of information to the organization and the members of the DMU.
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Which is the most possible answer?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (",32,"[33, 34, 35]"
 An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:,Motive development.,An attitude.,A self-concept.,Product evaluation.,A,marketing," An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","Which is the most possible answer?
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (",32,"[33, 34, 35]"
 Which of the following is not an element of the marketing mix?,Promotion.,Product.,Target market.,Pricing.,C,marketing," Which of the following is not an element of the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which is the most possible answer?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (",34,"[32, 33, 35]"
 Providing free samples of perfumes (scent) in magazines is an example of which of the following?,Classical conditioning.,Operant conditioning.,Social learning.,Behavioural learning.,A,marketing," Providing free samples of perfumes (scent) in magazines is an example of which of the following?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","Which is the most possible answer?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (",32,"[33, 34, 35]"
Why is market segmentation carried out?,To break down large markets into smaller markets.,To provide an opportunity to surpass competitors.,"By grouping together customers with similar needs, it provides a commercially viable method of serving these customers.",To allow the achievement of greater market share.,C,marketing,"Why is market segmentation carried out?
(A) To break down large markets into smaller markets.
(B) To provide an opportunity to surpass competitors.
(C) By grouping together customers with similar needs, it provides a commercially viable method of serving these customers.
(D) To allow the achievement of greater market share.
Answer: (","Which is the most possible answer?
(A) To break down large markets into smaller markets.
(B) To provide an opportunity to surpass competitors.
(C) By grouping together customers with similar needs, it provides a commercially viable method of serving these customers.
(D) To allow the achievement of greater market share.
Answer: (",34,"[32, 33, 35]"
" There are three main types of buying situations in an organization, referred to by Robinson, Faris, and Wind (1967) as _____________.",Repeat purchases.,Buyphases.,Buyclasses.,Tenders.,C,marketing," There are three main types of buying situations in an organization, referred to by Robinson, Faris, and Wind (1967) as _____________.
(A) Repeat purchases.
(B) Buyphases.
(C) Buyclasses.
(D) Tenders.
Answer: (","Which is the most possible answer?
(A) Repeat purchases.
(B) Buyphases.
(C) Buyclasses.
(D) Tenders.
Answer: (",34,"[32, 33, 35]"
"Where the winning bidder obtains an unprofitable contract that he/she is duty bound to deliver because their bid price was set so low, this is known as:",Winner's curse.,Winner's price.,Winner's reward.,Loss-leader pricing.,A,marketing,"Where the winning bidder obtains an unprofitable contract that he/she is duty bound to deliver because their bid price was set so low, this is known as:
(A) Winner's curse.
(B) Winner's price.
(C) Winner's reward.
(D) Loss-leader pricing.
Answer: (","Which is the most possible answer?
(A) Winner's curse.
(B) Winner's price.
(C) Winner's reward.
(D) Loss-leader pricing.
Answer: (",32,"[33, 34, 35]"
This allows us to determine how the quantity of an offering relates to the price at which it is offered:,Price bundling.,Price elasticity.,Price inelasticity.,Price inflation.,B,marketing,"This allows us to determine how the quantity of an offering relates to the price at which it is offered:
(A) Price bundling.
(B) Price elasticity.
(C) Price inelasticity.
(D) Price inflation.
Answer: (","Which is the most possible answer?
(A) Price bundling.
(B) Price elasticity.
(C) Price inelasticity.
(D) Price inflation.
Answer: (",33,"[32, 34, 35]"
 ________________ occur(s) where there is no prior history of exchange and no future exchanges are expected between a buyer and seller.,Relationship marketing.,Service mix.,Market exchanges.,Service failure.,C,marketing," ________________ occur(s) where there is no prior history of exchange and no future exchanges are expected between a buyer and seller.
(A) Relationship marketing.
(B) Service mix.
(C) Market exchanges.
(D) Service failure.
Answer: (","Which is the most possible answer?
(A) Relationship marketing.
(B) Service mix.
(C) Market exchanges.
(D) Service failure.
Answer: (",34,"[32, 33, 35]"
A method of marketing by electronic mail wherein the recipient of the message has consented to receive it is called:,Search marketing.,Internet advertising.,Permission-based email marketing.,Social web marketing.,C,marketing,"A method of marketing by electronic mail wherein the recipient of the message has consented to receive it is called:
(A) Search marketing.
(B) Internet advertising.
(C) Permission-based email marketing.
(D) Social web marketing.
Answer: (","Which is the most possible answer?
(A) Search marketing.
(B) Internet advertising.
(C) Permission-based email marketing.
(D) Social web marketing.
Answer: (",34,"[32, 33, 35]"
" Collectively organizations that combine to enable offerings to reach end users quickly and efficiently constitute a marketing channel, are sometimes referred to as a:",Vehicle.,Courier.,Transportation.,Distribution channel.,D,marketing," Collectively organizations that combine to enable offerings to reach end users quickly and efficiently constitute a marketing channel, are sometimes referred to as a:
(A) Vehicle.
(B) Courier.
(C) Transportation.
(D) Distribution channel.
Answer: (","Which is the most possible answer?
(A) Vehicle.
(B) Courier.
(C) Transportation.
(D) Distribution channel.
Answer: (",35,"[32, 33, 34]"
 Which of the following are the three broad groups of organizational characteristics segmentation criteria?,"Organizational size, industry type, and gender.","Psychographics, purchaser, and behavioural criteria.","Organizational size, industry type, and geographical location.",None of the above.,C,marketing," Which of the following are the three broad groups of organizational characteristics segmentation criteria?
(A) Organizational size, industry type, and gender.
(B) Psychographics, purchaser, and behavioural criteria.
(C) Organizational size, industry type, and geographical location.
(D) None of the above.
Answer: (","Which is the most possible answer?
(A) Organizational size, industry type, and gender.
(B) Psychographics, purchaser, and behavioural criteria.
(C) Organizational size, industry type, and geographical location.
(D) None of the above.
Answer: (",34,"[32, 33, 35]"
Which of the following is the name for a coupon that is included in a package for later purchase?,a free-standing coupon,an instant-redemption coupon,a bounce-back coupon,a rebate coupon,C,marketing,"Which of the following is the name for a coupon that is included in a package for later purchase?
(A) a free-standing coupon
(B) an instant-redemption coupon
(C) a bounce-back coupon
(D) a rebate coupon
Answer: (","Which is the most possible answer?
(A) a free-standing coupon
(B) an instant-redemption coupon
(C) a bounce-back coupon
(D) a rebate coupon
Answer: (",34,"[32, 33, 35]"
" Advertising is employed as a defence, to retain customers, and to increase brand usage. Advertising is used to reinforce existing attitudes, not necessarily to drastically change them. This idea is based on:",Strong theory.,Weak theory.,ATR framework.,DRIP model.,B,marketing," Advertising is employed as a defence, to retain customers, and to increase brand usage. Advertising is used to reinforce existing attitudes, not necessarily to drastically change them. This idea is based on:
(A) Strong theory.
(B) Weak theory.
(C) ATR framework.
(D) DRIP model.
Answer: (","Which is the most possible answer?
(A) Strong theory.
(B) Weak theory.
(C) ATR framework.
(D) DRIP model.
Answer: (",33,"[32, 34, 35]"
"_____________ is an assessment of a company's mix of products, services, investments, and other assets in order to optimize the use of resources and to assess its suitability, level of risk, and expected financial return.",SWOT analysis.,Political analysis.,Portfolio analysis.,Competitive analysis.,C,marketing,"_____________ is an assessment of a company's mix of products, services, investments, and other assets in order to optimize the use of resources and to assess its suitability, level of risk, and expected financial return.
(A) SWOT analysis.
(B) Political analysis.
(C) Portfolio analysis.
(D) Competitive analysis.
Answer: (","Which is the most possible answer?
(A) SWOT analysis.
(B) Political analysis.
(C) Portfolio analysis.
(D) Competitive analysis.
Answer: (",34,"[32, 33, 35]"
" These goods are low-priced products that are bought frequently, are used just once, and incur low levels of purchase risk:",Non-durable.,Durable.,Generic.,Luxury.,A,marketing," These goods are low-priced products that are bought frequently, are used just once, and incur low levels of purchase risk:
(A) Non-durable.
(B) Durable.
(C) Generic.
(D) Luxury.
Answer: (","Which is the most possible answer?
(A) Non-durable.
(B) Durable.
(C) Generic.
(D) Luxury.
Answer: (",32,"[33, 34, 35]"
Which of the following processes is not fundamental in explaining how consumers think and learn about products and brands?,Cognition.,Perception.,Learning.,Personality.,D,marketing,"Which of the following processes is not fundamental in explaining how consumers think and learn about products and brands?
(A) Cognition.
(B) Perception.
(C) Learning.
(D) Personality.
Answer: (","Which is the most possible answer?
(A) Cognition.
(B) Perception.
(C) Learning.
(D) Personality.
Answer: (",35,"[32, 33, 34]"
 ________________is used to influence the way an organization is perceived by various groups of stakeholders.,Direct marketing.,Public relations.,Sale promotion.,Advertising,B,marketing," ________________is used to influence the way an organization is perceived by various groups of stakeholders.
(A) Direct marketing.
(B) Public relations.
(C) Sale promotion.
(D) Advertising
Answer: (","Which is the most possible answer?
(A) Direct marketing.
(B) Public relations.
(C) Sale promotion.
(D) Advertising
Answer: (",33,"[32, 34, 35]"
Marketing that moves away from a transaction-based effort to a conversation (i.e. two-way dialogue) and can be described as a situation or mechanism through which marketers and a customer (e.g. stakeholders) interact usually in real-time is known as:,Digital marketing.,Interactive marketing.,Direct marketing.,Electronic marketing.,B,marketing,"Marketing that moves away from a transaction-based effort to a conversation (i.e. two-way dialogue) and can be described as a situation or mechanism through which marketers and a customer (e.g. stakeholders) interact usually in real-time is known as:
(A) Digital marketing.
(B) Interactive marketing.
(C) Direct marketing.
(D) Electronic marketing.
Answer: (","Which is the most possible answer?
(A) Digital marketing.
(B) Interactive marketing.
(C) Direct marketing.
(D) Electronic marketing.
Answer: (",33,"[32, 34, 35]"
 The differentiation of a firm's products or services to promote environmental responsibility is referred to as:,Social branding.,Eco-branding.,Me-too branding.,Brand personality.,B,marketing," The differentiation of a firm's products or services to promote environmental responsibility is referred to as:
(A) Social branding.
(B) Eco-branding.
(C) Me-too branding.
(D) Brand personality.
Answer: (","Which is the most possible answer?
(A) Social branding.
(B) Eco-branding.
(C) Me-too branding.
(D) Brand personality.
Answer: (",33,"[32, 34, 35]"
 Which of the following is the rate at which a market adopts an innovation?,Process of diffusion.,Process of differentiation.,Adoption process.,Adoption lifecycle.,A,marketing," Which of the following is the rate at which a market adopts an innovation?
(A) Process of diffusion.
(B) Process of differentiation.
(C) Adoption process.
(D) Adoption lifecycle.
Answer: (","Which is the most possible answer?
(A) Process of diffusion.
(B) Process of differentiation.
(C) Adoption process.
(D) Adoption lifecycle.
Answer: (",32,"[33, 34, 35]"
Micromarketing is directed at potential buyers who,have excess disposable income,are between the ages of 8 and 14,share similar attitudes and behaviors,have opted out of customized marketing,C,marketing,"Micromarketing is directed at potential buyers who
(A) have excess disposable income
(B) are between the ages of 8 and 14
(C) share similar attitudes and behaviors
(D) have opted out of customized marketing
Answer: (","Which is the most possible answer?
(A) have excess disposable income
(B) are between the ages of 8 and 14
(C) share similar attitudes and behaviors
(D) have opted out of customized marketing
Answer: (",34,"[32, 33, 35]"
 This is a group of people in the process of diffusion who enjoy being at the leading edge of innovation and buy into new products at an early stage:,Late majority.,Early adopter.,Early majority.,Laggards.,B,marketing," This is a group of people in the process of diffusion who enjoy being at the leading edge of innovation and buy into new products at an early stage:
(A) Late majority.
(B) Early adopter.
(C) Early majority.
(D) Laggards.
Answer: (","Which is the most possible answer?
(A) Late majority.
(B) Early adopter.
(C) Early majority.
(D) Laggards.
Answer: (",33,"[32, 34, 35]"
