id,question,choices,answerKey,clean,corrupted,correct_idx,incorrect_idx,paraphrase1,paraphrase2,paraphrase3,paraphrase4,paraphrase5,paraphrase6,paraphrase7,paraphrase8,paraphrase9
Mercury_417466,Which statement best explains why photosynthesis is the foundation of most food webs?,"{'text': array(['Sunlight is the source of energy for nearly all ecosystems.',
       'Most ecosystems are found on land instead of in water.',
       'Carbon dioxide is more available than other gases.',
       'The producers in all ecosystems are plants.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"Which statement best explains why photosynthesis is the foundation of most food webs?
(A) Sunlight is the source of energy for nearly all ecosystems.
(B) Most ecosystems are found on land instead of in water.
(C) Carbon dioxide is more available than other gases.
(D) The producers in all ecosystems are plants.
Answer: (","Which is the most possible answer?
(A) Sunlight is the source of energy for nearly all ecosystems.
(B) Most ecosystems are found on land instead of in water.
(C) Carbon dioxide is more available than other gases.
(D) The producers in all ecosystems are plants.
Answer: (",32,"[33, 34, 35]","What is the primary reason photosynthesis is considered the basis of most food webs?
(A) Sunlight is the source of energy for nearly all ecosystems.
(B) Most ecosystems are found on land instead of in water.
(C) Carbon dioxide is more available than other gases.
(D) The producers in all ecosystems are plants.
Answer: (","Why is photosynthesis regarded as the cornerstone of the majority of food webs?
(A) Sunlight is the source of energy for nearly all ecosystems.
(B) Most ecosystems are found on land instead of in water.
(C) Carbon dioxide is more available than other gases.
(D) The producers in all ecosystems are plants.
Answer: (","Which explanation most accurately describes why photosynthesis underpins most food webs?
(A) Sunlight is the source of energy for nearly all ecosystems.
(B) Most ecosystems are found on land instead of in water.
(C) Carbon dioxide is more available than other gases.
(D) The producers in all ecosystems are plants.
Answer: (","What is the best explanation for photosynthesis being the foundation of most food webs?
(A) Sunlight is the source of energy for nearly all ecosystems.
(B) Most ecosystems are found on land instead of in water.
(C) Carbon dioxide is more available than other gases.
(D) The producers in all ecosystems are plants.
Answer: (","Why is photosynthesis seen as the fundamental process for most food webs?
(A) Sunlight is the source of energy for nearly all ecosystems.
(B) Most ecosystems are found on land instead of in water.
(C) Carbon dioxide is more available than other gases.
(D) The producers in all ecosystems are plants.
Answer: (","Which statement most effectively clarifies why photosynthesis is central to most food webs?
(A) Sunlight is the source of energy for nearly all ecosystems.
(B) Most ecosystems are found on land instead of in water.
(C) Carbon dioxide is more available than other gases.
(D) The producers in all ecosystems are plants.
Answer: (","What reason best supports the idea that photosynthesis is the basis of most food webs?
(A) Sunlight is the source of energy for nearly all ecosystems.
(B) Most ecosystems are found on land instead of in water.
(C) Carbon dioxide is more available than other gases.
(D) The producers in all ecosystems are plants.
Answer: (","Why is photosynthesis the essential process for the majority of food webs?
(A) Sunlight is the source of energy for nearly all ecosystems.
(B) Most ecosystems are found on land instead of in water.
(C) Carbon dioxide is more available than other gases.
(D) The producers in all ecosystems are plants.
Answer: (","Which statement most convincingly explains the role of photosynthesis in forming the foundation of most food webs?
(A) Sunlight is the source of energy for nearly all ecosystems.
(B) Most ecosystems are found on land instead of in water.
(C) Carbon dioxide is more available than other gases.
(D) The producers in all ecosystems are plants.
Answer: ("
Mercury_7081673,Which piece of safety equipment is used to keep mold spores from entering the respiratory system?,"{'text': array(['safety goggles', 'breathing mask', 'rubber gloves', 'lead apron'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"Which piece of safety equipment is used to keep mold spores from entering the respiratory system?
(A) safety goggles
(B) breathing mask
(C) rubber gloves
(D) lead apron
Answer: (","Which is the most possible answer?
(A) safety goggles
(B) breathing mask
(C) rubber gloves
(D) lead apron
Answer: (",33,"[32, 34, 35]","What safety gear is used to prevent mold spores from entering the lungs?
(A) safety goggles
(B) breathing mask
(C) rubber gloves
(D) lead apron
Answer: (","Which safety device is designed to block mold spores from reaching the respiratory tract?
(A) safety goggles
(B) breathing mask
(C) rubber gloves
(D) lead apron
Answer: (","What type of protective equipment is employed to stop mold spores from entering the respiratory system?
(A) safety goggles
(B) breathing mask
(C) rubber gloves
(D) lead apron
Answer: (","Which item of safety equipment is intended to keep mold spores out of the respiratory system?
(A) safety goggles
(B) breathing mask
(C) rubber gloves
(D) lead apron
Answer: (","What is the protective equipment used to prevent inhalation of mold spores?
(A) safety goggles
(B) breathing mask
(C) rubber gloves
(D) lead apron
Answer: (","Which piece of safety gear is used to shield the respiratory system from mold spores?
(A) safety goggles
(B) breathing mask
(C) rubber gloves
(D) lead apron
Answer: (","What equipment is used to protect the respiratory system from mold spores?
(A) safety goggles
(B) breathing mask
(C) rubber gloves
(D) lead apron
Answer: (","Which protective device is used to keep mold spores from entering the respiratory system?
(A) safety goggles
(B) breathing mask
(C) rubber gloves
(D) lead apron
Answer: (","What is used to prevent mold spores from entering the respiratory system as a safety measure?
(A) safety goggles
(B) breathing mask
(C) rubber gloves
(D) lead apron
Answer: ("
Mercury_7239733,Meiosis is a type of cell division in which germ cells divide to produce haploid cells. Where does meiosis occur?,"{'text': array(['brain cells', 'bone cells', 'muscle cells', 'ovary cells'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"Meiosis is a type of cell division in which germ cells divide to produce haploid cells. Where does meiosis occur?
(A) brain cells
(B) bone cells
(C) muscle cells
(D) ovary cells
Answer: (","Which is the most possible answer?
(A) brain cells
(B) bone cells
(C) muscle cells
(D) ovary cells
Answer: (",35,"[32, 33, 34]","In which location does the process of meiosis take place?
(A) brain cells
(B) bone cells
(C) muscle cells
(D) ovary cells
Answer: (","Where does the cell division process known as meiosis happen?
(A) brain cells
(B) bone cells
(C) muscle cells
(D) ovary cells
Answer: (","Meiosis, a form of cell division, occurs in which type of cells?
(A) brain cells
(B) bone cells
(C) muscle cells
(D) ovary cells
Answer: (","In what type of cells does meiosis, the division process, occur?
(A) brain cells
(B) bone cells
(C) muscle cells
(D) ovary cells
Answer: (","Where is meiosis, the division of germ cells into haploid cells, carried out?
(A) brain cells
(B) bone cells
(C) muscle cells
(D) ovary cells
Answer: (","Meiosis, responsible for producing haploid cells, takes place in which area?
(A) brain cells
(B) bone cells
(C) muscle cells
(D) ovary cells
Answer: (","In which cells does the division process of meiosis occur?
(A) brain cells
(B) bone cells
(C) muscle cells
(D) ovary cells
Answer: (","Where does the division process called meiosis take place?
(A) brain cells
(B) bone cells
(C) muscle cells
(D) ovary cells
Answer: (","Meiosis, a division process for germ cells, occurs in which location?
(A) brain cells
(B) bone cells
(C) muscle cells
(D) ovary cells
Answer: ("
NYSEDREGENTS_2015_4_8,Which characteristic describes the texture of a kitten's fur?,"{'text': array(['gray', 'warm', 'long', 'soft'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"Which characteristic describes the texture of a kitten's fur?
(A) gray
(B) warm
(C) long
(D) soft
Answer: (","Which is the most possible answer?
(A) gray
(B) warm
(C) long
(D) soft
Answer: (",35,"[32, 33, 34]","What trait best defines the feel of a kitten's fur?
(A) gray
(B) warm
(C) long
(D) soft
Answer: (","How would you describe the texture of a kitten's fur?
(A) gray
(B) warm
(C) long
(D) soft
Answer: (","What is a defining feature of a kitten's fur texture?
(A) gray
(B) warm
(C) long
(D) soft
Answer: (","Which feature characterizes the feel of a kitten's fur?
(A) gray
(B) warm
(C) long
(D) soft
Answer: (","How can the texture of a kitten's fur be described?
(A) gray
(B) warm
(C) long
(D) soft
Answer: (","What is a notable characteristic of a kitten's fur texture?
(A) gray
(B) warm
(C) long
(D) soft
Answer: (","Which attribute describes how a kitten's fur feels?
(A) gray
(B) warm
(C) long
(D) soft
Answer: (","What is the texture of a kitten's fur like?
(A) gray
(B) warm
(C) long
(D) soft
Answer: (","How is the texture of a kitten's fur typically described?
(A) gray
(B) warm
(C) long
(D) soft
Answer: ("
Mercury_7037258,Which best describes the structure of an atom?,"{'text': array(['a lightweight core surrounded by neutral particles',
       'a massive core surrounded by negatively-charged particles',
       'a network of interacting positive and negative particles',
       'overlapping layers of neutral, positive, and negative particles'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"Which best describes the structure of an atom?
(A) a lightweight core surrounded by neutral particles
(B) a massive core surrounded by negatively-charged particles
(C) a network of interacting positive and negative particles
(D) overlapping layers of neutral, positive, and negative particles
Answer: (","Which is the most possible answer?
(A) a lightweight core surrounded by neutral particles
(B) a massive core surrounded by negatively-charged particles
(C) a network of interacting positive and negative particles
(D) overlapping layers of neutral, positive, and negative particles
Answer: (",33,"[32, 34, 35]","What is the most accurate description of an atom's structure?
(A) a lightweight core surrounded by neutral particles
(B) a massive core surrounded by negatively-charged particles
(C) a network of interacting positive and negative particles
(D) overlapping layers of neutral, positive, and negative particles
Answer: (","How is the structure of an atom best characterized?
(A) a lightweight core surrounded by neutral particles
(B) a massive core surrounded by negatively-charged particles
(C) a network of interacting positive and negative particles
(D) overlapping layers of neutral, positive, and negative particles
Answer: (","Which option accurately depicts the composition of an atom?
(A) a lightweight core surrounded by neutral particles
(B) a massive core surrounded by negatively-charged particles
(C) a network of interacting positive and negative particles
(D) overlapping layers of neutral, positive, and negative particles
Answer: (","What description most effectively captures the structure of an atom?
(A) a lightweight core surrounded by neutral particles
(B) a massive core surrounded by negatively-charged particles
(C) a network of interacting positive and negative particles
(D) overlapping layers of neutral, positive, and negative particles
Answer: (","Which statement best outlines the structure of an atom?
(A) a lightweight core surrounded by neutral particles
(B) a massive core surrounded by negatively-charged particles
(C) a network of interacting positive and negative particles
(D) overlapping layers of neutral, positive, and negative particles
Answer: (","How can the structure of an atom be best described?
(A) a lightweight core surrounded by neutral particles
(B) a massive core surrounded by negatively-charged particles
(C) a network of interacting positive and negative particles
(D) overlapping layers of neutral, positive, and negative particles
Answer: (","Which choice best represents the structural makeup of an atom?
(A) a lightweight core surrounded by neutral particles
(B) a massive core surrounded by negatively-charged particles
(C) a network of interacting positive and negative particles
(D) overlapping layers of neutral, positive, and negative particles
Answer: (","What is the best way to describe the structure of an atom?
(A) a lightweight core surrounded by neutral particles
(B) a massive core surrounded by negatively-charged particles
(C) a network of interacting positive and negative particles
(D) overlapping layers of neutral, positive, and negative particles
Answer: (","Which description most accurately reflects the structure of an atom?
(A) a lightweight core surrounded by neutral particles
(B) a massive core surrounded by negatively-charged particles
(C) a network of interacting positive and negative particles
(D) overlapping layers of neutral, positive, and negative particles
Answer: ("
CSZ20679,"To express the distance between the Milky Way galaxy and other galaxies, the most appropriate unit of measurement is the","{'text': array(['meter.', 'kilometer.', 'light-year.', 'astronomical unit.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"To express the distance between the Milky Way galaxy and other galaxies, the most appropriate unit of measurement is the
(A) meter.
(B) kilometer.
(C) light-year.
(D) astronomical unit.
Answer: (","Which is the most possible answer?
(A) meter.
(B) kilometer.
(C) light-year.
(D) astronomical unit.
Answer: (",34,"[32, 33, 35]","What is the most suitable unit of measurement for the distance between the Milky Way and other galaxies?
(A) meter.
(B) kilometer.
(C) light-year.
(D) astronomical unit.
Answer: (","Which unit is best used to measure the distance from the Milky Way to other galaxies?
(A) meter.
(B) kilometer.
(C) light-year.
(D) astronomical unit.
Answer: (","What unit should be used to express the distance between the Milky Way galaxy and other galaxies?
(A) meter.
(B) kilometer.
(C) light-year.
(D) astronomical unit.
Answer: (","To measure the distance between the Milky Way and other galaxies, which unit is most appropriate?
(A) meter.
(B) kilometer.
(C) light-year.
(D) astronomical unit.
Answer: (","What is the correct unit of measurement for the distance between the Milky Way and other galaxies?
(A) meter.
(B) kilometer.
(C) light-year.
(D) astronomical unit.
Answer: (","Which unit of measurement is most fitting for the distance between the Milky Way galaxy and other galaxies?
(A) meter.
(B) kilometer.
(C) light-year.
(D) astronomical unit.
Answer: (","What is the most appropriate unit to measure the distance between the Milky Way and other galaxies?
(A) meter.
(B) kilometer.
(C) light-year.
(D) astronomical unit.
Answer: (","To express the distance from the Milky Way to other galaxies, which unit is most suitable?
(A) meter.
(B) kilometer.
(C) light-year.
(D) astronomical unit.
Answer: (","What unit is most appropriate for measuring the distance between the Milky Way galaxy and other galaxies?
(A) meter.
(B) kilometer.
(C) light-year.
(D) astronomical unit.
Answer: ("
Mercury_182158,A student has just completed a laboratory activity. What is the last action that the student should perform before leaving the lab area?,"{'text': array(['wash hands', 'turn off all equipment', 'put away all glassware',
       'wash instruments and table tops'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"A student has just completed a laboratory activity. What is the last action that the student should perform before leaving the lab area?
(A) wash hands
(B) turn off all equipment
(C) put away all glassware
(D) wash instruments and table tops
Answer: (","Which is the most possible answer?
(A) wash hands
(B) turn off all equipment
(C) put away all glassware
(D) wash instruments and table tops
Answer: (",32,"[33, 34, 35]","What is the final task a student should do before exiting the lab after finishing a lab activity?
(A) wash hands
(B) turn off all equipment
(C) put away all glassware
(D) wash instruments and table tops
Answer: (","After completing a lab activity, what should a student do last before leaving the lab area?
(A) wash hands
(B) turn off all equipment
(C) put away all glassware
(D) wash instruments and table tops
Answer: (","Before leaving the lab area, what is the last step a student should take after a lab activity?
(A) wash hands
(B) turn off all equipment
(C) put away all glassware
(D) wash instruments and table tops
Answer: (","What should be the student's last action before departing the lab area after a lab activity?
(A) wash hands
(B) turn off all equipment
(C) put away all glassware
(D) wash instruments and table tops
Answer: (","Once a lab activity is finished, what is the final thing a student should do before leaving the lab?
(A) wash hands
(B) turn off all equipment
(C) put away all glassware
(D) wash instruments and table tops
Answer: (","What is the last thing a student should do before leaving the lab area after completing a lab activity?
(A) wash hands
(B) turn off all equipment
(C) put away all glassware
(D) wash instruments and table tops
Answer: (","Before exiting the lab area, what is the final action a student should take after completing a lab activity?
(A) wash hands
(B) turn off all equipment
(C) put away all glassware
(D) wash instruments and table tops
Answer: (","After a lab activity, what is the last action a student should perform before leaving the lab area?
(A) wash hands
(B) turn off all equipment
(C) put away all glassware
(D) wash instruments and table tops
Answer: (","What should a student do last before leaving the lab area after finishing a lab activity?
(A) wash hands
(B) turn off all equipment
(C) put away all glassware
(D) wash instruments and table tops
Answer: ("
Mercury_7216668,Students are investigating the effects of different fertilizers on plant growth. Which units would be best to measure the mass of the fertilizer used?,"{'text': array(['meters', 'centimeters', 'grams', 'milligrams'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"Students are investigating the effects of different fertilizers on plant growth. Which units would be best to measure the mass of the fertilizer used?
(A) meters
(B) centimeters
(C) grams
(D) milligrams
Answer: (","Which is the most possible answer?
(A) meters
(B) centimeters
(C) grams
(D) milligrams
Answer: (",34,"[32, 33, 35]","Students are studying how various fertilizers impact plant growth. What units should they use to measure the fertilizer's mass?
(A) meters
(B) centimeters
(C) grams
(D) milligrams
Answer: (","In their research on fertilizer effects on plant growth, which units are most appropriate for measuring the fertilizer's mass?
(A) meters
(B) centimeters
(C) grams
(D) milligrams
Answer: (","When examining the influence of different fertilizers on plant growth, which units are ideal for measuring the mass of the fertilizer?
(A) meters
(B) centimeters
(C) grams
(D) milligrams
Answer: (","For students analyzing the effects of fertilizers on plant growth, which units are best for measuring the fertilizer's mass?
(A) meters
(B) centimeters
(C) grams
(D) milligrams
Answer: (","In the investigation of how different fertilizers affect plant growth, which units should be used to measure the mass of the fertilizer?
(A) meters
(B) centimeters
(C) grams
(D) milligrams
Answer: (","Which units are most suitable for students to use when measuring the mass of fertilizer in their study on plant growth?
(A) meters
(B) centimeters
(C) grams
(D) milligrams
Answer: (","In the context of studying the effects of fertilizers on plant growth, which units are recommended for measuring the fertilizer's mass?
(A) meters
(B) centimeters
(C) grams
(D) milligrams
Answer: (","When students are investigating the impact of various fertilizers on plant growth, which units are best for measuring the mass of the fertilizer?
(A) meters
(B) centimeters
(C) grams
(D) milligrams
Answer: (","For the purpose of measuring the mass of fertilizer in a study on plant growth, which units should students use?
(A) meters
(B) centimeters
(C) grams
(D) milligrams
Answer: ("
MCAS_2001_5_19,Plants use sunlight to make,"{'text': array(['soil.', 'minerals.', 'food.', 'water.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"Plants use sunlight to make
(A) soil.
(B) minerals.
(C) food.
(D) water.
Answer: (","Which is the most possible answer?
(A) soil.
(B) minerals.
(C) food.
(D) water.
Answer: (",34,"[32, 33, 35]","How do plants utilize sunlight?
(A) soil.
(B) minerals.
(C) food.
(D) water.
Answer: (","What do plants produce using sunlight?
(A) soil.
(B) minerals.
(C) food.
(D) water.
Answer: (","Sunlight helps plants create what?
(A) soil.
(B) minerals.
(C) food.
(D) water.
Answer: (","What do plants make with the help of sunlight?
(A) soil.
(B) minerals.
(C) food.
(D) water.
Answer: (","Using sunlight, plants are able to produce what?
(A) soil.
(B) minerals.
(C) food.
(D) water.
Answer: (","What is generated by plants through the use of sunlight?
(A) soil.
(B) minerals.
(C) food.
(D) water.
Answer: (","What do plants synthesize when they absorb sunlight?
(A) soil.
(B) minerals.
(C) food.
(D) water.
Answer: (","Sunlight enables plants to manufacture what?
(A) soil.
(B) minerals.
(C) food.
(D) water.
Answer: (","What do plants form as a result of sunlight exposure?
(A) soil.
(B) minerals.
(C) food.
(D) water.
Answer: ("
Mercury_SC_413631,Which of these correctly identifies the way materials are transported in a plant?,"{'text': array(['Xylem carries water from the roots to the leaves.',
       'Phloem carries minerals from the roots to the leaves.',
       'Xylem carries sugars from the flowers to the stems.',
       'Phloem carries water from the flowers to the stems.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"Which of these correctly identifies the way materials are transported in a plant?
(A) Xylem carries water from the roots to the leaves.
(B) Phloem carries minerals from the roots to the leaves.
(C) Xylem carries sugars from the flowers to the stems.
(D) Phloem carries water from the flowers to the stems.
Answer: (","Which is the most possible answer?
(A) Xylem carries water from the roots to the leaves.
(B) Phloem carries minerals from the roots to the leaves.
(C) Xylem carries sugars from the flowers to the stems.
(D) Phloem carries water from the flowers to the stems.
Answer: (",32,"[33, 34, 35]","Which option accurately describes how substances are moved within a plant?
(A) Xylem carries water from the roots to the leaves.
(B) Phloem carries minerals from the roots to the leaves.
(C) Xylem carries sugars from the flowers to the stems.
(D) Phloem carries water from the flowers to the stems.
Answer: (","Which choice correctly explains the transport of materials in a plant?
(A) Xylem carries water from the roots to the leaves.
(B) Phloem carries minerals from the roots to the leaves.
(C) Xylem carries sugars from the flowers to the stems.
(D) Phloem carries water from the flowers to the stems.
Answer: (","Which of the following options accurately identifies the method of material transport in plants?
(A) Xylem carries water from the roots to the leaves.
(B) Phloem carries minerals from the roots to the leaves.
(C) Xylem carries sugars from the flowers to the stems.
(D) Phloem carries water from the flowers to the stems.
Answer: (","Which statement correctly outlines the process of material transportation in a plant?
(A) Xylem carries water from the roots to the leaves.
(B) Phloem carries minerals from the roots to the leaves.
(C) Xylem carries sugars from the flowers to the stems.
(D) Phloem carries water from the flowers to the stems.
Answer: (","Which of these options properly describes the transport system in plants?
(A) Xylem carries water from the roots to the leaves.
(B) Phloem carries minerals from the roots to the leaves.
(C) Xylem carries sugars from the flowers to the stems.
(D) Phloem carries water from the flowers to the stems.
Answer: (","Which answer correctly details how materials are conveyed in a plant?
(A) Xylem carries water from the roots to the leaves.
(B) Phloem carries minerals from the roots to the leaves.
(C) Xylem carries sugars from the flowers to the stems.
(D) Phloem carries water from the flowers to the stems.
Answer: (","Which selection accurately depicts the way materials are transported in plants?
(A) Xylem carries water from the roots to the leaves.
(B) Phloem carries minerals from the roots to the leaves.
(C) Xylem carries sugars from the flowers to the stems.
(D) Phloem carries water from the flowers to the stems.
Answer: (","Which of these choices correctly identifies the method of transporting materials in a plant?
(A) Xylem carries water from the roots to the leaves.
(B) Phloem carries minerals from the roots to the leaves.
(C) Xylem carries sugars from the flowers to the stems.
(D) Phloem carries water from the flowers to the stems.
Answer: (","Which option properly explains the transportation of substances within a plant?
(A) Xylem carries water from the roots to the leaves.
(B) Phloem carries minerals from the roots to the leaves.
(C) Xylem carries sugars from the flowers to the stems.
(D) Phloem carries water from the flowers to the stems.
Answer: ("
