id,question,choices,answerKey,clean,corrupted,correct_idx,incorrect_idx
Mercury_417466,Which statement best explains why photosynthesis is the foundation of most food webs?,"{'text': array(['Sunlight is the source of energy for nearly all ecosystems.',
       'Most ecosystems are found on land instead of in water.',
       'Carbon dioxide is more available than other gases.',
       'The producers in all ecosystems are plants.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"Which statement best explains why photosynthesis is the foundation of most food webs?
(A) Sunlight is the source of energy for nearly all ecosystems.
(B) Most ecosystems are found on land instead of in water.
(C) Carbon dioxide is more available than other gases.
(D) The producers in all ecosystems are plants.
Answer: (","Which is the most possible answer?
(A) Sunlight is the source of energy for nearly all ecosystems.
(B) Most ecosystems are found on land instead of in water.
(C) Carbon dioxide is more available than other gases.
(D) The producers in all ecosystems are plants.
Answer: (",32,"[33, 34, 35]"
Mercury_7081673,Which piece of safety equipment is used to keep mold spores from entering the respiratory system?,"{'text': array(['safety goggles', 'breathing mask', 'rubber gloves', 'lead apron'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"Which piece of safety equipment is used to keep mold spores from entering the respiratory system?
(A) safety goggles
(B) breathing mask
(C) rubber gloves
(D) lead apron
Answer: (","Which is the most possible answer?
(A) safety goggles
(B) breathing mask
(C) rubber gloves
(D) lead apron
Answer: (",33,"[32, 34, 35]"
Mercury_7239733,Meiosis is a type of cell division in which germ cells divide to produce haploid cells. Where does meiosis occur?,"{'text': array(['brain cells', 'bone cells', 'muscle cells', 'ovary cells'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"Meiosis is a type of cell division in which germ cells divide to produce haploid cells. Where does meiosis occur?
(A) brain cells
(B) bone cells
(C) muscle cells
(D) ovary cells
Answer: (","Which is the most possible answer?
(A) brain cells
(B) bone cells
(C) muscle cells
(D) ovary cells
Answer: (",35,"[32, 33, 34]"
NYSEDREGENTS_2015_4_8,Which characteristic describes the texture of a kitten's fur?,"{'text': array(['gray', 'warm', 'long', 'soft'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"Which characteristic describes the texture of a kitten's fur?
(A) gray
(B) warm
(C) long
(D) soft
Answer: (","Which is the most possible answer?
(A) gray
(B) warm
(C) long
(D) soft
Answer: (",35,"[32, 33, 34]"
Mercury_7037258,Which best describes the structure of an atom?,"{'text': array(['a lightweight core surrounded by neutral particles',
       'a massive core surrounded by negatively-charged particles',
       'a network of interacting positive and negative particles',
       'overlapping layers of neutral, positive, and negative particles'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"Which best describes the structure of an atom?
(A) a lightweight core surrounded by neutral particles
(B) a massive core surrounded by negatively-charged particles
(C) a network of interacting positive and negative particles
(D) overlapping layers of neutral, positive, and negative particles
Answer: (","Which is the most possible answer?
(A) a lightweight core surrounded by neutral particles
(B) a massive core surrounded by negatively-charged particles
(C) a network of interacting positive and negative particles
(D) overlapping layers of neutral, positive, and negative particles
Answer: (",33,"[32, 34, 35]"
CSZ20679,"To express the distance between the Milky Way galaxy and other galaxies, the most appropriate unit of measurement is the","{'text': array(['meter.', 'kilometer.', 'light-year.', 'astronomical unit.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"To express the distance between the Milky Way galaxy and other galaxies, the most appropriate unit of measurement is the
(A) meter.
(B) kilometer.
(C) light-year.
(D) astronomical unit.
Answer: (","Which is the most possible answer?
(A) meter.
(B) kilometer.
(C) light-year.
(D) astronomical unit.
Answer: (",34,"[32, 33, 35]"
Mercury_182158,A student has just completed a laboratory activity. What is the last action that the student should perform before leaving the lab area?,"{'text': array(['wash hands', 'turn off all equipment', 'put away all glassware',
       'wash instruments and table tops'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"A student has just completed a laboratory activity. What is the last action that the student should perform before leaving the lab area?
(A) wash hands
(B) turn off all equipment
(C) put away all glassware
(D) wash instruments and table tops
Answer: (","Which is the most possible answer?
(A) wash hands
(B) turn off all equipment
(C) put away all glassware
(D) wash instruments and table tops
Answer: (",32,"[33, 34, 35]"
Mercury_7216668,Students are investigating the effects of different fertilizers on plant growth. Which units would be best to measure the mass of the fertilizer used?,"{'text': array(['meters', 'centimeters', 'grams', 'milligrams'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"Students are investigating the effects of different fertilizers on plant growth. Which units would be best to measure the mass of the fertilizer used?
(A) meters
(B) centimeters
(C) grams
(D) milligrams
Answer: (","Which is the most possible answer?
(A) meters
(B) centimeters
(C) grams
(D) milligrams
Answer: (",34,"[32, 33, 35]"
MCAS_2001_5_19,Plants use sunlight to make,"{'text': array(['soil.', 'minerals.', 'food.', 'water.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"Plants use sunlight to make
(A) soil.
(B) minerals.
(C) food.
(D) water.
Answer: (","Which is the most possible answer?
(A) soil.
(B) minerals.
(C) food.
(D) water.
Answer: (",34,"[32, 33, 35]"
Mercury_SC_413631,Which of these correctly identifies the way materials are transported in a plant?,"{'text': array(['Xylem carries water from the roots to the leaves.',
       'Phloem carries minerals from the roots to the leaves.',
       'Xylem carries sugars from the flowers to the stems.',
       'Phloem carries water from the flowers to the stems.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"Which of these correctly identifies the way materials are transported in a plant?
(A) Xylem carries water from the roots to the leaves.
(B) Phloem carries minerals from the roots to the leaves.
(C) Xylem carries sugars from the flowers to the stems.
(D) Phloem carries water from the flowers to the stems.
Answer: (","Which is the most possible answer?
(A) Xylem carries water from the roots to the leaves.
(B) Phloem carries minerals from the roots to the leaves.
(C) Xylem carries sugars from the flowers to the stems.
(D) Phloem carries water from the flowers to the stems.
Answer: (",32,"[33, 34, 35]"
