,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
674,"Then, Crystal and Courtney had a lot of fun at the hospital. Courtney gave a necklace to","Then, Crystal and Courtney had a lot of fun at the hospital. Thomas gave a necklace to","Then, Crystal and Courtney had a lot of fun at the hospital. Crystal gave a necklace to",12969,36677
77,"Then, Thomas and Michael had a lot of fun at the school. Thomas gave a ring to","Then, Thomas and Michael had a lot of fun at the school. Samantha gave a ring to","Then, Thomas and Michael had a lot of fun at the school. Michael gave a ring to",3899,5658
915,"Then, Robert and Stephanie went to the store. Stephanie gave a drink to","Then, Robert and Stephanie went to the store. Tyler gave a drink to","Then, Robert and Stephanie went to the store. Robert gave a drink to",5199,26085
756,"Then, Justin and Crystal were thinking about going to the store. Justin wanted to give a drink to","Then, Justin and Crystal were thinking about going to the store. Kelly wanted to give a drink to","Then, Justin and Crystal were thinking about going to the store. Crystal wanted to give a drink to",12969,10799
929,"Then, Shannon and Dustin were working at the store. Dustin decided to give a kiss to","Then, Shannon and Dustin were working at the store. Bryan decided to give a kiss to","Then, Shannon and Dustin were working at the store. Shannon decided to give a kiss to",28108,37616
997,"Then, Thomas and Kristen had a lot of fun at the store. Thomas gave a snack to","Then, Thomas and Kristen had a lot of fun at the store. Bryan gave a snack to","Then, Thomas and Kristen had a lot of fun at the store. Kristen gave a snack to",44467,5658
739,"Then, Nicholas and Mary had a long argument, and afterwards Nicholas said to","Then, Nicholas and Mary had a long argument, and afterwards Jessica said to","Then, Nicholas and Mary had a long argument, and afterwards Mary said to",5335,20320
109,"After Amy and Erin went to the hospital, Amy gave a computer to","After Amy and Erin went to the hospital, Sean gave a computer to","After Amy and Erin went to the hospital, Erin gave a computer to",28894,14235
19,"Then, Heather and Kevin had a lot of fun at the store. Kevin gave a basketball to","Then, Heather and Kevin had a lot of fun at the store. Anthony gave a basketball to","Then, Heather and Kevin had a lot of fun at the store. Heather gave a basketball to",24253,7939
991,"Then, Joshua and Nicholas were thinking about going to the garden. Nicholas wanted to give a ring to","Then, Joshua and Nicholas were thinking about going to the garden. Jeffrey wanted to give a ring to","Then, Joshua and Nicholas were thinking about going to the garden. Joshua wanted to give a ring to",20700,20320
230,"When Kelly and Kimberly got a ring at the store, Kelly decided to give it to","When Kelly and Kimberly got a ring at the store, Kenneth decided to give it to","When Kelly and Kimberly got a ring at the store, Kimberly decided to give it to",48685,9077
474,"Then, Michelle and Charles were working at the station. Michelle decided to give a kiss to","Then, Michelle and Charles were working at the station. Aaron decided to give a kiss to","Then, Michelle and Charles were working at the station. Charles decided to give a kiss to",7516,16738
483,"Then, Sara and Lindsey were working at the house. Lindsey decided to give a bone to","Then, Sara and Lindsey were working at the house. Travis decided to give a bone to","Then, Sara and Lindsey were working at the house. Sara decided to give a bone to",24799,30334
447,"Then, Steven and Danielle went to the store. Danielle gave a kiss to","Then, Steven and Danielle went to the store. Lindsay gave a kiss to","Then, Steven and Danielle went to the store. Steven gave a kiss to",8239,39808
757,"Then, Ryan and Richard were working at the hospital. Ryan decided to give a kiss to","Then, Ryan and Richard were working at the hospital. Jennifer decided to give a kiss to","Then, Ryan and Richard were working at the hospital. Richard decided to give a kiss to",6219,6047
171,"Then, Ashley and Jennifer went to the hospital. Ashley gave a computer to","Then, Ashley and Jennifer went to the hospital. Jeremy gave a computer to","Then, Ashley and Jennifer went to the hospital. Jennifer gave a computer to",16348,20899
989,"After Scott and Mark went to the restaurant, Mark gave a drink to","After Scott and Mark went to the restaurant, Sean gave a drink to","After Scott and Mark went to the restaurant, Scott gave a drink to",4746,2940
360,"Then, Michael and Nicole had a lot of fun at the restaurant. Michael gave a bone to","Then, Michael and Nicole had a lot of fun at the restaurant. Jonathan gave a bone to","Then, Michael and Nicole had a lot of fun at the restaurant. Nicole gave a bone to",25176,3899
572,"Then, Lindsey and Charles had a long argument, and afterwards Charles said to","Then, Lindsey and Charles had a long argument, and afterwards Lauren said to","Then, Lindsey and Charles had a long argument, and afterwards Lindsey said to",30334,7516
441,"Then, Emily and Lisa were working at the school. Lisa decided to give a drink to","Then, Emily and Lisa were working at the school. Jonathan decided to give a drink to","Then, Emily and Lisa were working at the school. Emily decided to give a drink to",17608,15378
857,"Then, Ashley and Nicholas had a long argument, and afterwards Nicholas said to","Then, Ashley and Nicholas had a long argument, and afterwards Shannon said to","Then, Ashley and Nicholas had a long argument, and afterwards Ashley said to",20899,20320
763,"Then, Jeffrey and Melissa were thinking about going to the garden. Jeffrey wanted to give a kiss to","Then, Jeffrey and Melissa were thinking about going to the garden. Travis wanted to give a kiss to","Then, Jeffrey and Melissa were thinking about going to the garden. Melissa wanted to give a kiss to",24164,19627
705,"Then, Thomas and Mark were thinking about going to the garden. Mark wanted to give a drink to","Then, Thomas and Mark were thinking about going to the garden. Jesse wanted to give a drink to","Then, Thomas and Mark were thinking about going to the garden. Thomas wanted to give a drink to",5658,2940
813,"Then, Cody and Amber had a lot of fun at the house. Cody gave a ring to","Then, Cody and Amber had a lot of fun at the house. Jacob gave a ring to","Then, Cody and Amber had a lot of fun at the house. Amber gave a ring to",21896,27035
593,"After Rebecca and Katherine went to the house, Rebecca gave a necklace to","After Rebecca and Katherine went to the house, Steven gave a necklace to","After Rebecca and Katherine went to the house, Katherine gave a necklace to",32719,23489
128,"When Sean and Robert got a necklace at the house, Robert decided to give it to","When Sean and Robert got a necklace at the house, Kevin decided to give it to","When Sean and Robert got a necklace at the house, Sean decided to give it to",11465,5199
187,"After Nicholas and Rebecca went to the garden, Rebecca gave a necklace to","After Nicholas and Rebecca went to the garden, Jessica gave a necklace to","After Nicholas and Rebecca went to the garden, Nicholas gave a necklace to",20320,23489
609,"After Jeremy and Patrick went to the station, Jeremy gave a kiss to","After Jeremy and Patrick went to the station, Kenneth gave a kiss to","After Jeremy and Patrick went to the station, Patrick gave a kiss to",9925,11753
357,"Then, Jason and Justin went to the office. Justin gave a kiss to","Then, Jason and Justin went to the office. Jamie gave a kiss to","Then, Jason and Justin went to the office. Jason gave a kiss to",8982,10799
751,"Then, Emily and Jamie had a lot of fun at the store. Emily gave a drink to","Then, Emily and Jamie had a lot of fun at the store. Dustin gave a drink to","Then, Emily and Jamie had a lot of fun at the store. Jamie gave a drink to",17826,17608
