clean,corrupted,answer,correct_idx,incorrect_idx,paraphrase1,paraphrase2,paraphrase3,paraphrase4,paraphrase5,paraphrase6,paraphrase7,paraphrase8,paraphrase9
3*245=,91*4=,735,24939,15951,245*3=,245*3=,245*3=,245*3=,245*3=,245*3=,245*3=,245*3=,245*3=
2*331=,3*314=,662,24199,20249,331*2=,331*2=,331*2=,331*2=,331*2=,331*2=,331*2=,331*2=,331*2=
14*64=,7*98=,896,24542,22347,64*14=,64*14=,64*14=,64*14=,64*14=,64*14=,64*14=,64*14=,64*14=
3*307=,51*8=,921,22536,18058,307*3=,307*3=,307*3=,307*3=,307*3=,307*3=,307*3=,307*3=,307*3=
7*98=,11*14=,686,22347,10559,98*7=,98*7=,98*7=,98*7=,98*7=,98*7=,98*7=,98*7=,98*7=
2*442=,10*90=,884,25962,7467,442*2=,442*2=,442*2=,442*2=,442*2=,442*2=,442*2=,442*2=,442*2=
9*25=,3*267=,225,11057,17973,25*9=,25*9=,25*9=,25*9=,25*9=,25*9=,25*9=,25*9=,25*9=
71*8=,3*82=,568,22049,14205,8*71=,8*71=,8*71=,8*71=,8*71=,8*71=,8*71=,8*71=,8*71=
9*106=,11*56=,954,25741,21379,106*9=,106*9=,106*9=,106*9=,106*9=,106*9=,106*9=,106*9=,106*9=
11*35=,2*187=,385,18695,18265,35*11=,35*11=,35*11=,35*11=,35*11=,35*11=,35*11=,35*11=,35*11=
11*89=,93*4=,979,25476,17662,89*11=,89*11=,89*11=,89*11=,89*11=,89*11=,89*11=,89*11=,89*11=
4*147=,3*246=,588,20691,25527,147*4=,147*4=,147*4=,147*4=,147*4=,147*4=,147*4=,147*4=,147*4=
3*329=,2*468=,987,22207,25612,329*3=,329*3=,329*3=,329*3=,329*3=,329*3=,329*3=,329*3=,329*3=
5*20=,15*33=,100,1041,21038,20*5=,20*5=,20*5=,20*5=,20*5=,20*5=,20*5=,20*5=,20*5=
23*40=,20*28=,920,18485,17698,40*23=,40*23=,40*23=,40*23=,40*23=,40*23=,40*23=,40*23=,40*23=
3*119=,41*3=,357,18520,4513,119*3=,119*3=,119*3=,119*3=,119*3=,119*3=,119*3=,119*3=,119*3=
2*269=,46*21=,538,22600,25285,269*2=,269*2=,269*2=,269*2=,269*2=,269*2=,269*2=,269*2=,269*2=
41*3=,2*331=,123,4513,24199,3*41=,3*41=,3*41=,3*41=,3*41=,3*41=,3*41=,3*41=,3*41=
79*8=,6*94=,632,20775,22210,8*79=,8*79=,8*79=,8*79=,8*79=,8*79=,8*79=,8*79=,8*79=
2*268=,23*40=,536,21600,18485,268*2=,268*2=,268*2=,268*2=,268*2=,268*2=,268*2=,268*2=,268*2=
4*242=,3*303=,968,23386,21278,242*4=,242*4=,242*4=,242*4=,242*4=,242*4=,242*4=,242*4=,242*4=
2*258=,2*98=,516,20571,5162,258*2=,258*2=,258*2=,258*2=,258*2=,258*2=,258*2=,258*2=,258*2=
7*65=,4*114=,455,20325,10961,65*7=,65*7=,65*7=,65*7=,65*7=,65*7=,65*7=,65*7=,65*7=
11*14=,2*98=,154,10559,5162,14*11=,14*11=,14*11=,14*11=,14*11=,14*11=,14*11=,14*11=,14*11=
23*20=,3*314=,460,16551,20249,20*23=,20*23=,20*23=,20*23=,20*23=,20*23=,20*23=,20*23=,20*23=
2*219=,2*338=,438,20596,24187,219*2=,219*2=,219*2=,219*2=,219*2=,219*2=,219*2=,219*2=,219*2=
10*85=,11*35=,850,16217,18695,85*10=,85*10=,85*10=,85*10=,85*10=,85*10=,85*10=,85*10=,85*10=
101*8=,3*314=,808,11770,20249,8*101=,8*101=,8*101=,8*101=,8*101=,8*101=,8*101=,8*101=,8*101=
181*2=,91*4=,362,18509,15951,2*181=,2*181=,2*181=,2*181=,2*181=,2*181=,2*181=,2*181=,2*181=
2*359=,37*5=,718,21982,9741,359*2=,359*2=,359*2=,359*2=,359*2=,359*2=,359*2=,359*2=,359*2=
93*4=,2*259=,372,17662,21312,4*93=,4*93=,4*93=,4*93=,4*93=,4*93=,4*93=,4*93=,4*93=
191*5=,2*331=,955,25875,24199,5*191=,5*191=,5*191=,5*191=,5*191=,5*191=,5*191=,5*191=,5*191=
55*8=,5*51=,440,14868,3192,8*55=,8*55=,8*55=,8*55=,8*55=,8*55=,8*55=,8*55=,8*55=
10*70=,2*219=,700,7007,20596,70*10=,70*10=,70*10=,70*10=,70*10=,70*10=,70*10=,70*10=,70*10=
20*28=,10*85=,560,17698,16217,28*20=,28*20=,28*20=,28*20=,28*20=,28*20=,28*20=,28*20=,28*20=
74*10=,2*185=,740,21112,14648,10*74=,10*74=,10*74=,10*74=,10*74=,10*74=,10*74=,10*74=,10*74=
3*315=,74*10=,945,24599,21112,315*3=,315*3=,315*3=,315*3=,315*3=,315*3=,315*3=,315*3=,315*3=
4*92=,5*20=,368,19057,1041,92*4=,92*4=,92*4=,92*4=,92*4=,92*4=,92*4=,92*4=,92*4=
4*224=,11*57=,896,24542,23103,224*4=,224*4=,224*4=,224*4=,224*4=,224*4=,224*4=,224*4=,224*4=
7*34=,10*90=,238,13895,7467,34*7=,34*7=,34*7=,34*7=,34*7=,34*7=,34*7=,34*7=,34*7=
46*21=,2*187=,966,25285,18265,21*46=,21*46=,21*46=,21*46=,21*46=,21*46=,21*46=,21*46=,21*46=
13*31=,4*242=,403,13074,23386,31*13=,31*13=,31*13=,31*13=,31*13=,31*13=,31*13=,31*13=,31*13=
6*94=,3*307=,564,22210,22536,94*6=,94*6=,94*6=,94*6=,94*6=,94*6=,94*6=,94*6=,94*6=
2*83=,4*236=,166,11247,25687,83*2=,83*2=,83*2=,83*2=,83*2=,83*2=,83*2=,83*2=,83*2=
2*78=,3*307=,156,10132,22536,78*2=,78*2=,78*2=,78*2=,78*2=,78*2=,78*2=,78*2=,78*2=
2*246=,10*66=,492,21776,19274,246*2=,246*2=,246*2=,246*2=,246*2=,246*2=,246*2=,246*2=,246*2=
6*26=,2*269=,156,10132,22600,26*6=,26*6=,26*6=,26*6=,26*6=,26*6=,26*6=,26*6=,26*6=
4*152=,10*85=,608,19944,16217,152*4=,152*4=,152*4=,152*4=,152*4=,152*4=,152*4=,152*4=,152*4=
11*57=,13*31=,627,23103,13074,57*11=,57*11=,57*11=,57*11=,57*11=,57*11=,57*11=,57*11=,57*11=
51*8=,10*90=,408,18058,7467,8*51=,8*51=,8*51=,8*51=,8*51=,8*51=,8*51=,8*51=,8*51=
2*138=,11*15=,276,16660,10680,138*2=,138*2=,138*2=,138*2=,138*2=,138*2=,138*2=,138*2=,138*2=
2*245=,2*442=,490,18518,25962,245*2=,245*2=,245*2=,245*2=,245*2=,245*2=,245*2=,245*2=,245*2=
7*46=,3*327=,322,15805,25643,46*7=,46*7=,46*7=,46*7=,46*7=,46*7=,46*7=,46*7=,46*7=
2*222=,23*7=,444,14870,10718,222*2=,222*2=,222*2=,222*2=,222*2=,222*2=,222*2=,222*2=,222*2=
5*86=,35*16=,430,14245,17698,86*5=,86*5=,86*5=,86*5=,86*5=,86*5=,86*5=,86*5=,86*5=
4*245=,3*76=,980,19068,14261,245*4=,245*4=,245*4=,245*4=,245*4=,245*4=,245*4=,245*4=,245*4=
5*81=,62*16=,405,16408,22992,81*5=,81*5=,81*5=,81*5=,81*5=,81*5=,81*5=,81*5=,81*5=
15*28=,4*92=,420,12819,19057,28*15=,28*15=,28*15=,28*15=,28*15=,28*15=,28*15=,28*15=,28*15=
2*371=,91*4=,742,25560,15951,371*2=,371*2=,371*2=,371*2=,371*2=,371*2=,371*2=,371*2=,371*2=
19*15=,2*187=,285,15935,18265,15*19=,15*19=,15*19=,15*19=,15*19=,15*19=,15*19=,15*19=,15*19=
3*152=,7*98=,456,10961,22347,152*3=,152*3=,152*3=,152*3=,152*3=,152*3=,152*3=,152*3=,152*3=
58*8=,7*92=,464,21033,21975,8*58=,8*58=,8*58=,8*58=,8*58=,8*58=,8*58=,8*58=,8*58=
4*236=,101*5=,944,25687,17786,236*4=,236*4=,236*4=,236*4=,236*4=,236*4=,236*4=,236*4=,236*4=
3*246=,2*98=,738,25527,5162,246*3=,246*3=,246*3=,246*3=,246*3=,246*3=,246*3=,246*3=,246*3=
19*27=,3*327=,513,21164,25643,27*19=,27*19=,27*19=,27*19=,27*19=,27*19=,27*19=,27*19=,27*19=
87*8=,43*22=,696,23578,26491,8*87=,8*87=,8*87=,8*87=,8*87=,8*87=,8*87=,8*87=,8*87=
2*345=,2*442=,690,21741,25962,345*2=,345*2=,345*2=,345*2=,345*2=,345*2=,345*2=,345*2=,345*2=
12*80=,3*315=,960,16415,24599,80*12=,80*12=,80*12=,80*12=,80*12=,80*12=,80*12=,80*12=,80*12=
2*353=,19*27=,706,22457,21164,353*2=,353*2=,353*2=,353*2=,353*2=,353*2=,353*2=,353*2=,353*2=
131*2=,11*56=,262,14274,21379,2*131=,2*131=,2*131=,2*131=,2*131=,2*131=,2*131=,2*131=,2*131=
11*73=,2*138=,803,20899,16660,73*11=,73*11=,73*11=,73*11=,73*11=,73*11=,73*11=,73*11=,73*11=
5*69=,2*371=,345,12901,25560,69*5=,69*5=,69*5=,69*5=,69*5=,69*5=,69*5=,69*5=,69*5=
4*70=,5*164=,280,11209,18248,70*4=,70*4=,70*4=,70*4=,70*4=,70*4=,70*4=,70*4=,70*4=
15*33=,6*94=,495,21038,22210,33*15=,33*15=,33*15=,33*15=,33*15=,33*15=,33*15=,33*15=,33*15=
21*44=,2*359=,924,23890,21982,44*21=,44*21=,44*21=,44*21=,44*21=,44*21=,44*21=,44*21=,44*21=
3*76=,15*33=,228,14261,21038,76*3=,76*3=,76*3=,76*3=,76*3=,76*3=,76*3=,76*3=,76*3=
61*8=,14*64=,488,21310,24542,8*61=,8*61=,8*61=,8*61=,8*61=,8*61=,8*61=,8*61=,8*61=
27*28=,5*51=,756,24456,3192,28*27=,28*27=,28*27=,28*27=,28*27=,28*27=,28*27=,28*27=,28*27=
5*124=,4*70=,620,17416,11209,124*5=,124*5=,124*5=,124*5=,124*5=,124*5=,124*5=,124*5=,124*5=
10*90=,11*56=,900,7467,21379,90*10=,90*10=,90*10=,90*10=,90*10=,90*10=,90*10=,90*10=,90*10=
37*5=,3*156=,185,9741,20304,5*37=,5*37=,5*37=,5*37=,5*37=,5*37=,5*37=,5*37=,5*37=
23*7=,74*10=,161,10718,21112,7*23=,7*23=,7*23=,7*23=,7*23=,7*23=,7*23=,7*23=,7*23=
3*156=,4*231=,468,20304,23890,156*3=,156*3=,156*3=,156*3=,156*3=,156*3=,156*3=,156*3=,156*3=
91*4=,2*222=,364,15951,14870,4*91=,4*91=,4*91=,4*91=,4*91=,4*91=,4*91=,4*91=,4*91=
3*303=,3*156=,909,21278,20304,303*3=,303*3=,303*3=,303*3=,303*3=,303*3=,303*3=,303*3=,303*3=
2*468=,2*185=,936,25612,14648,468*2=,468*2=,468*2=,468*2=,468*2=,468*2=,468*2=,468*2=,468*2=
2*158=,4*238=,316,15340,24597,158*2=,158*2=,158*2=,158*2=,158*2=,158*2=,158*2=,158*2=,158*2=
2*259=,21*44=,518,21312,23890,259*2=,259*2=,259*2=,259*2=,259*2=,259*2=,259*2=,259*2=,259*2=
4*238=,3*327=,952,24597,25643,238*4=,238*4=,238*4=,238*4=,238*4=,238*4=,238*4=,238*4=,238*4=
3*82=,4*231=,246,14205,23890,82*3=,82*3=,82*3=,82*3=,82*3=,82*3=,82*3=,82*3=,82*3=
5*158=,61*8=,790,22876,21310,158*5=,158*5=,158*5=,158*5=,158*5=,158*5=,158*5=,158*5=,158*5=
43*22=,4*242=,946,26491,23386,22*43=,22*43=,22*43=,22*43=,22*43=,22*43=,22*43=,22*43=,22*43=
5*164=,2*331=,820,18248,24199,164*5=,164*5=,164*5=,164*5=,164*5=,164*5=,164*5=,164*5=,164*5=
21*32=,9*25=,672,22768,11057,32*21=,32*21=,32*21=,32*21=,32*21=,32*21=,32*21=,32*21=,32*21=
28*28=,5*158=,784,22148,22876,28*28=,28*28=,28*28=,28*28=,28*28=,28*28=,28*28=,28*28=,28*28=
3*314=,2*442=,942,20249,25962,314*3=,314*3=,314*3=,314*3=,314*3=,314*3=,314*3=,314*3=,314*3=
3*251=,71*5=,753,25504,17306,251*3=,251*3=,251*3=,251*3=,251*3=,251*3=,251*3=,251*3=,251*3=
11*15=,2*185=,165,10680,14648,15*11=,15*11=,15*11=,15*11=,15*11=,15*11=,15*11=,15*11=,15*11=
2*98=,4*152=,196,5162,19944,98*2=,98*2=,98*2=,98*2=,98*2=,98*2=,98*2=,98*2=,98*2=
61*16=,12*80=,976,25208,16415,16*61=,16*61=,16*61=,16*61=,16*61=,16*61=,16*61=,16*61=,16*61=
2*152=,23*15=,304,12166,12901,152*2=,152*2=,152*2=,152*2=,152*2=,152*2=,152*2=,152*2=,152*2=
23*15=,5*51=,345,12901,3192,15*23=,15*23=,15*23=,15*23=,15*23=,15*23=,15*23=,15*23=,15*23=
7*92=,7*65=,644,21975,20325,92*7=,92*7=,92*7=,92*7=,92*7=,92*7=,92*7=,92*7=,92*7=
62*16=,9*106=,992,22992,25741,16*62=,16*62=,16*62=,16*62=,16*62=,16*62=,16*62=,16*62=,16*62=
3*267=,10*66=,801,17973,19274,267*3=,267*3=,267*3=,267*3=,267*3=,267*3=,267*3=,267*3=,267*3=
71*5=,23*20=,355,17306,16551,5*71=,5*71=,5*71=,5*71=,5*71=,5*71=,5*71=,5*71=,5*71=
11*56=,3*245=,616,21379,24939,56*11=,56*11=,56*11=,56*11=,56*11=,56*11=,56*11=,56*11=,56*11=
111*8=,4*236=,888,12251,25687,8*111=,8*111=,8*111=,8*111=,8*111=,8*111=,8*111=,8*111=,8*111=
3*327=,87*8=,981,25643,23578,327*3=,327*3=,327*3=,327*3=,327*3=,327*3=,327*3=,327*3=,327*3=
23*36=,55*8=,828,22716,14868,36*23=,36*23=,36*23=,36*23=,36*23=,36*23=,36*23=,36*23=,36*23=
4*114=,46*21=,456,10961,25285,114*4=,114*4=,114*4=,114*4=,114*4=,114*4=,114*4=,114*4=,114*4=
5*51=,4*236=,255,3192,25687,51*5=,51*5=,51*5=,51*5=,51*5=,51*5=,51*5=,51*5=,51*5=
59*14=,2*98=,826,23038,5162,14*59=,14*59=,14*59=,14*59=,14*59=,14*59=,14*59=,14*59=,14*59=
3*81=,3*251=,243,14052,25504,81*3=,81*3=,81*3=,81*3=,81*3=,81*3=,81*3=,81*3=,81*3=
35*16=,2*371=,560,17698,25560,16*35=,16*35=,16*35=,16*35=,16*35=,16*35=,16*35=,16*35=,16*35=
2*187=,21*44=,374,18265,23890,187*2=,187*2=,187*2=,187*2=,187*2=,187*2=,187*2=,187*2=,187*2=
10*66=,4*245=,660,19274,19068,66*10=,66*10=,66*10=,66*10=,66*10=,66*10=,66*10=,66*10=,66*10=
101*5=,13*31=,505,17786,13074,5*101=,5*101=,5*101=,5*101=,5*101=,5*101=,5*101=,5*101=,5*101=
271*3=,3*50=,813,24288,3965,3*271=,3*271=,3*271=,3*271=,3*271=,3*271=,3*271=,3*271=,3*271=
3*50=,15*28=,150,3965,12819,50*3=,50*3=,50*3=,50*3=,50*3=,50*3=,50*3=,50*3=,50*3=
2*185=,15*33=,370,14648,21038,185*2=,185*2=,185*2=,185*2=,185*2=,185*2=,185*2=,185*2=,185*2=
6*52=,4*92=,312,13384,19057,52*6=,52*6=,52*6=,52*6=,52*6=,52*6=,52*6=,52*6=,52*6=
4*231=,61*8=,924,23890,21310,231*4=,231*4=,231*4=,231*4=,231*4=,231*4=,231*4=,231*4=,231*4=
6*120=,2*371=,720,13104,25560,120*6=,120*6=,120*6=,120*6=,120*6=,120*6=,120*6=,120*6=,120*6=
2*338=,4*70=,676,24187,11209,338*2=,338*2=,338*2=,338*2=,338*2=,338*2=,338*2=,338*2=,338*2=
2*4*30=,7*2*38=,240,8273,20711,2*30*4=,4*2*30=,4*30*2=,30*2*4=,30*4*2=,30*4*2=,30*4*2=,30*4*2=,30*4*2=
3*3*72=,2*6*10=,648,23802,4364,3*72*3=,3*3*72=,3*72*3=,72*3*3=,72*3*3=,72*3*3=,72*3*3=,72*3*3=,72*3*3=
2*6*45=,2*2*88=,540,17048,16482,2*45*6=,6*2*45=,6*45*2=,45*2*6=,45*6*2=,45*6*2=,45*6*2=,45*6*2=,45*6*2=
3*6*54=,6*4*20=,972,24425,11738,3*54*6=,6*3*54=,6*54*3=,54*3*6=,54*6*3=,54*6*3=,54*6*3=,54*6*3=,54*6*3=
181*2*2=,2*10*32=,724,24735,14033,181*2*2=,2*181*2=,2*2*181=,2*181*2=,2*2*181=,2*2*181=,2*2*181=,2*2*181=,2*2*181=
23*3*3=,3*4*24=,207,12060,15287,23*3*3=,3*23*3=,3*3*23=,3*23*3=,3*3*23=,3*3*23=,3*3*23=,3*3*23=,3*3*23=
2*6*70=,3*3*30=,840,19899,10914,2*70*6=,6*2*70=,6*70*2=,70*2*6=,70*6*2=,70*6*2=,70*6*2=,70*6*2=,70*6*2=
7*2*31=,4*4*42=,434,20165,22768,7*31*2=,2*7*31=,2*31*7=,31*7*2=,31*2*7=,31*2*7=,31*2*7=,31*2*7=,31*2*7=
2*3*90=,2*3*66=,540,17048,19615,2*90*3=,3*2*90=,3*90*2=,90*2*3=,90*3*2=,90*3*2=,90*3*2=,90*3*2=,90*3*2=
