question,A,B,C,D,answer,category,clean,corrupted,correct_idx,incorrect_idx
How many human polyomaviruses are known at present?,100,1,10,unknown,A,virology,"How many human polyomaviruses are known at present?
(A) 100
(B) 1
(C) 10
(D) unknown
Answer: (","Which is the most possible answer?
(A) 100
(B) 1
(C) 10
(D) unknown
Answer: (",32,"[33, 34, 35]"
AIDS activism in the U.S. resulted in:,Food and Drug Administration reforms,Easier access to investigational drugs,Changes in the way medicine was practiced in the U.S.,All of the above,D,virology,"AIDS activism in the U.S. resulted in:
(A) Food and Drug Administration reforms
(B) Easier access to investigational drugs
(C) Changes in the way medicine was practiced in the U.S.
(D) All of the above
Answer: (","Which is the most possible answer?
(A) Food and Drug Administration reforms
(B) Easier access to investigational drugs
(C) Changes in the way medicine was practiced in the U.S.
(D) All of the above
Answer: (",35,"[32, 33, 34]"
"Globally, the most deaths are caused by:",Respiratory infections,Diarrheal diseases,Malaria,Tuberculosis,B,virology,"Globally, the most deaths are caused by:
(A) Respiratory infections
(B) Diarrheal diseases
(C) Malaria
(D) Tuberculosis
Answer: (","Which is the most possible answer?
(A) Respiratory infections
(B) Diarrheal diseases
(C) Malaria
(D) Tuberculosis
Answer: (",33,"[32, 34, 35]"
What happens during the 'incubation period'?,The virus is cleared from the body by the immune system,Virus replication happens at an intracellular level,This period commonly lasts for a few days,This period commonly lasts for a few hours,B,virology,"What happens during the 'incubation period'?
(A) The virus is cleared from the body by the immune system
(B) Virus replication happens at an intracellular level
(C) This period commonly lasts for a few days
(D) This period commonly lasts for a few hours
Answer: (","Which is the most possible answer?
(A) The virus is cleared from the body by the immune system
(B) Virus replication happens at an intracellular level
(C) This period commonly lasts for a few days
(D) This period commonly lasts for a few hours
Answer: (",33,"[32, 34, 35]"
Newborn infants in countries with limited access to safe water and low levels of education should be:,Exclusively formula fed for six months,Exclusively breast fed for six months,Should receive both breast milk and other foods as tolerated in the first 6,months,B,virology,"Newborn infants in countries with limited access to safe water and low levels of education should be:
(A) Exclusively formula fed for six months
(B) Exclusively breast fed for six months
(C) Should receive both breast milk and other foods as tolerated in the first 6
(D) months
Answer: (","Which is the most possible answer?
(A) Exclusively formula fed for six months
(B) Exclusively breast fed for six months
(C) Should receive both breast milk and other foods as tolerated in the first 6
(D) months
Answer: (",33,"[32, 34, 35]"
Achieving effective change in a community is usually dependent on which of the following segments of society?,Innovators,Early adapters,Middle adapters,Late adapters,A,virology,"Achieving effective change in a community is usually dependent on which of the following segments of society?
(A) Innovators
(B) Early adapters
(C) Middle adapters
(D) Late adapters
Answer: (","Which is the most possible answer?
(A) Innovators
(B) Early adapters
(C) Middle adapters
(D) Late adapters
Answer: (",32,"[33, 34, 35]"
“Contingency management” is”:,A strategy of last resort for reducing high-risk behaviors,Paying drug users for negative urine specimens,Paying sex workers to use condoms,Paying drug users to use condoms,B,virology,"“Contingency management” is”:
(A) A strategy of last resort for reducing high-risk behaviors
(B) Paying drug users for negative urine specimens
(C) Paying sex workers to use condoms
(D) Paying drug users to use condoms
Answer: (","Which is the most possible answer?
(A) A strategy of last resort for reducing high-risk behaviors
(B) Paying drug users for negative urine specimens
(C) Paying sex workers to use condoms
(D) Paying drug users to use condoms
Answer: (",33,"[32, 34, 35]"
Typical clinical symptoms following infection with astroviruses include which of the following?,Acute pneumonia,Gastroenteritis in children,Hepatitis,rashes,B,virology,"Typical clinical symptoms following infection with astroviruses include which of the following?
(A) Acute pneumonia
(B) Gastroenteritis in children
(C) Hepatitis
(D) rashes
Answer: (","Which is the most possible answer?
(A) Acute pneumonia
(B) Gastroenteritis in children
(C) Hepatitis
(D) rashes
Answer: (",33,"[32, 34, 35]"
Which of the following is the most special characteristic of the adaptive immune system?,Antibodies,T cells,Memory T cells,Clonal expansion of pre-existing antibodies and/or T cells,D,virology,"Which of the following is the most special characteristic of the adaptive immune system?
(A) Antibodies
(B) T cells
(C) Memory T cells
(D) Clonal expansion of pre-existing antibodies and/or T cells
Answer: (","Which is the most possible answer?
(A) Antibodies
(B) T cells
(C) Memory T cells
(D) Clonal expansion of pre-existing antibodies and/or T cells
Answer: (",35,"[32, 33, 34]"
Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?,Interferon and ribavirin,Lamivudine and ribavirin,Combinations of adefovir and entecavir and/or tenofovir (DAA),Interferons alone,B,virology,"Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?
(A) Interferon and ribavirin
(B) Lamivudine and ribavirin
(C) Combinations of adefovir and entecavir and/or tenofovir (DAA)
(D) Interferons alone
Answer: (","Which is the most possible answer?
(A) Interferon and ribavirin
(B) Lamivudine and ribavirin
(C) Combinations of adefovir and entecavir and/or tenofovir (DAA)
(D) Interferons alone
Answer: (",33,"[32, 34, 35]"
