id,question,choices,answerKey,clean,corrupted,correct_idx,incorrect_idx
Mercury_7175875,An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?,"{'text': array(['Planetary density will decrease.',
       'Planetary years will become longer.',
       'Planetary days will become shorter.',
       'Planetary gravity will become stronger.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?
(A) Planetary density will decrease.
(B) Planetary years will become longer.
(C) Planetary days will become shorter.
(D) Planetary gravity will become stronger.
Answer: (","Which is the most possible answer?
(A) Planetary density will decrease.
(B) Planetary years will become longer.
(C) Planetary days will become shorter.
(D) Planetary gravity will become stronger.
Answer: (",34,"[32, 33, 35]"
Mercury_SC_409171,A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings and tested each for its ability to withstand earthquake conditions. Which will most likely result from testing different building designs?,"{'text': array(['buildings will be built faster', 'buildings will be made safer',
       'building designs will look nicer',
       'building materials will be cheaper'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings and tested each for its ability to withstand earthquake conditions. Which will most likely result from testing different building designs?
(A) buildings will be built faster
(B) buildings will be made safer
(C) building designs will look nicer
(D) building materials will be cheaper
Answer: (","Which is the most possible answer?
(A) buildings will be built faster
(B) buildings will be made safer
(C) building designs will look nicer
(D) building materials will be cheaper
Answer: (",33,"[32, 34, 35]"
Mercury_SC_408547,The end result in the process of photosynthesis is the production of sugar and oxygen. Which step signals the beginning of photosynthesis?,"{'text': array(['Chemical energy is absorbed through the roots.',
       'Light energy is converted to chemical energy.',
       'Chlorophyll in the leaf captures light energy.',
       'Sunlight is converted into chlorophyll.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"The end result in the process of photosynthesis is the production of sugar and oxygen. Which step signals the beginning of photosynthesis?
(A) Chemical energy is absorbed through the roots.
(B) Light energy is converted to chemical energy.
(C) Chlorophyll in the leaf captures light energy.
(D) Sunlight is converted into chlorophyll.
Answer: (","Which is the most possible answer?
(A) Chemical energy is absorbed through the roots.
(B) Light energy is converted to chemical energy.
(C) Chlorophyll in the leaf captures light energy.
(D) Sunlight is converted into chlorophyll.
Answer: (",34,"[32, 33, 35]"
Mercury_407327,"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?","{'text': array(['the control', 'the hypothesis statement',
       'the dependent (responding) variable',
       'the independent (manipulated) variable'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?
(A) the control
(B) the hypothesis statement
(C) the dependent (responding) variable
(D) the independent (manipulated) variable
Answer: (","Which is the most possible answer?
(A) the control
(B) the hypothesis statement
(C) the dependent (responding) variable
(D) the independent (manipulated) variable
Answer: (",35,"[32, 33, 34]"
MCAS_2006_9_44,An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after they have fallen a distance of 1.0 m?,"{'text': array(['They have each lost kinetic energy.',
       'They have each gained the same amount of potential energy.',
       'They have each lost the same amount of potential energy.',
       'They have each gained one-half of their maximum kinetic energy.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after they have fallen a distance of 1.0 m?
(A) They have each lost kinetic energy.
(B) They have each gained the same amount of potential energy.
(C) They have each lost the same amount of potential energy.
(D) They have each gained one-half of their maximum kinetic energy.
Answer: (","Which is the most possible answer?
(A) They have each lost kinetic energy.
(B) They have each gained the same amount of potential energy.
(C) They have each lost the same amount of potential energy.
(D) They have each gained one-half of their maximum kinetic energy.
Answer: (",35,"[32, 33, 34]"
Mercury_7270393,Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. What is the best description of DFTD?,"{'text': array(['a non-infectious, cell-cycle disease',
       'an infectious, cell-cycle disease',
       'a non-infectious, chronic disease',
       'an infectious, chronic disease'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. What is the best description of DFTD?
(A) a non-infectious, cell-cycle disease
(B) an infectious, cell-cycle disease
(C) a non-infectious, chronic disease
(D) an infectious, chronic disease
Answer: (","Which is the most possible answer?
(A) a non-infectious, cell-cycle disease
(B) an infectious, cell-cycle disease
(C) a non-infectious, chronic disease
(D) an infectious, chronic disease
Answer: (",33,"[32, 34, 35]"
MCAS_2014_5_7,"A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mammal places grasses and seeds in protected places in the rock piles. Which of the following is the most likely reason for this behavior?","{'text': array(['to repare for migration before winter',
       'to provide warmth during the cold winter months',
       'to store food that will be eaten over the winter months',
       'to protect the grasses and seeds from decay before winter'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mammal places grasses and seeds in protected places in the rock piles. Which of the following is the most likely reason for this behavior?
(A) to repare for migration before winter
(B) to provide warmth during the cold winter months
(C) to store food that will be eaten over the winter months
(D) to protect the grasses and seeds from decay before winter
Answer: (","Which is the most possible answer?
(A) to repare for migration before winter
(B) to provide warmth during the cold winter months
(C) to store food that will be eaten over the winter months
(D) to protect the grasses and seeds from decay before winter
Answer: (",34,"[32, 33, 35]"
Mercury_7086660,Petrified palm trees are found in sedimentary rock near glaciers. The presence of the petrified palm trees most likely provides evidence for which statement?,"{'text': array(['There was once more water in the area.',
       'The area was once grassland.',
       'The climate in the area was once tropical.',
       'There are active faults in the area.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"Petrified palm trees are found in sedimentary rock near glaciers. The presence of the petrified palm trees most likely provides evidence for which statement?
(A) There was once more water in the area.
(B) The area was once grassland.
(C) The climate in the area was once tropical.
(D) There are active faults in the area.
Answer: (","Which is the most possible answer?
(A) There was once more water in the area.
(B) The area was once grassland.
(C) The climate in the area was once tropical.
(D) There are active faults in the area.
Answer: (",34,"[32, 33, 35]"
Mercury_7168805,Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Which would most likely happen next?,"{'text': array(['The chicken population would go down.',
       'Populations of mice and rats would increase.',
       'Another bird of prey would replace the hawk.',
       'The chickens would have a lower rate of disease.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Which would most likely happen next?
(A) The chicken population would go down.
(B) Populations of mice and rats would increase.
(C) Another bird of prey would replace the hawk.
(D) The chickens would have a lower rate of disease.
Answer: (","Which is the most possible answer?
(A) The chicken population would go down.
(B) Populations of mice and rats would increase.
(C) Another bird of prey would replace the hawk.
(D) The chickens would have a lower rate of disease.
Answer: (",33,"[32, 34, 35]"
MCAS_2003_8_11,Copper is an element that is used in electrical wires. What is the smallest unit of copper that still maintains the characteristics of copper?,"{'text': array(['the atom', 'the electron', 'the nucleus', 'the proton'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"Copper is an element that is used in electrical wires. What is the smallest unit of copper that still maintains the characteristics of copper?
(A) the atom
(B) the electron
(C) the nucleus
(D) the proton
Answer: (","Which is the most possible answer?
(A) the atom
(B) the electron
(C) the nucleus
(D) the proton
Answer: (",32,"[33, 34, 35]"
