clean,corrupted,answer,correct_idx,incorrect_idx,paraphrase1,paraphrase2,paraphrase3,paraphrase4,paraphrase5,paraphrase6,paraphrase7,paraphrase8,paraphrase9
85+586=,602+168=,671,23403,20772,586+85=,586+85=,586+85=,586+85=,586+85=,586+85=,586+85=,586+85=,586+85=
490+271=,545+12=,761,25110,23906,271+490=,271+490=,271+490=,271+490=,271+490=,271+490=,271+490=,271+490=,271+490=
271+6=,151+288=,277,16367,20963,6+271=,6+271=,6+271=,6+271=,6+271=,6+271=,6+271=,6+271=,6+271=
48+52=,135+195=,100,1041,10568,52+48=,52+48=,52+48=,52+48=,52+48=,52+48=,52+48=,52+48=,52+48=
292+192=,187+52=,484,20339,14815,192+292=,192+292=,192+292=,192+292=,192+292=,192+292=,192+292=,192+292=,192+292=
34+303=,189+722=,337,17609,17000,303+34=,303+34=,303+34=,303+34=,303+34=,303+34=,303+34=,303+34=,303+34=
206+285=,276+445=,491,21824,20873,285+206=,285+206=,285+206=,285+206=,285+206=,285+206=,285+206=,285+206=,285+206=
12+188=,442+234=,200,1049,24187,188+12=,188+12=,188+12=,188+12=,188+12=,188+12=,188+12=,188+12=,188+12=
197+24=,75+731=,221,12425,22397,24+197=,24+197=,24+197=,24+197=,24+197=,24+197=,24+197=,24+197=,24+197=
193+123=,34+303=,316,15340,17609,123+193=,123+193=,123+193=,123+193=,123+193=,123+193=,123+193=,123+193=,123+193=
106+95=,190+275=,201,679,19988,95+106=,95+106=,95+106=,95+106=,95+106=,95+106=,95+106=,95+106=,95+106=
8+142=,302+112=,150,3965,17448,142+8=,142+8=,142+8=,142+8=,142+8=,142+8=,142+8=,142+8=,142+8=
523+144=,487+142=,667,19774,24239,144+523=,144+523=,144+523=,144+523=,144+523=,144+523=,144+523=,144+523=,144+523=
50+118=,373+486=,168,8953,24061,118+50=,118+50=,118+50=,118+50=,118+50=,118+50=,118+50=,118+50=,118+50=
194+694=,208+16=,888,12251,10697,694+194=,694+194=,694+194=,694+194=,694+194=,694+194=,694+194=,694+194=,694+194=
91+36=,151+37=,127,6804,9367,36+91=,36+91=,36+91=,36+91=,36+91=,36+91=,36+91=,36+91=,36+91=
328+5=,311+38=,333,8765,18634,5+328=,5+328=,5+328=,5+328=,5+328=,5+328=,5+328=,5+328=,5+328=
472+35=,393+221=,507,20068,22638,35+472=,35+472=,35+472=,35+472=,35+472=,35+472=,35+472=,35+472=,35+472=
363+208=,373+486=,571,22005,24061,208+363=,208+363=,208+363=,208+363=,208+363=,208+363=,208+363=,208+363=,208+363=
32+600=,75+32=,632,20775,7699,600+32=,600+32=,600+32=,600+32=,600+32=,600+32=,600+32=,600+32=,600+32=
114+595=,181+372=,709,22874,22663,595+114=,595+114=,595+114=,595+114=,595+114=,595+114=,595+114=,595+114=,595+114=
203+456=,65+60=,659,25090,6549,456+203=,456+203=,456+203=,456+203=,456+203=,456+203=,456+203=,456+203=,456+203=
63+250=,75+666=,313,15231,25021,250+63=,250+63=,250+63=,250+63=,250+63=,250+63=,250+63=,250+63=,250+63=
311+38=,310+24=,349,18634,17153,38+311=,38+311=,38+311=,38+311=,38+311=,38+311=,38+311=,38+311=,38+311=
30+103=,85+44=,133,9423,9748,103+30=,103+30=,103+30=,103+30=,103+30=,103+30=,103+30=,103+30=,103+30=
140+763=,97+13=,903,23305,5120,763+140=,763+140=,763+140=,763+140=,763+140=,763+140=,763+140=,763+140=,763+140=
