question,A,B,C,D,answer,category,clean,corrupted,correct_idx,incorrect_idx,paraphrase1,paraphrase2,paraphrase3,paraphrase4,paraphrase5,paraphrase6,paraphrase7,paraphrase8,paraphrase9
This is a hierarchy of effects or sequential model used to explain how advertising works:,ADD.,AIDA.,PESTLE.,SWOT.,B,marketing,"This is a hierarchy of effects or sequential model used to explain how advertising works:
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","Which is the most possible answer?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (",33,"[32, 34, 35]","Which sequential model is used to describe the process of how advertising functions?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","Identify the hierarchy of effects model that explains the workings of advertising:
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","What is the name of the sequential model that outlines how advertising operates?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","Which model, known as a hierarchy of effects, is used to explain advertising processes?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","Select the sequential model that is used to describe the effects of advertising:
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","What hierarchy of effects model is used to explain the mechanism of advertising?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","Which of the following is a sequential model used to explain how advertising works?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","Identify the model that serves as a hierarchy of effects for understanding advertising:
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: (","What is the sequential model called that is used to explain the process of advertising?
(A) ADD.
(B) AIDA.
(C) PESTLE.
(D) SWOT.
Answer: ("
 _____________is an important element in the communication process. It recognizes that successful communications are more likely to be achieved if the source and the receiver understand each other.,The realm of understanding.,Personal selling.,Noise.,Feedback.,A,marketing," _____________is an important element in the communication process. It recognizes that successful communications are more likely to be achieved if the source and the receiver understand each other.
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","Which is the most possible answer?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (",32,"[33, 34, 35]","What is a crucial component in the communication process, acknowledging that effective communication is more probable when the source and receiver comprehend each other?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","In the communication process, what is considered an essential element, ensuring that communication is successful when the source and receiver have mutual understanding?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","Which element is vital in the communication process, highlighting that communication is more effective when the source and receiver understand one another?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","Identify the key element in the communication process that ensures successful communication when the source and receiver understand each other.
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","What is an important factor in the communication process, recognizing that communication is more successful when the source and receiver have a mutual understanding?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","Which component is crucial in the communication process, acknowledging that effective communication occurs when the source and receiver understand each other?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","In the communication process, what is an important element that ensures communication is more likely to succeed when the source and receiver understand each other?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","What is a significant element in the communication process, ensuring that communication is more effective when the source and receiver have mutual understanding?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: (","Which aspect is essential in the communication process, recognizing that successful communication is more likely when the source and receiver understand one another?
(A) The realm of understanding.
(B) Personal selling.
(C) Noise.
(D) Feedback.
Answer: ("
"In the history of marketing, when did the production period end?",In the late 1800s.,In the early 1900s.,In the 1920s.,After the end of the Second World War.,C,marketing,"In the history of marketing, when did the production period end?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","Which is the most possible answer?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (",34,"[32, 33, 35]","When did the production era conclude in the history of marketing?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","In marketing history, the production period came to an end during which time?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","At what point did the production era finish in the context of marketing history?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","When was the conclusion of the production period in marketing's history?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","In the timeline of marketing, when did the production era end?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","During which period did the production era in marketing history end?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","In the history of marketing, when was the production period concluded?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","When did the production period in marketing history come to a close?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: (","At what time did the production era end in the history of marketing?
(A) In the late 1800s.
(B) In the early 1900s.
(C) In the 1920s.
(D) After the end of the Second World War.
Answer: ("
The extent to which a service envelops a product varies according to a number of factors. Which of the following is NOT one of the factors?,The level of tangibility associated with the type of product.,Performance-value.,Variations in supply and demand.,The way in which the service is delivered.,B,marketing,"The extent to which a service envelops a product varies according to a number of factors. Which of the following is NOT one of the factors?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","Which is the most possible answer?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (",33,"[32, 34, 35]","The degree to which a service surrounds a product depends on several factors. Which of the following is NOT among those factors?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","The extent to which a service accompanies a product is influenced by various factors. Which of the following is NOT a factor?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","The degree to which a service integrates with a product varies based on several factors. Which of the following is NOT a factor?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","The extent to which a service is incorporated into a product changes according to various factors. Which of the following is NOT one of these factors?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","The degree to which a service is associated with a product depends on multiple factors. Which of the following is NOT a factor?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","The extent to which a service is linked to a product varies due to several factors. Which of the following is NOT considered a factor?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","The degree to which a service complements a product is influenced by a number of factors. Which of the following is NOT a factor?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","The extent to which a service is attached to a product varies with several factors. Which of the following is NOT one of the factors?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: (","The degree to which a service is integrated with a product depends on various factors. Which of the following is NOT a factor?
(A) The level of tangibility associated with the type of product.
(B) Performance-value.
(C) Variations in supply and demand.
(D) The way in which the service is delivered.
Answer: ("
"The owners of independent gasoline stations in a community meet secretly and agree to keep their prices high to protect their profitability. If their plan is discovered and they are charged with a crime, they could be",found guilty under the Sherman Antitrust Act and face prison time,found guilty under the Magnuson-Moss Warranty Act and face large fines,found guilty under the Adamson Act and face prison time and fines,found not guilty because retailers are allowed to set their own price levels,A,marketing,"The owners of independent gasoline stations in a community meet secretly and agree to keep their prices high to protect their profitability. If their plan is discovered and they are charged with a crime, they could be
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","Which is the most possible answer?
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (",32,"[33, 34, 35]","Independent gas station owners in a community secretly agree to maintain high prices to safeguard their profits. If this plan is uncovered and they are prosecuted, they might be
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","In a community, independent gas station owners secretly conspire to keep prices elevated to ensure profitability. If this scheme is exposed and they are charged, they could be
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","Gas station owners in a community secretly agree to keep their prices high to protect their profits. If this plan is discovered and they are charged with a crime, they might be
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","If independent gas station owners in a community secretly agree to maintain high prices for profitability and are caught, they could be charged and
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","When independent gas station owners in a community secretly agree to keep prices high to protect their profits, and this is discovered, they could be charged and
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","If the secret agreement among independent gas station owners in a community to keep prices high is discovered and they are charged, they might be
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","In a community, if independent gas station owners secretly agree to keep prices high to protect their profits and are caught, they could be charged and
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","If independent gas station owners in a community secretly agree to keep prices high to protect their profits and this is discovered, they could be charged and
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: (","When independent gas station owners in a community secretly agree to maintain high prices for profitability and are discovered, they might be charged and
(A) found guilty under the Sherman Antitrust Act and face prison time
(B) found guilty under the Magnuson-Moss Warranty Act and face large fines
(C) found guilty under the Adamson Act and face prison time and fines
(D) found not guilty because retailers are allowed to set their own price levels
Answer: ("
 The term 'marketing mix' describes:,A composite analysis of all environmental factors inside and outside the firm.,A series of business decisions that aid in selling a product.,The relationship between a firm's marketing strengths and its business weaknesses.,A blending of four strategic elements to satisfy specific target markets.,D,marketing," The term 'marketing mix' describes:
(A) A composite analysis of all environmental factors inside and outside the firm.
(B) A series of business decisions that aid in selling a product.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A blending of four strategic elements to satisfy specific target markets.
Answer: (","Which is the most possible answer?
(A) A composite analysis of all environmental factors inside and outside the firm.
(B) A series of business decisions that aid in selling a product.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A blending of four strategic elements to satisfy specific target markets.
Answer: (",35,"[32, 33, 34]","The phrase 'marketing mix' refers to:
(A) A comprehensive evaluation of all internal and external environmental factors affecting the firm.
(B) A set of business choices that facilitate the sale of a product.
(C) The connection between a company's marketing strengths and its business weaknesses.
(D) A combination of four strategic components aimed at meeting the needs of specific target markets.
Answer: (","What does the term 'marketing mix' signify?
(A) An overall analysis of all environmental factors both within and outside the company.
(B) A sequence of business decisions that help in product sales.
(C) The link between a firm's marketing strengths and its business weaknesses.
(D) A mix of four strategic elements designed to satisfy particular target markets.
Answer: (","The concept of 'marketing mix' is best described as:
(A) A detailed analysis of all environmental factors inside and outside the organization.
(B) A collection of business decisions that assist in selling a product.
(C) The relationship between a company's marketing strengths and its business weaknesses.
(D) A blend of four strategic elements to meet the needs of specific target markets.
Answer: (","'Marketing mix' is a term that describes:
(A) A thorough analysis of all environmental factors affecting the firm internally and externally.
(B) A series of business decisions that support product sales.
(C) The relationship between a firm's marketing strengths and its business weaknesses.
(D) A combination of four strategic elements to satisfy specific target markets.
Answer: (","How is the term 'marketing mix' defined?
(A) A comprehensive study of all environmental factors within and outside the firm.
(B) A sequence of business decisions that aid in the sale of a product.
(C) The connection between a firm's marketing strengths and its business weaknesses.
(D) A blend of four strategic elements to fulfill the needs of specific target markets.
Answer: (","The term 'marketing mix' is used to describe:
(A) A complete analysis of all environmental factors both inside and outside the company.
(B) A set of business decisions that help in selling a product.
(C) The relationship between a company's marketing strengths and its business weaknesses.
(D) A combination of four strategic elements to satisfy particular target markets.
Answer: (","What does 'marketing mix' mean?
(A) A full analysis of all environmental factors within and outside the firm.
(B) A series of business decisions that assist in product sales.
(C) The link between a firm's marketing strengths and its business weaknesses.
(D) A blend of four strategic elements to meet the needs of specific target markets.
Answer: (","The phrase 'marketing mix' is best defined as:
(A) A detailed evaluation of all environmental factors affecting the firm internally and externally.
(B) A collection of business decisions that aid in selling a product.
(C) The relationship between a company's marketing strengths and its business weaknesses.
(D) A combination of four strategic elements aimed at satisfying specific target markets.
Answer: (","In business terminology, 'marketing mix' refers to:
(A) A thorough evaluation of all environmental factors inside and outside the organization.
(B) A series of business decisions that facilitate product sales.
(C) The connection between a firm's marketing strengths and its business weaknesses.
(D) A blend of four strategic elements to satisfy particular target markets.
Answer: ("
__________ have the potential to control the type and flow of information to the organization and the members of the DMU.,Gatekeepers.,Buyers.,Users.,Initiators.,A,marketing,"__________ have the potential to control the type and flow of information to the organization and the members of the DMU.
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Which is the most possible answer?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (",32,"[33, 34, 35]","Who has the ability to manage the type and flow of information to the organization and the DMU members?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Which group can influence the type and flow of information to the organization and DMU participants?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Who can regulate the type and flow of information to the organization and the DMU's members?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Who has the potential to oversee the type and flow of information to the organization and DMU members?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Which role is responsible for controlling the type and flow of information to the organization and DMU members?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Who is capable of directing the type and flow of information to the organization and the DMU members?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Which individuals have the power to control the type and flow of information to the organization and DMU members?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Who can control the type and flow of information to the organization and the members of the DMU?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: (","Which group has the authority to manage the type and flow of information to the organization and DMU members?
(A) Gatekeepers.
(B) Buyers.
(C) Users.
(D) Initiators.
Answer: ("
 An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:,Motive development.,An attitude.,A self-concept.,Product evaluation.,A,marketing," An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","Which is the most possible answer?
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (",32,"[33, 34, 35]","What is it called when there is a discrepancy between a consumer's current and preferred state, leading to the realization that a problem needs addressing?
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","When a consumer perceives a gap between their actual and desired state, prompting the need to solve a problem, this is known as:
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","The recognition of a gap or issue due to a mismatch between a consumer's real and ideal state is referred to as:
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","What term describes the situation where a consumer identifies a problem due to a difference between their current and desired conditions?
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","When a consumer notices a difference between their actual state and what they wish it to be, leading to problem recognition, it is called:
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","The process of recognizing a problem due to an imbalance between a consumer's current and desired state is termed:
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","What is the term for the awareness of a problem arising from a disparity between a consumer's actual and preferred state?
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","When a consumer detects a gap between their current situation and their desired one, leading to problem recognition, this is called:
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: (","The identification of a problem due to a mismatch between a consumer's real and ideal state is known as:
(A) Motive development.
(B) An attitude.
(C) A self-concept.
(D) Product evaluation.
Answer: ("
 Which of the following is not an element of the marketing mix?,Promotion.,Product.,Target market.,Pricing.,C,marketing," Which of the following is not an element of the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which is the most possible answer?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (",34,"[32, 33, 35]","Which option below is not considered part of the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which of these is not included in the marketing mix elements?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Identify the item that is not a component of the marketing mix.
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which of the following does not belong to the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Among the following, which is not an element of the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which of the following is excluded from the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which one of these is not part of the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which item listed is not an element of the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: (","Which choice is not a part of the marketing mix?
(A) Promotion.
(B) Product.
(C) Target market.
(D) Pricing.
Answer: ("
 Providing free samples of perfumes (scent) in magazines is an example of which of the following?,Classical conditioning.,Operant conditioning.,Social learning.,Behavioural learning.,A,marketing," Providing free samples of perfumes (scent) in magazines is an example of which of the following?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","Which is the most possible answer?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (",32,"[33, 34, 35]","Offering complimentary perfume samples in magazines is an example of which concept?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","Distributing free perfume samples in magazines illustrates which of the following?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","Providing magazines with free perfume samples is an example of what?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","Including free perfume samples in magazines is an example of which?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","What does giving away free perfume samples in magazines exemplify?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","The act of placing free perfume samples in magazines is an example of which concept?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","What concept is demonstrated by offering free perfume samples in magazines?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","Which of the following is exemplified by providing free perfume samples in magazines?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: (","Giving out free perfume samples in magazines is an example of what?
(A) Classical conditioning.
(B) Operant conditioning.
(C) Social learning.
(D) Behavioural learning.
Answer: ("
