Category,Score
MMLU All Subjects - EM,0.873
Abstract Algebra - EM,0.78
Anatomy - EM,0.859
College Chemistry - EM,0.63
Computer Security - EM,0.87
Econometrics - EM,0.807
Global Facts - EM,0.8
Jurisprudence - EM,0.898
Philosophy - EM,0.891
Professional Medicine - EM,0.949
US Foreign Policy - EM,0.96
Astronomy - EM,0.974
Business Ethics - EM,0.83
Clinical Knowledge - EM,0.928
College Biology - EM,0.965
College Computer Science - EM,0.83
College Mathematics - EM,0.66
College Medicine - EM,0.832
College Physics - EM,0.775
Conceptual Physics - EM,0.906
Electrical Engineering - EM,0.848
Elementary Mathematics - EM,0.918
Formal Logic - EM,0.786
High School Biology - EM,0.952
High School Chemistry - EM,0.823
High School Computer Science - EM,0.93
High School European History - EM,0.897
High School Geography - EM,0.939
High School Government And Politics - EM,0.984
High School Macroeconomics - EM,0.903
High School Mathematics - EM,0.63
High School Microeconomics - EM,0.958
High School Physics - EM,0.728
High School Psychology - EM,0.967
High School Statistics - EM,0.852
High School US History - EM,0.956
High School World History - EM,0.958
Human Aging - EM,0.861
Human Sexuality - EM,0.939
International Law - EM,0.959
Logical Fallacies - EM,0.914
Machine Learning - EM,0.839
Management - EM,0.932
Marketing - EM,0.953
Medical Genetics - EM,0.96
Miscellaneous - EM,0.964
Moral Disputes - EM,0.87
Moral Scenarios - EM,0.888
Nutrition - EM,0.922
Prehistory - EM,0.941
Professional Accounting - EM,0.84
Professional Law - EM,0.747
Professional Psychology - EM,0.922
Public Relations - EM,0.8
Security Studies - EM,0.882
Sociology - EM,0.955
Virology - EM,0.584
World Religions - EM,0.901
