question,A,B,C,D,answer,category,clean,corrupted,correct_idx,incorrect_idx
"What is true for a type-Ia (""type one-a"") supernova?",This type occurs in binary systems.,This type occurs in young galaxies.,This type produces gamma-ray bursts.,This type produces high amounts of X-rays.,A,astronomy,"What is true for a type-Ia (""type one-a"") supernova?
(A) This type occurs in binary systems.
(B) This type occurs in young galaxies.
(C) This type produces gamma-ray bursts.
(D) This type produces high amounts of X-rays.
Answer: (","Which is the most possible answer?
(A) This type occurs in binary systems.
(B) This type occurs in young galaxies.
(C) This type produces gamma-ray bursts.
(D) This type produces high amounts of X-rays.
Answer: (",32,"[33, 34, 35]"
If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate:,Its speed relative to you,Its composition,Its size,Its distance from you,D,astronomy,"If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate:
(A) Its speed relative to you
(B) Its composition
(C) Its size
(D) Its distance from you
Answer: (","Which is the most possible answer?
(A) Its speed relative to you
(B) Its composition
(C) Its size
(D) Its distance from you
Answer: (",35,"[32, 33, 34]"
Why is the sky blue?,Because the molecules that compose the Earth's atmosphere have a blue-ish color.,Because the sky reflects the color of the Earth's oceans.,Because the atmosphere preferentially scatters short wavelengths.,Because the Earth's atmosphere preferentially absorbs all other colors.,C,astronomy,"Why is the sky blue?
(A) Because the molecules that compose the Earth's atmosphere have a blue-ish color.
(B) Because the sky reflects the color of the Earth's oceans.
(C) Because the atmosphere preferentially scatters short wavelengths.
(D) Because the Earth's atmosphere preferentially absorbs all other colors.
Answer: (","Which is the most possible answer?
(A) Because the molecules that compose the Earth's atmosphere have a blue-ish color.
(B) Because the sky reflects the color of the Earth's oceans.
(C) Because the atmosphere preferentially scatters short wavelengths.
(D) Because the Earth's atmosphere preferentially absorbs all other colors.
Answer: (",34,"[32, 33, 35]"
You’ve made a scientific theory that there is an attractive force between all objects. When will your theory be proven to be correct?,The first time you drop a bowling ball and it falls to the ground proving your hypothesis.,After you’ve repeated your experiment many times.,You can never prove your theory to be correct only “yet to be proven wrong”.,When you and many others have tested the hypothesis.,C,astronomy,"You’ve made a scientific theory that there is an attractive force between all objects. When will your theory be proven to be correct?
(A) The first time you drop a bowling ball and it falls to the ground proving your hypothesis.
(B) After you’ve repeated your experiment many times.
(C) You can never prove your theory to be correct only “yet to be proven wrong”.
(D) When you and many others have tested the hypothesis.
Answer: (","Which is the most possible answer?
(A) The first time you drop a bowling ball and it falls to the ground proving your hypothesis.
(B) After you’ve repeated your experiment many times.
(C) You can never prove your theory to be correct only “yet to be proven wrong”.
(D) When you and many others have tested the hypothesis.
Answer: (",34,"[32, 33, 35]"
Which of the following is/are true?,Titan is the only outer solar system moon with a thick atmosphere,Titan is the only outer solar system moon with evidence for recent geologic activity,Titan's atmosphere is composed mostly of hydrocarbons,A and D,D,astronomy,"Which of the following is/are true?
(A) Titan is the only outer solar system moon with a thick atmosphere
(B) Titan is the only outer solar system moon with evidence for recent geologic activity
(C) Titan's atmosphere is composed mostly of hydrocarbons
(D) A and D
Answer: (","Which is the most possible answer?
(A) Titan is the only outer solar system moon with a thick atmosphere
(B) Titan is the only outer solar system moon with evidence for recent geologic activity
(C) Titan's atmosphere is composed mostly of hydrocarbons
(D) A and D
Answer: (",35,"[32, 33, 34]"
A comet of mass m impacts the earth (mass M radius R) at the minimum impact speed. What is the expression for the total energy released in the impact?,m*v,0.5*m/(R^3),0.5*m*(2GM/R),0.6*G(M^2)/R,C,astronomy,"A comet of mass m impacts the earth (mass M radius R) at the minimum impact speed. What is the expression for the total energy released in the impact?
(A) m*v
(B) 0.5*m/(R^3)
(C) 0.5*m*(2GM/R)
(D) 0.6*G(M^2)/R
Answer: (","Which is the most possible answer?
(A) m*v
(B) 0.5*m/(R^3)
(C) 0.5*m*(2GM/R)
(D) 0.6*G(M^2)/R
Answer: (",34,"[32, 33, 35]"
"Some of Mars'water is frozen in the soil and the ice caps and some was lost due to solar wind stripping but much of the original water is thought to have been lost through another mechanism. What happened to this ""lost""water?",it was stripped away by the magnetic field when it rapidly decreased in strength,it was broken into hydrogen and oxygen by ultraviolet light and the hydrogen was lost through thermal escape,it was consumed by a civilization of thirsty Martians,it was vaporized during a period of intense volcanism and was lost to space through thermal escape,B,astronomy,"Some of Mars'water is frozen in the soil and the ice caps and some was lost due to solar wind stripping but much of the original water is thought to have been lost through another mechanism. What happened to this ""lost""water?
(A) it was stripped away by the magnetic field when it rapidly decreased in strength
(B) it was broken into hydrogen and oxygen by ultraviolet light and the hydrogen was lost through thermal escape
(C) it was consumed by a civilization of thirsty Martians
(D) it was vaporized during a period of intense volcanism and was lost to space through thermal escape
Answer: (","Which is the most possible answer?
(A) it was stripped away by the magnetic field when it rapidly decreased in strength
(B) it was broken into hydrogen and oxygen by ultraviolet light and the hydrogen was lost through thermal escape
(C) it was consumed by a civilization of thirsty Martians
(D) it was vaporized during a period of intense volcanism and was lost to space through thermal escape
Answer: (",33,"[32, 34, 35]"
Most rocks on the Moon's surface are older than those on the Earth's surface. The best evidence for this is:,Lunar rocks are composed of fragments pulverized by many impacts.,Radioactive dating of lunar samples shows that they are older.,The Moon's surface is more heavily eroded than the Earth's surface.,The Moon's surface has more impact craters than the Earth's surface.,B,astronomy,"Most rocks on the Moon's surface are older than those on the Earth's surface. The best evidence for this is:
(A) Lunar rocks are composed of fragments pulverized by many impacts.
(B) Radioactive dating of lunar samples shows that they are older.
(C) The Moon's surface is more heavily eroded than the Earth's surface.
(D) The Moon's surface has more impact craters than the Earth's surface.
Answer: (","Which is the most possible answer?
(A) Lunar rocks are composed of fragments pulverized by many impacts.
(B) Radioactive dating of lunar samples shows that they are older.
(C) The Moon's surface is more heavily eroded than the Earth's surface.
(D) The Moon's surface has more impact craters than the Earth's surface.
Answer: (",33,"[32, 34, 35]"
What is the second most common element in the solar system?,Iron,Hydrogen,Methane,Helium,D,astronomy,"What is the second most common element in the solar system?
(A) Iron
(B) Hydrogen
(C) Methane
(D) Helium
Answer: (","Which is the most possible answer?
(A) Iron
(B) Hydrogen
(C) Methane
(D) Helium
Answer: (",35,"[32, 33, 34]"
What is the source of the material that causes meteor showers?,Near-Earth asteroids gradually disintegrate and spread out along their orbital path. When the Earth passes through the orbit of an asteroid we are bombarded by sand-sized particles which cause a meteor shower.,Near-Earth asteroids disintegrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a single location in the sky.,The nuclei of comets disintigrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a central location in the sky.,The nuclei of comets gradually disintegrate and spread out along the comet's orbital path. When the Earth passes through the orbit of a comet we are bombarded by sand-sized particles which cause a meteor shower.,D,astronomy,"What is the source of the material that causes meteor showers?
(A) Near-Earth asteroids gradually disintegrate and spread out along their orbital path. When the Earth passes through the orbit of an asteroid we are bombarded by sand-sized particles which cause a meteor shower.
(B) Near-Earth asteroids disintegrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a single location in the sky.
(C) The nuclei of comets disintigrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a central location in the sky.
(D) The nuclei of comets gradually disintegrate and spread out along the comet's orbital path. When the Earth passes through the orbit of a comet we are bombarded by sand-sized particles which cause a meteor shower.
Answer: (","Which is the most possible answer?
(A) Near-Earth asteroids gradually disintegrate and spread out along their orbital path. When the Earth passes through the orbit of an asteroid we are bombarded by sand-sized particles which cause a meteor shower.
(B) Near-Earth asteroids disintegrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a single location in the sky.
(C) The nuclei of comets disintigrate as they enter Earth's atmosphere creating hundreds of bright meteors that appear to radiate from a central location in the sky.
(D) The nuclei of comets gradually disintegrate and spread out along the comet's orbital path. When the Earth passes through the orbit of a comet we are bombarded by sand-sized particles which cause a meteor shower.
Answer: (",35,"[32, 33, 34]"
