id,question,choices,answerKey,clean,corrupted,correct_idx,incorrect_idx,paraphrase1,paraphrase2,paraphrase3,paraphrase4,paraphrase5,paraphrase6,paraphrase7,paraphrase8,paraphrase9
Mercury_7175875,An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?,"{'text': array(['Planetary density will decrease.',
       'Planetary years will become longer.',
       'Planetary days will become shorter.',
       'Planetary gravity will become stronger.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?
(A) Planetary density will decrease.
(B) Planetary years will become longer.
(C) Planetary days will become shorter.
(D) Planetary gravity will become stronger.
Answer: (","Which is the most possible answer?
(A) Planetary density will decrease.
(B) Planetary years will become longer.
(C) Planetary days will become shorter.
(D) Planetary gravity will become stronger.
Answer: (",34,"[32, 33, 35]","An astronomer notes a planet's rotation speed increases following a meteorite strike. What is the most probable consequence of this change?
(A) Planetary density will decrease.
(B) Planetary years will become longer.
(C) Planetary days will become shorter.
(D) Planetary gravity will become stronger.
Answer: (","After a meteorite hits, an astronomer sees a planet spinning faster. What is the likely result of this increased rotation?
(A) Planetary density will decrease.
(B) Planetary years will become longer.
(C) Planetary days will become shorter.
(D) Planetary gravity will become stronger.
Answer: (","Observing a planet's faster rotation post-meteorite impact, what effect is most expected?
(A) Planetary density will decrease.
(B) Planetary years will become longer.
(C) Planetary days will become shorter.
(D) Planetary gravity will become stronger.
Answer: (","What is the most likely outcome when a planet's rotation speeds up due to a meteorite impact, according to an astronomer?
(A) Planetary density will decrease.
(B) Planetary years will become longer.
(C) Planetary days will become shorter.
(D) Planetary gravity will become stronger.
Answer: (","Following a meteorite impact, an astronomer notices a planet's rotation accelerates. What is the most likely effect?
(A) Planetary density will decrease.
(B) Planetary years will become longer.
(C) Planetary days will become shorter.
(D) Planetary gravity will become stronger.
Answer: (","An astronomer observes a planet's rotation rate increases after a meteorite collision. What is the expected effect of this?
(A) Planetary density will decrease.
(B) Planetary years will become longer.
(C) Planetary days will become shorter.
(D) Planetary gravity will become stronger.
Answer: (","What is the probable effect of a planet's increased rotation speed after a meteorite impact, as observed by an astronomer?
(A) Planetary density will decrease.
(B) Planetary years will become longer.
(C) Planetary days will become shorter.
(D) Planetary gravity will become stronger.
Answer: (","After a meteorite impact, a planet rotates more quickly. What is the most likely effect of this, according to an astronomer?
(A) Planetary density will decrease.
(B) Planetary years will become longer.
(C) Planetary days will become shorter.
(D) Planetary gravity will become stronger.
Answer: (","An astronomer sees a planet's rotation quicken after a meteorite impact. What is the most likely effect of this change?
(A) Planetary density will decrease.
(B) Planetary years will become longer.
(C) Planetary days will become shorter.
(D) Planetary gravity will become stronger.
Answer: ("
Mercury_SC_409171,A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings and tested each for its ability to withstand earthquake conditions. Which will most likely result from testing different building designs?,"{'text': array(['buildings will be built faster', 'buildings will be made safer',
       'building designs will look nicer',
       'building materials will be cheaper'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings and tested each for its ability to withstand earthquake conditions. Which will most likely result from testing different building designs?
(A) buildings will be built faster
(B) buildings will be made safer
(C) building designs will look nicer
(D) building materials will be cheaper
Answer: (","Which is the most possible answer?
(A) buildings will be built faster
(B) buildings will be made safer
(C) building designs will look nicer
(D) building materials will be cheaper
Answer: (",33,"[32, 34, 35]","A team of engineers sought to understand how various building designs react to earthquakes. They created multiple building models and evaluated each one's capacity to endure earthquake scenarios. What is the most probable outcome of testing diverse building designs?
(A) buildings will be built faster
(B) buildings will be made safer
(C) building designs will look nicer
(D) building materials will be cheaper
Answer: (","Engineers aimed to discover how different architectural designs perform during earthquakes. They constructed several building models and assessed each for earthquake resistance. What is the likely consequence of testing various building designs?
(A) buildings will be built faster
(B) buildings will be made safer
(C) building designs will look nicer
(D) building materials will be cheaper
Answer: (","A group of engineers investigated how different building designs behave in earthquakes by making and testing several building models for earthquake resilience. What is the most expected result of testing these designs?
(A) buildings will be built faster
(B) buildings will be made safer
(C) building designs will look nicer
(D) building materials will be cheaper
Answer: (","In an effort to learn how different building designs handle earthquakes, engineers built and tested several models for their earthquake durability. What is the most likely effect of testing these different designs?
(A) buildings will be built faster
(B) buildings will be made safer
(C) building designs will look nicer
(D) building materials will be cheaper
Answer: (","Engineers wanted to determine the response of various building designs to earthquakes, so they created and tested multiple building models for earthquake endurance. What is the probable outcome of these tests?
(A) buildings will be built faster
(B) buildings will be made safer
(C) building designs will look nicer
(D) building materials will be cheaper
Answer: (","To find out how different building designs withstand earthquakes, engineers developed and tested several building models. What is the most likely result of these tests?
(A) buildings will be built faster
(B) buildings will be made safer
(C) building designs will look nicer
(D) building materials will be cheaper
Answer: (","A group of engineers explored the earthquake response of different building designs by creating and testing several models. What is the most likely outcome of these tests?
(A) buildings will be built faster
(B) buildings will be made safer
(C) building designs will look nicer
(D) building materials will be cheaper
Answer: (","Engineers constructed and tested several building models to see how different designs fare during earthquakes. What is the expected result of testing these designs?
(A) buildings will be built faster
(B) buildings will be made safer
(C) building designs will look nicer
(D) building materials will be cheaper
Answer: (","In order to assess how different building designs respond to earthquakes, engineers made and tested several models. What is the most probable result of these tests?
(A) buildings will be built faster
(B) buildings will be made safer
(C) building designs will look nicer
(D) building materials will be cheaper
Answer: ("
Mercury_SC_408547,The end result in the process of photosynthesis is the production of sugar and oxygen. Which step signals the beginning of photosynthesis?,"{'text': array(['Chemical energy is absorbed through the roots.',
       'Light energy is converted to chemical energy.',
       'Chlorophyll in the leaf captures light energy.',
       'Sunlight is converted into chlorophyll.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"The end result in the process of photosynthesis is the production of sugar and oxygen. Which step signals the beginning of photosynthesis?
(A) Chemical energy is absorbed through the roots.
(B) Light energy is converted to chemical energy.
(C) Chlorophyll in the leaf captures light energy.
(D) Sunlight is converted into chlorophyll.
Answer: (","Which is the most possible answer?
(A) Chemical energy is absorbed through the roots.
(B) Light energy is converted to chemical energy.
(C) Chlorophyll in the leaf captures light energy.
(D) Sunlight is converted into chlorophyll.
Answer: (",34,"[32, 33, 35]","What marks the start of the photosynthesis process?
(A) Chemical energy is absorbed through the roots.
(B) Light energy is converted to chemical energy.
(C) Chlorophyll in the leaf captures light energy.
(D) Sunlight is converted into chlorophyll.
Answer: (","Which initial step indicates the commencement of photosynthesis?
(A) Chemical energy is absorbed through the roots.
(B) Light energy is converted to chemical energy.
(C) Chlorophyll in the leaf captures light energy.
(D) Sunlight is converted into chlorophyll.
Answer: (","What is the first step that triggers the process of photosynthesis?
(A) Chemical energy is absorbed through the roots.
(B) Light energy is converted to chemical energy.
(C) Chlorophyll in the leaf captures light energy.
(D) Sunlight is converted into chlorophyll.
Answer: (","Which action signifies the onset of photosynthesis?
(A) Chemical energy is absorbed through the roots.
(B) Light energy is converted to chemical energy.
(C) Chlorophyll in the leaf captures light energy.
(D) Sunlight is converted into chlorophyll.
Answer: (","What event initiates the photosynthesis process?
(A) Chemical energy is absorbed through the roots.
(B) Light energy is converted to chemical energy.
(C) Chlorophyll in the leaf captures light energy.
(D) Sunlight is converted into chlorophyll.
Answer: (","Which step begins the process of photosynthesis?
(A) Chemical energy is absorbed through the roots.
(B) Light energy is converted to chemical energy.
(C) Chlorophyll in the leaf captures light energy.
(D) Sunlight is converted into chlorophyll.
Answer: (","What signals the start of photosynthesis?
(A) Chemical energy is absorbed through the roots.
(B) Light energy is converted to chemical energy.
(C) Chlorophyll in the leaf captures light energy.
(D) Sunlight is converted into chlorophyll.
Answer: (","Which occurrence marks the beginning of photosynthesis?
(A) Chemical energy is absorbed through the roots.
(B) Light energy is converted to chemical energy.
(C) Chlorophyll in the leaf captures light energy.
(D) Sunlight is converted into chlorophyll.
Answer: (","What indicates the start of the photosynthesis process?
(A) Chemical energy is absorbed through the roots.
(B) Light energy is converted to chemical energy.
(C) Chlorophyll in the leaf captures light energy.
(D) Sunlight is converted into chlorophyll.
Answer: ("
Mercury_407327,"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?","{'text': array(['the control', 'the hypothesis statement',
       'the dependent (responding) variable',
       'the independent (manipulated) variable'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?
(A) the control
(B) the hypothesis statement
(C) the dependent (responding) variable
(D) the independent (manipulated) variable
Answer: (","Which is the most possible answer?
(A) the control
(B) the hypothesis statement
(C) the dependent (responding) variable
(D) the independent (manipulated) variable
Answer: (",35,"[32, 33, 34]","What is the physicist examining by altering the car's speed in the trials?
(A) the control
(B) the hypothesis statement
(C) the dependent (responding) variable
(D) the independent (manipulated) variable
Answer: (","By changing the car's speed, what aspect is the physicist exploring?
(A) the control
(B) the hypothesis statement
(C) the dependent (responding) variable
(D) the independent (manipulated) variable
Answer: (","When the physicist adjusts the car's speed, what is he investigating?
(A) the control
(B) the hypothesis statement
(C) the dependent (responding) variable
(D) the independent (manipulated) variable
Answer: (","What is being investigated by the physicist when he modifies the car's speed?
(A) the control
(B) the hypothesis statement
(C) the dependent (responding) variable
(D) the independent (manipulated) variable
Answer: (","What aspect is the physicist testing by varying the car's speed?
(A) the control
(B) the hypothesis statement
(C) the dependent (responding) variable
(D) the independent (manipulated) variable
Answer: (","By increasing the car's speed, what is the physicist trying to determine?
(A) the control
(B) the hypothesis statement
(C) the dependent (responding) variable
(D) the independent (manipulated) variable
Answer: (","What is the focus of the physicist's investigation when he changes the car's speed?
(A) the control
(B) the hypothesis statement
(C) the dependent (responding) variable
(D) the independent (manipulated) variable
Answer: (","What is the physicist trying to find out by changing the speed of the car?
(A) the control
(B) the hypothesis statement
(C) the dependent (responding) variable
(D) the independent (manipulated) variable
Answer: (","When the physicist changes the speed of the car, what is he looking to investigate?
(A) the control
(B) the hypothesis statement
(C) the dependent (responding) variable
(D) the independent (manipulated) variable
Answer: ("
MCAS_2006_9_44,An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after they have fallen a distance of 1.0 m?,"{'text': array(['They have each lost kinetic energy.',
       'They have each gained the same amount of potential energy.',
       'They have each lost the same amount of potential energy.',
       'They have each gained one-half of their maximum kinetic energy.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,"An astronaut drops a 1.0 kg object and a 5.0 kg object on the Moon. Both objects fall a total distance of 2.0 m vertically. Which of the following best describes the objects after they have fallen a distance of 1.0 m?
(A) They have each lost kinetic energy.
(B) They have each gained the same amount of potential energy.
(C) They have each lost the same amount of potential energy.
(D) They have each gained one-half of their maximum kinetic energy.
Answer: (","Which is the most possible answer?
(A) They have each lost kinetic energy.
(B) They have each gained the same amount of potential energy.
(C) They have each lost the same amount of potential energy.
(D) They have each gained one-half of their maximum kinetic energy.
Answer: (",35,"[32, 33, 34]","An astronaut releases a 1.0 kg and a 5.0 kg object on the Moon, both falling 2.0 m vertically. What describes the objects after falling 1.0 m?
(A) They have each lost kinetic energy.
(B) They have each gained the same amount of potential energy.
(C) They have each lost the same amount of potential energy.
(D) They have each gained one-half of their maximum kinetic energy.
Answer: (","After an astronaut drops a 1.0 kg and a 5.0 kg object on the Moon, both falling 2.0 m, what is true about them after 1.0 m?
(A) They have each lost kinetic energy.
(B) They have each gained the same amount of potential energy.
(C) They have each lost the same amount of potential energy.
(D) They have each gained one-half of their maximum kinetic energy.
Answer: (","When a 1.0 kg and a 5.0 kg object are dropped by an astronaut on the Moon, falling 2.0 m, what happens after 1.0 m?
(A) They have each lost kinetic energy.
(B) They have each gained the same amount of potential energy.
(C) They have each lost the same amount of potential energy.
(D) They have each gained one-half of their maximum kinetic energy.
Answer: (","An astronaut drops two objects, 1.0 kg and 5.0 kg, on the Moon, each falling 2.0 m. What is true after they fall 1.0 m?
(A) They have each lost kinetic energy.
(B) They have each gained the same amount of potential energy.
(C) They have each lost the same amount of potential energy.
(D) They have each gained one-half of their maximum kinetic energy.
Answer: (","On the Moon, an astronaut drops a 1.0 kg and a 5.0 kg object, both falling 2.0 m. What describes them after 1.0 m?
(A) They have each lost kinetic energy.
(B) They have each gained the same amount of potential energy.
(C) They have each lost the same amount of potential energy.
(D) They have each gained one-half of their maximum kinetic energy.
Answer: (","What happens to a 1.0 kg and a 5.0 kg object dropped by an astronaut on the Moon after falling 1.0 m of a 2.0 m drop?
(A) They have each lost kinetic energy.
(B) They have each gained the same amount of potential energy.
(C) They have each lost the same amount of potential energy.
(D) They have each gained one-half of their maximum kinetic energy.
Answer: (","After an astronaut drops a 1.0 kg and a 5.0 kg object on the Moon, both falling 2.0 m, what describes them after 1.0 m?
(A) They have each lost kinetic energy.
(B) They have each gained the same amount of potential energy.
(C) They have each lost the same amount of potential energy.
(D) They have each gained one-half of their maximum kinetic energy.
Answer: (","An astronaut on the Moon drops a 1.0 kg and a 5.0 kg object, both falling 2.0 m. What is true after 1.0 m?
(A) They have each lost kinetic energy.
(B) They have each gained the same amount of potential energy.
(C) They have each lost the same amount of potential energy.
(D) They have each gained one-half of their maximum kinetic energy.
Answer: (","What best describes a 1.0 kg and a 5.0 kg object dropped by an astronaut on the Moon after falling 1.0 m of a 2.0 m descent?
(A) They have each lost kinetic energy.
(B) They have each gained the same amount of potential energy.
(C) They have each lost the same amount of potential energy.
(D) They have each gained one-half of their maximum kinetic energy.
Answer: ("
Mercury_7270393,Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. What is the best description of DFTD?,"{'text': array(['a non-infectious, cell-cycle disease',
       'an infectious, cell-cycle disease',
       'a non-infectious, chronic disease',
       'an infectious, chronic disease'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. What is the best description of DFTD?
(A) a non-infectious, cell-cycle disease
(B) an infectious, cell-cycle disease
(C) a non-infectious, chronic disease
(D) an infectious, chronic disease
Answer: (","Which is the most possible answer?
(A) a non-infectious, cell-cycle disease
(B) an infectious, cell-cycle disease
(C) a non-infectious, chronic disease
(D) an infectious, chronic disease
Answer: (",33,"[32, 34, 35]","How can DFTD be best characterized?
(A) a non-infectious, cell-cycle disease
(B) an infectious, cell-cycle disease
(C) a non-infectious, chronic disease
(D) an infectious, chronic disease
Answer: (","What is the most accurate way to describe DFTD?
(A) a non-infectious, cell-cycle disease
(B) an infectious, cell-cycle disease
(C) a non-infectious, chronic disease
(D) an infectious, chronic disease
Answer: (","Which description most accurately fits DFTD?
(A) a non-infectious, cell-cycle disease
(B) an infectious, cell-cycle disease
(C) a non-infectious, chronic disease
(D) an infectious, chronic disease
Answer: (","How would you best define DFTD?
(A) a non-infectious, cell-cycle disease
(B) an infectious, cell-cycle disease
(C) a non-infectious, chronic disease
(D) an infectious, chronic disease
Answer: (","What is the most fitting description for DFTD?
(A) a non-infectious, cell-cycle disease
(B) an infectious, cell-cycle disease
(C) a non-infectious, chronic disease
(D) an infectious, chronic disease
Answer: (","Which option best describes DFTD?
(A) a non-infectious, cell-cycle disease
(B) an infectious, cell-cycle disease
(C) a non-infectious, chronic disease
(D) an infectious, chronic disease
Answer: (","What is the most suitable characterization of DFTD?
(A) a non-infectious, cell-cycle disease
(B) an infectious, cell-cycle disease
(C) a non-infectious, chronic disease
(D) an infectious, chronic disease
Answer: (","How should DFTD be best described?
(A) a non-infectious, cell-cycle disease
(B) an infectious, cell-cycle disease
(C) a non-infectious, chronic disease
(D) an infectious, chronic disease
Answer: (","What is the most precise description of DFTD?
(A) a non-infectious, cell-cycle disease
(B) an infectious, cell-cycle disease
(C) a non-infectious, chronic disease
(D) an infectious, chronic disease
Answer: ("
MCAS_2014_5_7,"A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mammal places grasses and seeds in protected places in the rock piles. Which of the following is the most likely reason for this behavior?","{'text': array(['to repare for migration before winter',
       'to provide warmth during the cold winter months',
       'to store food that will be eaten over the winter months',
       'to protect the grasses and seeds from decay before winter'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mammal places grasses and seeds in protected places in the rock piles. Which of the following is the most likely reason for this behavior?
(A) to repare for migration before winter
(B) to provide warmth during the cold winter months
(C) to store food that will be eaten over the winter months
(D) to protect the grasses and seeds from decay before winter
Answer: (","Which is the most possible answer?
(A) to repare for migration before winter
(B) to provide warmth during the cold winter months
(C) to store food that will be eaten over the winter months
(D) to protect the grasses and seeds from decay before winter
Answer: (",34,"[32, 33, 35]","A small mammal from the mountainous areas of the western United States builds its home in rock piles and stores grasses and seeds there during summer. What is the most probable reason for this behavior?
(A) to repare for migration before winter
(B) to provide warmth during the cold winter months
(C) to store food that will be eaten over the winter months
(D) to protect the grasses and seeds from decay before winter
Answer: (","In the mountain regions of the western United States, a small mammal lives in rock piles and places grasses and seeds there in the summer. What is the most likely explanation for this behavior?
(A) to repare for migration before winter
(B) to provide warmth during the cold winter months
(C) to store food that will be eaten over the winter months
(D) to protect the grasses and seeds from decay before winter
Answer: (","What is the most likely reason a small mammal from the western U.S. mountains, which lives in rock piles, stores grasses and seeds there during the summer?
(A) to repare for migration before winter
(B) to provide warmth during the cold winter months
(C) to store food that will be eaten over the winter months
(D) to protect the grasses and seeds from decay before winter
Answer: (","Why does a small mammal from the mountain regions of the western U.S. store grasses and seeds in rock piles during the summer?
(A) to repare for migration before winter
(B) to provide warmth during the cold winter months
(C) to store food that will be eaten over the winter months
(D) to protect the grasses and seeds from decay before winter
Answer: (","A small mammal inhabiting the mountain regions of the western U.S. uses rock piles as its home and stores grasses and seeds there in summer. What is the most likely reason for this?
(A) to repare for migration before winter
(B) to provide warmth during the cold winter months
(C) to store food that will be eaten over the winter months
(D) to protect the grasses and seeds from decay before winter
Answer: (","In the western U.S. mountains, a small mammal makes its home in rock piles and places grasses and seeds there in summer. What is the most probable reason for this behavior?
(A) to repare for migration before winter
(B) to provide warmth during the cold winter months
(C) to store food that will be eaten over the winter months
(D) to protect the grasses and seeds from decay before winter
Answer: (","Why might a small mammal from the mountain regions of the western United States store grasses and seeds in rock piles during the summer months?
(A) to repare for migration before winter
(B) to provide warmth during the cold winter months
(C) to store food that will be eaten over the winter months
(D) to protect the grasses and seeds from decay before winter
Answer: (","What is the likely reason a small mammal from the western U.S. mountains, living in rock piles, places grasses and seeds there in the summer?
(A) to repare for migration before winter
(B) to provide warmth during the cold winter months
(C) to store food that will be eaten over the winter months
(D) to protect the grasses and seeds from decay before winter
Answer: (","In the mountain regions of the western United States, a small mammal that lives in rock piles stores grasses and seeds there during summer. What is the most likely reason for this behavior?
(A) to repare for migration before winter
(B) to provide warmth during the cold winter months
(C) to store food that will be eaten over the winter months
(D) to protect the grasses and seeds from decay before winter
Answer: ("
Mercury_7086660,Petrified palm trees are found in sedimentary rock near glaciers. The presence of the petrified palm trees most likely provides evidence for which statement?,"{'text': array(['There was once more water in the area.',
       'The area was once grassland.',
       'The climate in the area was once tropical.',
       'There are active faults in the area.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,"Petrified palm trees are found in sedimentary rock near glaciers. The presence of the petrified palm trees most likely provides evidence for which statement?
(A) There was once more water in the area.
(B) The area was once grassland.
(C) The climate in the area was once tropical.
(D) There are active faults in the area.
Answer: (","Which is the most possible answer?
(A) There was once more water in the area.
(B) The area was once grassland.
(C) The climate in the area was once tropical.
(D) There are active faults in the area.
Answer: (",34,"[32, 33, 35]","The discovery of petrified palm trees in sedimentary rock near glaciers most likely supports which conclusion?
(A) There was once more water in the area.
(B) The area was once grassland.
(C) The climate in the area was once tropical.
(D) There are active faults in the area.
Answer: (","What does the presence of petrified palm trees in sedimentary rock near glaciers most likely indicate?
(A) There was once more water in the area.
(B) The area was once grassland.
(C) The climate in the area was once tropical.
(D) There are active faults in the area.
Answer: (","Which statement is most likely supported by finding petrified palm trees in sedimentary rock near glaciers?
(A) There was once more water in the area.
(B) The area was once grassland.
(C) The climate in the area was once tropical.
(D) There are active faults in the area.
Answer: (","The presence of petrified palm trees in sedimentary rock near glaciers most likely suggests what?
(A) There was once more water in the area.
(B) The area was once grassland.
(C) The climate in the area was once tropical.
(D) There are active faults in the area.
Answer: (","What conclusion is most likely drawn from finding petrified palm trees in sedimentary rock near glaciers?
(A) There was once more water in the area.
(B) The area was once grassland.
(C) The climate in the area was once tropical.
(D) There are active faults in the area.
Answer: (","The existence of petrified palm trees in sedimentary rock near glaciers most likely provides evidence for which claim?
(A) There was once more water in the area.
(B) The area was once grassland.
(C) The climate in the area was once tropical.
(D) There are active faults in the area.
Answer: (","What inference can be made from the presence of petrified palm trees in sedimentary rock near glaciers?
(A) There was once more water in the area.
(B) The area was once grassland.
(C) The climate in the area was once tropical.
(D) There are active faults in the area.
Answer: (","Which statement is most likely evidenced by the presence of petrified palm trees in sedimentary rock near glaciers?
(A) There was once more water in the area.
(B) The area was once grassland.
(C) The climate in the area was once tropical.
(D) There are active faults in the area.
Answer: (","The presence of petrified palm trees in sedimentary rock near glaciers most likely supports which hypothesis?
(A) There was once more water in the area.
(B) The area was once grassland.
(C) The climate in the area was once tropical.
(D) There are active faults in the area.
Answer: ("
Mercury_7168805,Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Which would most likely happen next?,"{'text': array(['The chicken population would go down.',
       'Populations of mice and rats would increase.',
       'Another bird of prey would replace the hawk.',
       'The chickens would have a lower rate of disease.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,"Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Which would most likely happen next?
(A) The chicken population would go down.
(B) Populations of mice and rats would increase.
(C) Another bird of prey would replace the hawk.
(D) The chickens would have a lower rate of disease.
Answer: (","Which is the most possible answer?
(A) The chicken population would go down.
(B) Populations of mice and rats would increase.
(C) Another bird of prey would replace the hawk.
(D) The chickens would have a lower rate of disease.
Answer: (",33,"[32, 34, 35]","What is the most probable outcome after farmers in Wyoming eliminated hawks preying on their chickens?
(A) The chicken population would go down.
(B) Populations of mice and rats would increase.
(C) Another bird of prey would replace the hawk.
(D) The chickens would have a lower rate of disease.
Answer: (","After the hawks were removed by Wyoming farmers, what is the likely subsequent event?
(A) The chicken population would go down.
(B) Populations of mice and rats would increase.
(C) Another bird of prey would replace the hawk.
(D) The chickens would have a lower rate of disease.
Answer: (","What is the expected consequence following the farmers' removal of hawks preying on chickens in Wyoming?
(A) The chicken population would go down.
(B) Populations of mice and rats would increase.
(C) Another bird of prey would replace the hawk.
(D) The chickens would have a lower rate of disease.
Answer: (","Once the hawks were hunted by Wyoming farmers, what is the most likely result?
(A) The chicken population would go down.
(B) Populations of mice and rats would increase.
(C) Another bird of prey would replace the hawk.
(D) The chickens would have a lower rate of disease.
Answer: (","What is the probable next occurrence after Wyoming farmers eradicated hawks threatening their chickens?
(A) The chicken population would go down.
(B) Populations of mice and rats would increase.
(C) Another bird of prey would replace the hawk.
(D) The chickens would have a lower rate of disease.
Answer: (","Following the elimination of hawks by Wyoming farmers, what is the most likely development?
(A) The chicken population would go down.
(B) Populations of mice and rats would increase.
(C) Another bird of prey would replace the hawk.
(D) The chickens would have a lower rate of disease.
Answer: (","What would likely happen after Wyoming farmers got rid of hawks preying on their chickens?
(A) The chicken population would go down.
(B) Populations of mice and rats would increase.
(C) Another bird of prey would replace the hawk.
(D) The chickens would have a lower rate of disease.
Answer: (","After the hawks were no longer present due to the farmers' actions, what is the likely outcome?
(A) The chicken population would go down.
(B) Populations of mice and rats would increase.
(C) Another bird of prey would replace the hawk.
(D) The chickens would have a lower rate of disease.
Answer: (","What is the most likely scenario following the farmers' successful removal of hawks from their area in Wyoming?
(A) The chicken population would go down.
(B) Populations of mice and rats would increase.
(C) Another bird of prey would replace the hawk.
(D) The chickens would have a lower rate of disease.
Answer: ("
MCAS_2003_8_11,Copper is an element that is used in electrical wires. What is the smallest unit of copper that still maintains the characteristics of copper?,"{'text': array(['the atom', 'the electron', 'the nucleus', 'the proton'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,"Copper is an element that is used in electrical wires. What is the smallest unit of copper that still maintains the characteristics of copper?
(A) the atom
(B) the electron
(C) the nucleus
(D) the proton
Answer: (","Which is the most possible answer?
(A) the atom
(B) the electron
(C) the nucleus
(D) the proton
Answer: (",32,"[33, 34, 35]","What is the smallest piece of copper that retains all the properties of copper?
(A) the atom
(B) the electron
(C) the nucleus
(D) the proton
Answer: (","What is the tiniest unit of copper that still exhibits the characteristics of copper?
(A) the atom
(B) the electron
(C) the nucleus
(D) the proton
Answer: (","What is the minimal unit of copper that preserves its properties?
(A) the atom
(B) the electron
(C) the nucleus
(D) the proton
Answer: (","What is the least amount of copper that maintains its defining traits?
(A) the atom
(B) the electron
(C) the nucleus
(D) the proton
Answer: (","What is the smallest form of copper that keeps its essential characteristics?
(A) the atom
(B) the electron
(C) the nucleus
(D) the proton
Answer: (","What is the smallest division of copper that still holds its properties?
(A) the atom
(B) the electron
(C) the nucleus
(D) the proton
Answer: (","What is the smallest particle of copper that retains its unique features?
(A) the atom
(B) the electron
(C) the nucleus
(D) the proton
Answer: (","What is the smallest component of copper that continues to have its properties?
(A) the atom
(B) the electron
(C) the nucleus
(D) the proton
Answer: (","What is the smallest entity of copper that still possesses its characteristics?
(A) the atom
(B) the electron
(C) the nucleus
(D) the proton
Answer: ("
